family,n,m,class,arm,admitted,pushes,pops,scouts,scout_scans,comparisons
sparse,1000,4571,live,never,0,1397,1397,0,0,23131
sparse,1000,4571,live,always,4571,1695,1695,634,2965,30145
sparse,1000,4571,live,degree4,568,1445,1445,135,348,24297
sparse,1000,4571,live,high_high,1787,1623,1623,294,1950,28321
sparse,1000,4571,live,complement,4003,1698,1698,563,2853,30204
sparse,1000,4571,live,random_exact,568,1494,1494,143,645,25470
sparse,1000,4571,live,adaptive,261,1414,1414,63,130,23509
dense,1000,99482,dead,never,0,3812,3812,0,0,79677
dense,1000,99482,dead,always,99482,4940,4940,803,79782,107762
dense,1000,99482,dead,degree4,0,3812,3812,0,0,79677
dense,1000,99482,dead,high_high,99482,4940,4940,803,79782,107762
dense,1000,99482,dead,complement,99482,4940,4940,803,79782,107762
dense,1000,99482,dead,random_exact,0,3812,3812,0,0,79677
dense,1000,99482,dead,adaptive,0,3812,3812,0,0,79677
grid,1000,3870,saturated,never,0,1241,1241,0,0,11902
grid,1000,3870,saturated,always,3870,1360,1360,621,2404,14903
grid,1000,3870,saturated,degree4,3870,1360,1360,621,2404,14903
grid,1000,3870,saturated,high_high,0,1241,1241,0,0,11902
grid,1000,3870,saturated,complement,0,1241,1241,0,0,11902
grid,1000,3870,saturated,random_exact,3870,1360,1360,621,2404,14903
grid,1000,3870,saturated,adaptive,252,1262,1262,58,174,12327
clustered,1000,25061,dead,never,0,2412,2412,0,0,39306
clustered,1000,25061,dead,always,25061,3230,3230,661,16590,60829
clustered,1000,25061,dead,degree4,0,2412,2412,0,0,39306
clustered,1000,25061,dead,high_high,25061,3230,3230,661,16590,60829
clustered,1000,25061,dead,complement,25061,3230,3230,661,16590,60829
clustered,1000,25061,dead,random_exact,0,2412,2412,0,0,39306
clustered,1000,25061,dead,adaptive,0,2412,2412,0,0,39306
roadlike,1000,6000,dead,never,0,1404,1404,0,0,13825
roadlike,1000,6000,dead,always,6000,1741,1741,568,3408,20603
roadlike,1000,6000,dead,degree4,0,1404,1404,0,0,13825
roadlike,1000,6000,dead,high_high,6000,1741,1741,568,3408,20603
roadlike,1000,6000,dead,complement,6000,1741,1741,568,3408,20603
roadlike,1000,6000,dead,random_exact,0,1404,1404,0,0,13825
roadlike,1000,6000,dead,adaptive,0,1404,1404,0,0,13825
sparse,2000,9049,live,never,0,2697,2697,0,0,49332
sparse,2000,9049,live,always,9049,3264,3264,1201,5440,63710
sparse,2000,9049,live,degree4,1212,2796,2796,277,670,52069
sparse,2000,9049,live,high_high,3381,3156,3156,544,3532,60778
sparse,2000,9049,live,complement,7837,3202,3202,1028,5047,62242
sparse,2000,9049,live,random_exact,1212,2937,2937,323,1446,55603
sparse,2000,9049,live,adaptive,563,2744,2744,141,288,50692
dense,2000,399506,dead,never,0,8555,8555,0,0,198795
dense,2000,399506,dead,always,399506,11286,11286,1592,318144,275201
dense,2000,399506,dead,degree4,0,8555,8555,0,0,198795
dense,2000,399506,dead,high_high,399506,11286,11286,1592,318144,275201
dense,2000,399506,dead,complement,399506,11286,11286,1592,318144,275201
dense,2000,399506,dead,random_exact,0,8555,8555,0,0,198795
dense,2000,399506,dead,adaptive,0,8555,8555,0,0,198795
grid,2000,7820,saturated,never,0,2506,2506,0,0,26954
grid,2000,7820,saturated,always,7820,2761,2761,1244,4867,33692
grid,2000,7820,saturated,degree4,7820,2761,2761,1244,4867,33692
grid,2000,7820,saturated,high_high,0,2506,2506,0,0,26954
grid,2000,7820,saturated,complement,0,2506,2506,0,0,26954
grid,2000,7820,saturated,random_exact,7820,2761,2761,1244,4867,33692
grid,2000,7820,saturated,adaptive,352,2526,2526,82,245,27528
clustered,2000,51918,dead,never,0,5247,5247,0,0,100376
