case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,core,sparse,1000,4571,42,50.680530542844970,50.848749462020635,99.998119585918943,28.844052572164891,4.571000000,8,15325100,356600,736197c79215ecc6
2,core,sparse,2000,9049,42,50.948852213013637,51.661491687673646,99.984612134279800,28.355135240701443,4.524500000,8,56661200,449400,b78f8ba2dfb8e5fa
3,core,sparse,5000,22746,42,50.956390270230187,51.305912620866742,99.990842362730163,28.719480236813517,4.549200000,8,397403100,1343600,111741b116dfa39b
4,core,sparse,10000,45188,42,50.398364301854222,50.332113127307991,99.999576697680880,28.640972887566431,4.518800000,8,1359044300,1770600,a0e9337942badb82
5,core,clustered,1000,25061,42,7.626793163761232,5.678695891575071,99.634033610105476,12.376112220676623,25.061000000,38,1859800,1142700,ee13455bf2089578
6,core,clustered,2000,51918,42,9.664041770625497,5.799403056894262,99.931274289797329,16.994004255706137,25.959000000,39,4584000,2451100,962bbb6bd9c7307b
7,core,clustered,5000,142318,42,15.202735255807347,6.246176802700351,99.989883730785380,24.817623254560903,28.463600000,43,11320900,7022300,c3a736943cee9201
8,core,clustered,10000,324486,42,22.549218390124093,6.970205905160878,99.998454584098283,30.812632909109794,32.448600000,48,25386600,18029800,ad3c0d527a0db9b4
9,core,dense,1000,99482,42,50.477556803435768,50.468353643779466,99.999460680066392,28.598348756444196,99.482000000,131,10994500,4703500,498a65fee4665ded
10,core,dense,2000,399506,42,50.455524167365759,50.444443599514770,99.999460680066392,28.601289375980027,199.753000000,241,43485600,20304900,bd7a87b27b1cf5d3
11,core,dense,5000,2499352,42,50.508347497159377,50.509850123200103,99.999838069355619,28.581279263055773,499.870400000,580,278412600,146838000,91fb48477265c52f
12,core,grid,1000,3870,42,5.497905766609313,5.502806911361631,9.995028625390814,2.562946232918661,3.870000000,4,182800,168600,08babf97a5a24bd7
13,core,grid,2000,7820,42,5.479065837262515,5.454448247752804,9.995028625390814,2.579888184075056,3.910000000,4,268200,413000,b5e50c8a4271341f
14,core,grid,5000,19700,42,5.513259534878499,5.527849899946549,9.995201094756894,2.604529363349329,3.940000000,4,600600,1277200,a39cda263e51151d
15,core,grid,10000,39600,42,5.518396461439623,5.527849899946549,9.999993501488275,2.603035121889229,3.960000000,4,1552100,2562200,01e78dbcf307c9a9
16,core,roadlike,1000,6000,42,3.170100498693194,3.097240850875323,9.218084534013792,1.394609297036703,6.000000000,6,44732100,330300,5e93c9d913f67f4b
17,core,roadlike,2000,12000,42,2.208454606908184,2.194468989127902,6.683763692119356,0.951419503158299,6.000000000,6,176023100,530700,372616723b07b327
18,core,roadlike,5000,30000,42,1.402923775132232,1.390542950411385,4.394436927844180,0.602440006036114,6.000000000,6,1238436700,1303600,68a36f025b49722e
19,core,sparse,1000,4493,1729,51.074926373543889,51.929656790790453,99.976239920762865,28.942997088769914,4.493000000,8,12908900,195800,502b18759d900d90
20,core,sparse,2000,9015,1729,49.865420748817854,49.245312134509945,99.990744390893482,28.595053639136946,4.507500000,8,50482200,392700,9abcc822199b896c
21,core,sparse,5000,22422,1729,50.332638249169293,50.141097233805553,99.998510929896270,28.613098515444978,4.484400000,8,328413700,934700,204a93929ea66878
22,core,sparse,10000,44726,1729,50.365771042412355,50.288508309125689,99.999168349767103,28.613574689026748,4.472600000,8,1312974000,2112100,ab6bc4e1898c27db
23,core,clustered,1000,25303,1729,7.622683653066177,5.651139953273356,99.971135819607809,12.545885059024444,25.303000000,36,1736900,1142700,28ccf7aebeb017bf
