case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,333,binary,1381,1381,22636,639,4498,0,0,0,1380,396,0,985,0,0,0,0,0,0
1,333,fourary,1381,1381,24086,639,4498,0,0,0,1380,396,0,985,0,0,0,0,0,0
1,333,mean_map,1315,1315,0,0,9165,0,0,0,1314,130,7,1024,161,2251,547,0,0,0
1,333,mean_ring,1315,1315,0,0,9165,0,0,0,1314,130,7,1024,161,2251,547,0,0,0
1,333,mean_degree,1372,1372,0,0,9033,0,0,0,1371,327,24,992,53,4027,121,0,0,0
1,333,max_maxdegree,1371,1371,0,0,9009,0,0,0,1370,307,22,989,75,3969,136,0,0,0
1,333,original_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,333,list_both,1315,1315,0,0,5399,0,0,0,1314,130,7,1185,161,2710,631,0,0,0
1,333,skip_only,1315,1315,0,0,4667,0,0,0,1314,130,7,1024,161,2343,547,0,0,0
1,333,heavy_only,1315,1315,0,0,9897,0,0,0,1314,130,7,1185,161,2251,631,0,0,0
1,333,mean_sqrtdegree,1322,1322,0,0,9078,0,0,0,1321,220,13,1001,101,3432,236,0,0,0
1,333,median,1309,1309,0,0,9164,0,0,0,1308,125,7,1024,160,2245,545,0,0,0
1,333,sd,1317,1317,0,0,9053,0,0,0,1316,200,11,998,119,3207,315,0,0,0
1,333,caliber,1102,1102,17852,681,4498,0,0,0,1453,469,0,985,0,0,0,0,0,0
1,333,degree4,1437,1437,23997,704,4498,137,335,163,1436,452,0,985,0,0,0,568,1411,18446744073709551615
1,333,selected_grid,1648,1648,0,0,9628,0,0,0,1647,285,4,1118,245,0,842,0,0,0
1,333,always,1694,1694,29989,1075,4498,605,2757,1088,1693,709,0,985,0,0,0,4571,21059,18446744073709551615
1,333,high_high,1650,1650,28815,986,4498,279,1835,772,1649,665,0,985,0,0,0,1787,11677,18446744073709551615
1,333,complement,1686,1686,29783,1073,4498,530,2650,1050,1685,701,0,985,0,0,0,4003,19648,18446744073709551615
1,333,tail_only,1543,1543,26601,846,4498,265,1198,512,1542,558,0,985,0,0,0,1193,5537,18446744073709551615
1,333,head_only,1576,1576,27209,875,4498,506,1246,531,1575,591,0,985,0,0,0,2159,5256,18446744073709551615
1,333,adaptive,1409,1409,23235,669,4498,63,115,61,1408,424,0,985,0,0,0,261,520,18446744073709551615
1,333,random_0,1477,1477,24954,762,4498,148,661,296,1476,492,0,985,0,0,0,568,2531,18446744073709551615
1,333,budget_random_0,1460,1460,24566,730,4498,73,335,224,1459,475,0,985,0,0,0,568,2531,335
1,333,random_1,1472,1472,24979,759,4498,149,677,294,1471,487,0,985,0,0,0,568,2655,18446744073709551615
1,333,budget_random_1,1455,1455,24538,722,4498,75,335,218,1454,470,0,985,0,0,0,568,2655,335
1,333,random_2,1475,1475,24965,751,4498,143,656,309,1474,490,0,985,0,0,0,568,2712,18446744073709551615
1,333,budget_random_2,1448,1448,24296,713,4498,70,335,236,1447,463,0,985,0,0,0,568,2712,335
1,333,random_3,1489,1489,25176,774,4498,150,691,303,1488,504,0,985,0,0,0,568,2606,18446744073709551615
1,333,budget_random_3,1465,1465,24618,730,4498,76,335,222,1464,480,0,985,0,0,0,568,2606,335
1,333,random_4,1466,1466,24625,743,4498,142,598,268,1465,481,0,985,0,0,0,568,2543,18446744073709551615
1,333,budget_random_4,1455,1455,24410,719,4498,81,335,227,1454,470,0,985,0,0,0,568,2543,335
1,666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,666,binary,1377,1377,22566,635,4498,0,0,0,1376,392,0,985,0,0,0,0,0,0
1,666,fourary,1377,1377,24060,635,4498,0,0,0,1376,392,0,985,0,0,0,0,0,0
1,666,mean_map,1292,1292,0,0,9132,0,0,0,1291,124,7,1014,154,2251,458,0,0,0
1,666,mean_ring,1292,1292,0,0,9132,0,0,0,1291,124,7,1014,154,2251,458,0,0,0
1,666,mean_degree,1348,1348,0,0,9009,0,0,0,1347,305,28,987,56,4027,122,0,0,0
1,666,max_maxdegree,1360,1360,0,0,8996,0,0,0,1359,318,27,985,57,3969,143,0,0,0
1,666,original_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,666,list_both,1292,1292,0,0,5374,0,0,0,1291,124,7,1168,154,2673,558,0,0,0
1,666,skip_only,1292,1292,0,0,4634,0,0,0,1291,124,7,1014,154,2326,458,0,0,0
1,666,heavy_only,1292,1292,0,0,9872,0,0,0,1291,124,7,1168,154,2251,558,0,0,0
1,666,mean_sqrtdegree,1312,1312,0,0,9031,0,0,0,1311,219,14,994,99,3432,253,0,0,0
1,666,median,1292,1292,0,0,9139,0,0,0,1291,119,7,1015,158,2245,457,0,0,0
1,666,sd,1306,1306,0,0,9032,0,0,0,1305,208,12,993,105,3207,289,0,0,0
1,666,caliber,1090,1090,17695,672,4498,0,0,0,1437,453,0,985,0,0,0,0,0,0
1,666,degree4,1422,1422,23721,688,4498,123,323,148,1421,437,0,985,0,0,0,568,1411,18446744073709551615
1,666,selected_grid,1606,1606,0,0,9496,0,0,0,1605,187,4,1089,330,0,578,0,0,0
1,666,always,1645,1645,28974,1062,4498,609,2746,1035,1644,660,0,985,0,0,0,4571,21059,18446744073709551615
1,666,high_high,1583,1583,27486,929,4498,281,1828,702,1582,598,0,985,0,0,0,1787,11677,18446744073709551615
1,666,complement,1642,1642,28839,1055,4498,517,2622,1007,1641,657,0,985,0,0,0,4003,19648,18446744073709551615
1,666,tail_only,1525,1525,26104,826,4498,249,1180,502,1524,540,0,985,0,0,0,1193,5537,18446744073709551615
1,666,head_only,1577,1577,27271,892,4498,517,1243,508,1576,592,0,985,0,0,0,2159,5256,18446744073709551615
1,666,adaptive,1396,1396,23040,658,4498,60,119,60,1395,411,0,985,0,0,0,261,520,18446744073709551615
1,666,random_0,1482,1482,25163,778,4498,146,671,308,1481,497,0,985,0,0,0,568,2531,18446744073709551615
1,666,budget_random_0,1455,1455,24603,728,4498,75,323,229,1454,470,0,985,0,0,0,568,2531,323
1,666,random_1,1481,1481,25045,760,4498,144,655,327,1480,496,0,985,0,0,0,568,2655,18446744073709551615
1,666,budget_random_1,1439,1439,24106,705,4498,69,323,229,1438,454,0,985,0,0,0,568,2655,323
1,666,random_2,1443,1443,24425,760,4498,141,652,297,1442,458,0,985,0,0,0,568,2712,18446744073709551615
1,666,budget_random_2,1426,1426,24051,715,4498,70,323,218,1425,441,0,985,0,0,0,568,2712,323
1,666,random_3,1486,1486,25179,772,4498,135,642,311,1485,501,0,985,0,0,0,568,2606,18446744073709551615
1,666,budget_random_3,1464,1464,24751,734,4498,68,323,249,1463,479,0,985,0,0,0,568,2606,323
1,666,random_4,1460,1460,24673,750,4498,154,660,272,1459,475,0,985,0,0,0,568,2543,18446744073709551615
1,666,budget_random_4,1442,1442,24214,717,4498,79,323,212,1441,457,0,985,0,0,0,568,2543,323
2,666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,666,binary,2713,2713,49689,1239,8960,0,0,0,2712,733,0,1980,0,0,0,0,0,0
2,666,fourary,2713,2713,52137,1239,8960,0,0,0,2712,733,0,1980,0,0,0,0,0,0
2,666,mean_map,2542,2542,0,0,18145,0,0,0,2541,220,9,2031,291,4553,992,0,0,0
2,666,mean_ring,2542,2542,0,0,18145,0,0,0,2541,220,9,2031,291,4553,992,0,0,0
2,666,mean_degree,2694,2694,0,0,17957,0,0,0,2693,620,32,1987,87,8094,253,0,0,0
2,666,max_maxdegree,2673,2673,0,0,17941,0,0,0,2672,588,29,1986,99,7977,268,0,0,0
2,666,original_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,666,list_both,2542,2542,0,0,10422,0,0,0,2541,220,9,2322,291,5288,1095,0,0,0
2,666,skip_only,2542,2542,0,0,9185,0,0,0,2541,220,9,2031,291,4668,992,0,0,0
2,666,heavy_only,2542,2542,0,0,19382,0,0,0,2541,220,9,2322,291,4553,1095,0,0,0
2,666,mean_sqrtdegree,2616,2616,0,0,17998,0,0,0,2615,449,17,1999,168,6952,512,0,0,0
2,666,median,2577,2577,0,0,18199,0,0,0,2576,239,9,2042,296,4485,1027,0,0,0
2,666,sd,2580,2580,0,0,18023,0,0,0,2579,371,15,2005,204,6546,618,0,0,0
2,666,caliber,2160,2160,39168,1308,8960,0,0,0,2821,842,0,1980,0,0,0,0,0,0
2,666,degree4,2843,2843,53133,1392,8960,281,669,317,2842,863,0,1980,0,0,0,1212,2939,18446744073709551615
2,666,selected_grid,3147,3147,0,0,18574,0,0,0,3146,458,5,2134,555,0,1345,0,0,0
2,666,always,3267,3267,63889,2057,8960,1195,5488,2071,3266,1287,0,1980,0,0,0,9049,41249,18446744073709551615
2,666,high_high,3148,3148,60840,1787,8960,541,3510,1404,3147,1168,0,1980,0,0,0,3381,22005,18446744073709551615
2,666,complement,3250,3250,63550,2013,8960,1042,5200,1992,3249,1270,0,1980,0,0,0,7837,38310,18446744073709551615
2,666,tail_only,3015,3015,57617,1674,8960,548,2431,987,3014,1035,0,1980,0,0,0,2479,11179,18446744073709551615
2,666,head_only,3080,3080,59141,1709,8960,1004,2555,1067,3079,1100,0,1980,0,0,0,4401,11004,18446744073709551615
2,666,adaptive,2762,2762,50979,1295,8960,131,260,120,2761,782,0,1980,0,0,0,563,1135,18446744073709551615
2,666,random_0,2944,2944,55872,1523,8960,309,1445,718,2943,964,0,1980,0,0,0,1212,5599,18446744073709551615
2,666,budget_random_0,2865,2865,54135,1416,8960,144,669,504,2864,885,0,1980,0,0,0,1212,5599,669
2,666,random_1,2921,2921,55217,1497,8960,311,1443,640,2920,941,0,1980,0,0,0,1212,5613,18446744073709551615
2,666,budget_random_1,2852,2852,53428,1396,8960,151,669,470,2851,872,0,1980,0,0,0,1212,5613,669
2,666,random_2,2958,2958,55996,1525,8960,315,1441,627,2957,978,0,1980,0,0,0,1212,5552,18446744073709551615
2,666,budget_random_2,2877,2877,54084,1420,8960,148,669,457,2876,897,0,1980,0,0,0,1212,5552,669
2,666,random_3,2893,2893,54554,1459,8960,296,1326,558,2892,913,0,1980,0,0,0,1212,5458,18446744073709551615
2,666,budget_random_3,2835,2835,53049,1390,8960,150,669,443,2834,855,0,1980,0,0,0,1212,5458,669
2,666,random_4,2936,2936,55571,1518,8960,320,1473,616,2935,956,0,1980,0,0,0,1212,5546,18446744073709551615
2,666,budget_random_4,2871,2871,53935,1415,8960,150,669,453,2870,891,0,1980,0,0,0,1212,5546,669
2,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1333,binary,2719,2719,49941,1245,8960,0,0,0,2718,739,0,1980,0,0,0,0,0,0
2,1333,fourary,2719,2719,52178,1245,8960,0,0,0,2718,739,0,1980,0,0,0,0,0,0
2,1333,mean_map,2582,2582,0,0,18125,0,0,0,2581,232,8,2033,317,4553,833,0,0,0
2,1333,mean_ring,2582,2582,0,0,18125,0,0,0,2581,232,8,2033,317,4553,833,0,0,0
2,1333,mean_degree,2709,2709,0,0,17935,0,0,0,2708,617,29,1983,109,8094,250,0,0,0
2,1333,max_maxdegree,2690,2690,0,0,17945,0,0,0,2689,589,27,1985,116,7977,271,0,0,0
2,1333,original_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1333,list_both,2582,2582,0,0,10649,0,0,0,2581,232,8,2350,317,5431,1008,0,0,0
2,1333,skip_only,2582,2582,0,0,9165,0,0,0,2581,232,8,2033,317,4652,833,0,0,0
2,1333,heavy_only,2582,2582,0,0,19609,0,0,0,2581,232,8,2350,317,4553,1008,0,0,0
2,1333,mean_sqrtdegree,2652,2652,0,0,17987,0,0,0,2651,445,16,1996,211,6952,529,0,0,0
2,1333,median,2576,2576,0,0,18157,0,0,0,2575,221,8,2039,316,4485,878,0,0,0
2,1333,sd,2620,2620,0,0,18050,0,0,0,2619,395,14,2012,213,6546,584,0,0,0
2,1333,caliber,2156,2156,39152,1313,8960,0,0,0,2815,836,0,1980,0,0,0,0,0,0
2,1333,degree4,2834,2834,52893,1394,8960,278,668,284,2833,854,0,1980,0,0,0,1212,2939,18446744073709551615
2,1333,selected_grid,3130,3130,0,0,18509,0,0,0,3129,381,5,2116,633,0,1072,0,0,0
2,1333,always,3372,3372,66382,2118,8960,1243,5590,2128,3371,1392,0,1980,0,0,0,9049,41249,18446744073709551615
2,1333,high_high,3160,3160,61123,1821,8960,522,3415,1443,3159,1180,0,1980,0,0,0,3381,22005,18446744073709551615
2,1333,complement,3353,3353,65970,2108,8960,1082,5299,2079,3352,1373,0,1980,0,0,0,7837,38310,18446744073709551615
2,1333,tail_only,3075,3075,58968,1731,8960,566,2588,1039,3074,1095,0,1980,0,0,0,2479,11179,18446744073709551615
2,1333,head_only,3061,3061,58832,1703,8960,998,2550,1064,3060,1081,0,1980,0,0,0,4401,11004,18446744073709551615
2,1333,adaptive,2775,2775,51296,1309,8960,131,264,114,2774,795,0,1980,0,0,0,563,1135,18446744073709551615
2,1333,random_0,2933,2933,55581,1510,8960,312,1489,692,2932,953,0,1980,0,0,0,1212,5599,18446744073709551615
2,1333,budget_random_0,2875,2875,54109,1406,8960,138,668,505,2874,895,0,1980,0,0,0,1212,5599,668
2,1333,random_1,2976,2976,56484,1553,8960,311,1399,626,2975,996,0,1980,0,0,0,1212,5613,18446744073709551615
2,1333,budget_random_1,2926,2926,55273,1464,8960,150,668,458,2925,946,0,1980,0,0,0,1212,5613,668
2,1333,random_2,2971,2971,56442,1536,8960,338,1511,646,2970,991,0,1980,0,0,0,1212,5552,18446744073709551615
2,1333,budget_random_2,2903,2903,54780,1450,8960,149,668,475,2902,923,0,1980,0,0,0,1212,5552,668
2,1333,random_3,2938,2938,55550,1507,8960,320,1440,608,2937,958,0,1980,0,0,0,1212,5458,18446744073709551615
2,1333,budget_random_3,2873,2873,54001,1419,8960,150,668,460,2872,893,0,1980,0,0,0,1212,5458,668
2,1333,random_4,2941,2941,55571,1531,8960,305,1368,582,2940,961,0,1980,0,0,0,1212,5546,18446744073709551615
2,1333,budget_random_4,2905,2905,54557,1454,8960,152,668,454,2904,925,0,1980,0,0,0,1212,5546,668
3,1666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1666,binary,6927,6927,145739,3137,22502,0,0,0,6926,1978,0,4949,0,0,0,0,0,0
3,1666,fourary,6927,6927,153433,3137,22502,0,0,0,6926,1978,0,4949,0,0,0,0,0,0
3,1666,mean_map,6524,6524,0,0,45731,0,0,0,6523,608,7,5111,805,11343,2516,0,0,0
3,1666,mean_ring,6524,6524,0,0,45731,0,0,0,6523,608,7,5111,805,11343,2516,0,0,0
3,1666,mean_degree,6865,6865,0,0,45060,0,0,0,6864,1666,32,4962,237,20209,641,0,0,0
3,1666,max_maxdegree,6881,6881,0,0,45093,0,0,0,6880,1610,29,4969,302,19939,734,0,0,0
3,1666,original_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1666,list_both,6524,6524,0,0,26976,0,0,0,6523,608,7,5916,805,13623,3022,0,0,0
3,1666,skip_only,6524,6524,0,0,23229,0,0,0,6523,608,7,5111,805,11679,2516,0,0,0
3,1666,heavy_only,6524,6524,0,0,49478,0,0,0,6523,608,7,5916,805,11343,3022,0,0,0
3,1666,mean_sqrtdegree,6713,6713,0,0,45295,0,0,0,6712,1201,15,5015,497,17332,1229,0,0,0
3,1666,median,6530,6530,0,0,45757,0,0,0,6529,600,7,5110,820,11259,2510,0,0,0
3,1666,sd,6650,6650,0,0,45360,0,0,0,6649,1053,13,5028,569,16268,1483,0,0,0
3,1666,caliber,5456,5456,113585,3268,22502,0,0,0,7182,2234,0,4949,0,0,0,0,0,0
3,1666,degree4,7219,7219,154263,3493,22502,684,1682,750,7218,2270,0,4949,0,0,0,3070,7627,18446744073709551615
3,1666,selected_grid,8521,8521,0,0,48920,0,0,0,8520,1406,4,5800,1315,0,4682,0,0,0
3,1666,always,8308,8308,185543,5170,22502,3049,13861,5258,8307,3359,0,4949,0,0,0,22746,103684,18446744073709551615
3,1666,high_high,8041,8041,177397,4623,22502,1396,9138,3675,8040,3092,0,4949,0,0,0,8466,55220,18446744073709551615
3,1666,complement,8269,8269,184614,5128,22502,2714,13360,5060,8268,3320,0,4949,0,0,0,19676,96057,18446744073709551615
3,1666,tail_only,7713,7713,167768,4172,22502,1368,6220,2560,7712,2764,0,4949,0,0,0,6198,27918,18446744073709551615
