case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse,1000,4571,42,0,grid_0.75,0,0,183300,38.01039790713373,6300
1,calibration,sparse,1000,4571,42,0,grid_1,0,1,179200,50.68053054284497,6300
1,calibration,sparse,1000,4571,42,0,grid_0.1,0,2,230400,5.068053054284498,6300
1,calibration,sparse,1000,4571,42,0,grid_2,0,3,152800,101.36106108568994,6300
1,calibration,sparse,1000,4571,42,0,grid_16,0,4,177600,810.8884886855195,6300
1,calibration,sparse,1000,4571,42,0,grid_0.25,0,5,192800,12.670132635711242,6300
1,calibration,sparse,1000,4571,42,0,grid_0.5,0,6,193300,25.340265271422485,6300
1,calibration,sparse,1000,4571,42,0,grid_0.03125,0,7,260700,1.5837665794639053,6300
1,calibration,sparse,1000,4571,42,0,grid_1.5,0,8,191200,76.02079581426746,6300
1,calibration,sparse,1000,4571,42,0,grid_4,0,9,174300,202.72212217137988,6300
1,calibration,sparse,1000,4571,42,0,grid_8,0,10,169000,405.44424434275976,6300
1,calibration,sparse,1000,4571,42,0,grid_0.05,0,11,226800,2.534026527142249,6300
1,calibration,sparse,1000,4571,42,0,grid_0.05,1,0,216000,2.534026527142249,6300
1,calibration,sparse,1000,4571,42,0,grid_8,1,1,175900,405.44424434275976,6300
1,calibration,sparse,1000,4571,42,0,grid_4,1,2,169500,202.72212217137988,6300
1,calibration,sparse,1000,4571,42,0,grid_1.5,1,3,167600,76.02079581426746,6300
1,calibration,sparse,1000,4571,42,0,grid_0.03125,1,4,242000,1.5837665794639053,6300
1,calibration,sparse,1000,4571,42,0,grid_0.5,1,5,176100,25.340265271422485,6300
1,calibration,sparse,1000,4571,42,0,grid_0.25,1,6,186600,12.670132635711242,6300
1,calibration,sparse,1000,4571,42,0,grid_16,1,7,190300,810.8884886855195,6300
1,calibration,sparse,1000,4571,42,0,grid_2,1,8,139700,101.36106108568994,6300
1,calibration,sparse,1000,4571,42,0,grid_0.1,1,9,195600,5.068053054284498,6300
1,calibration,sparse,1000,4571,42,0,grid_1,1,10,178500,50.68053054284497,6300
1,calibration,sparse,1000,4571,42,0,grid_0.75,1,11,181000,38.01039790713373,6300
1,calibration,sparse,1000,4571,42,0,grid_1,2,0,157200,50.68053054284497,6300
1,calibration,sparse,1000,4571,42,0,grid_0.75,2,1,177300,38.01039790713373,6300
1,calibration,sparse,1000,4571,42,0,grid_1.5,2,2,163000,76.02079581426746,6300
1,calibration,sparse,1000,4571,42,0,grid_4,2,3,173700,202.72212217137988,6300
1,calibration,sparse,1000,4571,42,0,grid_0.03125,2,4,245600,1.5837665794639053,6300
