case,training_source,multiplier,median_ns,total_calibration_ns,selected
1,0,0.03125,240200,13309200,false
1,0,0.05,215450,13309200,false
1,0,0.1,194650,13309200,false
1,0,0.25,186900,13309200,false
1,0,0.5,178250,13309200,false
1,0,0.75,172600,13309200,false
1,0,1,162550,13309200,false
1,0,1.5,168050,13309200,false
1,0,2,138300,13309200,true
1,0,4,171600,13309200,false
1,0,8,172450,13309200,false
1,0,16,182400,13309200,false
2,0,0.03125,411450,22441200,false
2,0,0.05,366950,22441200,false
2,0,0.1,341250,22441200,false
2,0,0.25,323500,22441200,false
2,0,0.5,285700,22441200,false
2,0,0.75,275000,22441200,false
2,0,1,318350,22441200,false
2,0,1.5,251800,22441200,false
2,0,2,227050,22441200,true
2,0,4,246050,22441200,false
2,0,8,256050,22441200,false
2,0,16,263950,22441200,false
3,0,0.03125,1053800,61987800,false
3,0,0.05,1000100,61987800,false
3,0,0.1,938200,61987800,false
3,0,0.25,811350,61987800,false
3,0,0.5,776750,61987800,false
3,0,0.75,711300,61987800,false
3,0,1,813700,61987800,false
3,0,1.5,703500,61987800,false
3,0,2,637450,61987800,true
3,0,4,730600,61987800,false
3,0,8,852700,61987800,false
3,0,16,927600,61987800,false
4,0,0.03125,1778200,109618600,false
4,0,0.05,1596800,109618600,false
4,0,0.1,1512850,109618600,false
4,0,0.25,1431150,109618600,false
4,0,0.5,1364950,109618600,false
4,0,0.75,1403750,109618600,false
4,0,1,1424200,109618600,false
4,0,1.5,1367150,109618600,false
4,0,2,1241100,109618600,true
4,0,4,1356850,109618600,false
4,0,8,1678950,109618600,false
4,0,16,1649700,109618600,false
5,0,0.03125,450400,23012700,false
5,0,0.05,404000,23012700,false
5,0,0.1,351800,23012700,false
5,0,0.25,330500,23012700,false
5,0,0.5,285150,23012700,false
5,0,0.75,278050,23012700,false
5,0,1,280300,23012700,false
5,0,1.5,255450,23012700,false
5,0,2,281200,23012700,false
5,0,4,256850,23012700,false
5,0,8,269200,23012700,false
5,0,16,252550,23012700,true
6,0,0.03125,876400,47909500,false
6,0,0.05,855550,47909500,false
6,0,0.1,692350,47909500,false
6,0,0.25,606950,47909500,false
