case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,density,er_d2,1000,2008,42,50.076841185817699,49.785001834023404,99.996305322389418,28.868483179076666,2.008000000,8,3536400,86600,77e8d3d6ff4067f6
2,density,er_d4,1000,3958,42,50.379890397789502,50.763546110745345,99.997844859838168,28.677206089407992,3.958000000,12,3496500,135300,96c9001450167c4c
3,density,er_d8,1000,8002,42,50.345394704366726,50.427362803031187,99.999460680066392,28.641356933983939,8.002000000,21,4140800,282000,11d7f3c21b8e59c9
4,density,er_d16,1000,15852,42,50.455595551053968,50.504979923233549,99.999460680066392,28.646104868589770,15.852000000,28,4217500,563800,a38b730719d26a07
5,density,er_d32,1000,31685,42,50.468556807951074,50.562414123086171,99.999460680066392,28.667010284812591,31.685000000,52,7038900,1300800,3737742cfb349d6f
6,density,er_d64,1000,63664,42,50.377880175293782,50.368144695280172,99.999460680066392,28.653748956359991,63.664000000,92,7597600,2775400,ccb08763b55c8e70
7,density,er_d128,1000,127491,42,50.507019470250427,50.559531900829199,99.999460680066392,28.561515872813871,127.491000000,168,12531500,6116900,59da1e1efb28a3ad
8,density,er_d256,1000,255852,42,50.490998527333311,50.469864398262764,99.999460680066392,28.586556716098318,255.852000000,298,17579800,10333400,32b58f12e962ed83
9,density,er_d2,5000,10076,42,50.469521143335236,50.386393848955244,99.988726082950407,28.759934694566464,2.015200000,8,189335600,696400,815f4dd77ec6b506
10,density,er_d4,5000,20233,42,50.736392956474724,51.048031640745080,99.998290703480095,28.755384211231327,4.046600000,14,215151900,2384700,85a04afe2e4a188c
11,density,er_d8,5000,40122,42,50.510802707689805,50.498034093489956,99.998290703480095,28.719863341045354,8.024400000,19,170878500,3871500,b2c70a8fb533912f
12,density,er_d16,5000,80269,42,50.583374224376811,50.631941887694374,99.999838069355619,28.651216482777141,16.053800000,36,183220300,4531000,38e1ef744f40596a
13,density,er_d32,5000,160515,42,50.504331434598917,50.497153748285569,99.999838069355619,28.651685309971047,32.103000000,53,123824000,7312000,fd7fba732554f226
14,density,er_d64,5000,320252,42,50.476714079029840,50.460375591895001,99.999838069355619,28.618961618998551,64.050400000,94,127051200,15781700,1f26c269c0912d0f
15,density,er_d128,5000,640741,42,50.509591367834894,50.496584279474590,99.999937811539937,28.587635126385496,128.148200000,169,153931100,34352100,17cab2f0ff4a6db9
16,density,er_d256,5000,1281541,42,50.499953859892720,50.490671569917509,99.999937811539937,28.578722727574061,256.308200000,313,211691300,79241100,bbd0303c2bebbff8
17,density,er_d2,1000,1976,1729,51.594635687777625,53.026463296579422,99.958887484446592,28.213427237677596,1.976000000,7,4317300,123100,6841455da227d501
18,density,er_d4,1000,4011,1729,51.333582666492362,51.833896421884347,99.974809743712129,28.219660459458527,4.011000000,12,4594800,183000,ab8273cfa3112741
