case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,333,binary,839,839,10485,177,1583,0,0,0,838,53,0,786,0,0,0,0,0,0
1,333,fourary,839,839,11527,177,1583,0,0,0,838,53,0,786,0,0,0,0,0,0
1,333,mean_map,826,826,0,0,3171,0,0,0,825,14,17,789,23,784,175,0,0,0
1,333,mean_ring,826,826,0,0,3171,0,0,0,825,14,17,789,23,784,175,0,0,0
1,333,mean_degree,828,828,0,0,3166,0,0,0,827,28,32,786,14,1185,93,0,0,0
1,333,max_maxdegree,835,835,0,0,3166,0,0,0,834,41,58,786,8,1395,48,0,0,0
1,333,caliber,548,548,6786,188,1583,0,0,0,852,67,0,786,0,0,0,0,0,0
1,333,degree4,880,880,11885,258,1583,362,684,378,879,94,0,786,0,0,0,1663,3090,18446744073709551615
1,333,selected_grid,904,904,0,0,3239,0,0,0,903,24,5,824,56,0,503,0,0,0
1,666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,666,binary,848,848,10431,158,1583,0,0,0,847,62,0,786,0,0,0,0,0,0
1,666,fourary,848,848,11528,158,1583,0,0,0,847,62,0,786,0,0,0,0,0,0
1,666,mean_map,832,832,0,0,3170,0,0,0,831,15,16,787,30,784,139,0,0,0
1,666,mean_ring,832,832,0,0,3170,0,0,0,831,15,16,787,30,784,139,0,0,0
1,666,mean_degree,841,841,0,0,3172,0,0,0,840,34,30,788,19,1185,69,0,0,0
1,666,max_maxdegree,843,843,0,0,3170,0,0,0,842,40,53,787,16,1395,41,0,0,0
1,666,caliber,557,557,6802,168,1583,0,0,0,873,88,0,786,0,0,0,0,0,0
1,666,degree4,885,885,11883,235,1583,366,678,391,884,99,0,786,0,0,0,1663,3090,18446744073709551615
1,666,selected_grid,900,900,0,0,3229,0,0,0,899,34,4,819,47,0,445,0,0,0
2,333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,333,binary,1296,1296,20620,552,3895,0,0,0,1295,313,0,983,0,0,0,0,0,0
2,333,fourary,1296,1296,22112,552,3895,0,0,0,1295,313,0,983,0,0,0,0,0,0
2,333,mean_map,1237,1237,0,0,7925,0,0,0,1236,91,8,1017,129,1959,403,0,0,0
2,333,mean_ring,1237,1237,0,0,7925,0,0,0,1236,91,8,1017,129,1959,403,0,0,0
2,333,mean_degree,1290,1290,0,0,7802,0,0,0,1289,253,29,987,50,3410,126,0,0,0
2,333,max_maxdegree,1292,1292,0,0,7790,0,0,0,1291,281,42,983,28,3601,80,0,0,0
2,333,caliber,987,987,15518,564,3895,0,0,0,1342,360,0,983,0,0,0,0,0,0
2,333,degree4,1390,1390,23036,670,3895,226,626,294,1389,407,0,983,0,0,0,1055,2861,18446744073709551615
2,333,selected_grid,1536,1536,0,0,8213,0,0,0,1535,158,2,1097,281,0,551,0,0,0
2,666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,666,binary,1313,1313,20949,586,3895,0,0,0,1312,330,0,983,0,0,0,0,0,0
2,666,fourary,1313,1313,22384,586,3895,0,0,0,1312,330,0,983,0,0,0,0,0,0
2,666,mean_map,1230,1230,0,0,7891,0,0,0,1229,99,8,1007,124,1959,390,0,0,0
2,666,mean_ring,1230,1230,0,0,7891,0,0,0,1229,99,8,1007,124,1959,390,0,0,0
2,666,mean_degree,1293,1293,0,0,7798,0,0,0,1292,257,28,986,50,3410,120,0,0,0
2,666,max_maxdegree,1305,1305,0,0,7793,0,0,0,1304,286,41,984,35,3601,83,0,0,0
2,666,caliber,1011,1011,15929,607,3895,0,0,0,1361,379,0,983,0,0,0,0,0,0
2,666,degree4,1428,1428,23810,724,3895,240,625,313,1427,445,0,983,0,0,0,1055,2861,18446744073709551615
2,666,selected_grid,1549,1549,0,0,8215,0,0,0,1548,161,2,1093,295,0,556,0,0,0
3,333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,333,binary,1815,1815,32218,1076,7994,0,0,0,1814,816,0,999,0,0,0,0,0,0
3,333,fourary,1815,1815,33872,1076,7994,0,0,0,1814,816,0,999,0,0,0,0,0,0
3,333,mean_map,1680,1680,0,0,16724,0,0,0,1679,285,4,1095,300,4000,718,0,0,0
3,333,mean_ring,1680,1680,0,0,16724,0,0,0,1679,285,4,1095,300,4000,718,0,0,0
3,333,mean_degree,1779,1779,0,0,15988,0,0,0,1778,721,31,999,59,7568,119,0,0,0
3,333,max_maxdegree,1806,1806,0,0,15988,0,0,0,1805,759,41,999,48,7689,87,0,0,0
3,333,caliber,1564,1564,27676,1159,7994,0,0,0,1901,903,0,999,0,0,0,0,0,0
3,333,degree4,1818,1818,32338,1079,7994,4,12,3,1817,819,0,999,0,0,0,23,71,18446744073709551615
3,333,selected_grid,2212,2212,0,0,17134,0,0,0,2211,545,2,1147,520,0,797,0,0,0
3,666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,666,binary,1789,1789,31860,1070,7994,0,0,0,1788,790,0,999,0,0,0,0,0,0
3,666,fourary,1789,1789,33362,1070,7994,0,0,0,1788,790,0,999,0,0,0,0,0,0
3,666,mean_map,1631,1631,0,0,16674,0,0,0,1630,255,4,1086,290,4000,755,0,0,0
3,666,mean_ring,1631,1631,0,0,16674,0,0,0,1630,255,4,1086,290,4000,755,0,0,0
3,666,mean_degree,1786,1786,0,0,15988,0,0,0,1785,741,29,999,46,7568,131,0,0,0
3,666,max_maxdegree,1766,1766,0,0,15988,0,0,0,1765,729,38,999,38,7689,104,0,0,0
3,666,caliber,1518,1518,26826,1124,7994,0,0,0,1854,856,0,999,0,0,0,0,0,0
3,666,degree4,1794,1794,31967,1076,7994,8,23,9,1793,795,0,999,0,0,0,23,71,18446744073709551615
3,666,selected_grid,2416,2416,0,0,17744,0,0,0,2415,731,2,1227,458,0,943,0,0,0
4,333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,333,binary,2332,2332,44571,1651,15852,0,0,0,2331,1332,0,1000,0,0,0,0,0,0
4,333,fourary,2332,2332,46098,1651,15852,0,0,0,2331,1332,0,1000,0,0,0,0,0,0
4,333,mean_map,2274,2274,0,0,34381,0,0,0,2273,695,2,1177,402,7938,978,0,0,0
4,333,mean_ring,2274,2274,0,0,34381,0,0,0,2273,695,2,1177,402,7938,978,0,0,0
4,333,mean_degree,2348,2348,0,0,31721,0,0,0,2347,1288,42,1001,59,15488,119,0,0,0
4,333,max_maxdegree,2351,2351,0,0,31704,0,0,0,2350,1284,37,1000,67,15422,133,0,0,0
4,333,caliber,2083,2083,39424,1705,15852,0,0,0,2405,1406,0,1000,0,0,0,0,0,0
4,333,degree4,2332,2332,44571,1651,15852,0,0,0,2331,1332,0,1000,0,0,0,0,0,18446744073709551615
4,333,selected_grid,2038,2038,0,0,33378,0,0,0,2037,648,5,1106,284,11935,823,0,0,0
