case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,er_d2,1000,2008,42,0,grid_0.75,0,0,72000,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,0,1,68300,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,0,2,114200,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,0,3,132600,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,0,4,89500,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,0,5,84800,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,0,6,76200,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,0,7,133600,1.564901287056803,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,0,8,65100,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,0,9,50200,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,0,10,46500,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,0,11,113300,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,1,0,100600,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,1,1,50500,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,1,2,50200,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,1,3,157600,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,1,4,215700,1.564901287056803,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,1,5,77900,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,1,6,82700,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,1,7,141200,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,1,8,765900,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,1,9,139400,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,1,10,107500,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.75,1,11,130500,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,2,0,64500,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.75,2,1,253200,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,2,2,62400,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,2,3,231800,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,2,4,133600,1.564901287056803,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,2,5,111700,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,2,6,83100,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,2,7,51700,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,2,8,131300,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,2,9,82200,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,2,10,57100,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,2,11,56300,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,3,0,45700,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,3,1,47500,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,3,2,73300,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,3,3,114100,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,3,4,50100,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,3,5,83700,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,3,6,113900,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,3,7,128800,1.564901287056803,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,3,8,53200,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,3,9,66800,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.75,3,10,75800,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,3,11,69900,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,4,0,125600,1.564901287056803,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,4,1,99300,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,4,2,52000,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,4,3,60000,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,4,4,77800,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,4,5,52600,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,4,6,118800,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.75,4,7,73300,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,4,8,64200,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,4,9,84900,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,4,10,52200,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,4,11,71600,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_1,5,0,57600,50.0768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_16,5,1,52700,801.2294589730832,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.25,5,2,81600,12.519210296454425,2000
1,calibration,er_d2,1000,2008,42,0,grid_1.5,5,3,63000,75.11526177872655,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.75,5,4,70200,37.557630889363274,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.05,5,5,169200,2.503842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_8,5,6,53900,400.6147294865416,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.5,5,7,78000,25.03842059290885,2000
1,calibration,er_d2,1000,2008,42,0,grid_2,5,8,56200,100.1536823716354,2000
1,calibration,er_d2,1000,2008,42,0,grid_4,5,9,49400,200.3073647432708,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.1,5,10,102200,5.00768411858177,2000
1,calibration,er_d2,1000,2008,42,0,grid_0.03125,5,11,130800,1.564901287056803,2000
1,density,er_d2,1000,2008,42,333,binary,0,0,74200,0,0
1,density,er_d2,1000,2008,42,333,fourary,0,1,74500,0,0
1,density,er_d2,1000,2008,42,333,selected_grid,0,2,49600,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,mean_degree,0,3,76700,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,max_maxdegree,0,4,83700,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,mean_map,0,5,69500,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,caliber,0,6,58100,0,10300
1,density,er_d2,1000,2008,42,333,mean_ring,0,7,62600,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,degree4,0,8,85800,0,34600
1,density,er_d2,1000,2008,42,333,std_binary,0,9,71900,0,0
1,density,er_d2,1000,2008,42,333,std_binary,1,0,64600,0,0
1,density,er_d2,1000,2008,42,333,degree4,1,1,85100,0,34600
1,density,er_d2,1000,2008,42,333,mean_ring,1,2,60900,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,caliber,1,3,59000,0,10300
1,density,er_d2,1000,2008,42,333,mean_map,1,4,66900,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,max_maxdegree,1,5,82200,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,mean_degree,1,6,76000,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,selected_grid,1,7,52100,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,fourary,1,8,84900,0,0
1,density,er_d2,1000,2008,42,333,binary,1,9,73600,0,0
1,density,er_d2,1000,2008,42,333,max_maxdegree,2,0,78700,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,binary,2,1,69900,0,0
1,density,er_d2,1000,2008,42,333,mean_degree,2,2,73400,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,fourary,2,3,71900,0,0
1,density,er_d2,1000,2008,42,333,degree4,2,4,87900,0,34600
1,density,er_d2,1000,2008,42,333,caliber,2,5,56400,0,10300
1,density,er_d2,1000,2008,42,333,mean_map,2,6,65400,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,mean_ring,2,7,58000,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,selected_grid,2,8,84700,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,std_binary,2,9,70100,0,0
1,density,er_d2,1000,2008,42,333,std_binary,3,0,66400,0,0
1,density,er_d2,1000,2008,42,333,selected_grid,3,1,52200,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,mean_ring,3,2,60200,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,mean_map,3,3,66800,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,caliber,3,4,59600,0,10300
1,density,er_d2,1000,2008,42,333,degree4,3,5,89900,0,34600
1,density,er_d2,1000,2008,42,333,fourary,3,6,74600,0,0
1,density,er_d2,1000,2008,42,333,mean_degree,3,7,75000,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,binary,3,8,79400,0,0
1,density,er_d2,1000,2008,42,333,max_maxdegree,3,9,83700,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,mean_map,4,0,70200,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,mean_degree,4,1,76700,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,mean_ring,4,2,62500,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,selected_grid,4,3,52100,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,caliber,4,4,67100,0,10300
1,density,er_d2,1000,2008,42,333,binary,4,5,72400,0,0
1,density,er_d2,1000,2008,42,333,degree4,4,6,90800,0,34600
1,density,er_d2,1000,2008,42,333,fourary,4,7,76200,0,0
1,density,er_d2,1000,2008,42,333,max_maxdegree,4,8,80500,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,std_binary,4,9,77400,0,0
1,density,er_d2,1000,2008,42,333,std_binary,5,0,70900,0,0
1,density,er_d2,1000,2008,42,333,max_maxdegree,5,1,75900,12.499538165298677,5100
1,density,er_d2,1000,2008,42,333,fourary,5,2,74600,0,0
1,density,er_d2,1000,2008,42,333,degree4,5,3,88200,0,34600
1,density,er_d2,1000,2008,42,333,binary,5,4,73000,0,0
1,density,er_d2,1000,2008,42,333,caliber,5,5,58400,0,10300
1,density,er_d2,1000,2008,42,333,selected_grid,5,6,51800,200.3073647432708,7270600
1,density,er_d2,1000,2008,42,333,mean_ring,5,7,61600,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,mean_degree,5,8,76300,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,mean_map,5,9,67900,50.0768411858177,2000
1,density,er_d2,1000,2008,42,333,fourary,6,0,73600,0,0
1,density,er_d2,1000,2008,42,333,mean_degree,6,1,72800,24.93866592919208,2000
1,density,er_d2,1000,2008,42,333,mean_ring,6,2,59600,50.0768411858177,2000
