case,training_source,multiplier,median_ns,total_calibration_ns,selected
1,0,0.03125,132200,7268600,false
1,0,0.05,113600,7268600,false
1,0,0.1,114150,7268600,false
1,0,0.25,83400,7268600,false
1,0,0.5,77850,7268600,false
1,0,0.75,74550,7268600,false
1,0,1,69100,7268600,false
1,0,1.5,64650,7268600,false
1,0,2,58150,7268600,false
1,0,4,51100,7268600,true
1,0,8,51550,7268600,false
1,0,16,52450,7268600,false
2,0,0.03125,162600,7890100,false
2,0,0.05,148300,7890100,false
2,0,0.1,136350,7890100,false
2,0,0.25,114850,7890100,false
2,0,0.5,105100,7890100,false
2,0,0.75,100450,7890100,false
2,0,1,94700,7890100,false
2,0,1.5,91300,7890100,false
2,0,2,83000,7890100,false
2,0,4,77550,7890100,true
2,0,8,92700,7890100,false
2,0,16,90200,7890100,false
3,0,0.03125,198050,10978600,false
3,0,0.05,179350,10978600,false
3,0,0.1,176250,10978600,false
3,0,0.25,148350,10978600,false
3,0,0.5,134050,10978600,false
3,0,0.75,127200,10978600,false
3,0,1,124900,10978600,false
3,0,1.5,126400,10978600,false
3,0,2,122200,10978600,true
3,0,4,150600,10978600,false
3,0,8,146750,10978600,false
3,0,16,145150,10978600,false
4,0,0.03125,248650,16065400,false
4,0,0.05,234450,16065400,false
4,0,0.1,212950,16065400,false
4,0,0.25,181350,16065400,false
4,0,0.5,164350,16065400,true
4,0,0.75,169800,16065400,false
4,0,1,172100,16065400,false
4,0,1.5,240400,16065400,false
4,0,2,222350,16065400,false
4,0,4,236350,16065400,false
4,0,8,229400,16065400,false
4,0,16,235000,16065400,false
5,0,0.03125,335900,22714900,false
5,0,0.05,318700,22714900,false
5,0,0.1,294100,22714900,false
5,0,0.25,260400,22714900,false
5,0,0.5,246100,22714900,true
5,0,0.75,257900,22714900,false
5,0,1,301000,22714900,false
5,0,1.5,338000,22714900,false
5,0,2,330600,22714900,false
5,0,4,334300,22714900,false
5,0,8,330650,22714900,false
5,0,16,333000,22714900,false
6,0,0.03125,515650,38941100,false
6,0,0.05,481150,38941100,false
6,0,0.1,460400,38941100,false
6,0,0.25,434500,38941100,true
6,0,0.5,435900,38941100,false
6,0,0.75,504700,38941100,false
6,0,1,515850,38941100,false
6,0,1.5,550300,38941100,false
6,0,2,549150,38941100,false
6,0,4,589650,38941100,false
6,0,8,543300,38941100,false
6,0,16,537900,38941100,false
7,0,0.03125,802050,64461400,false
7,0,0.05,751750,64461400,false
7,0,0.1,724800,64461400,false
7,0,0.25,676400,64461400,true
7,0,0.5,858700,64461400,false
7,0,0.75,924300,64461400,false
7,0,1,980500,64461400,false
7,0,1.5,988150,64461400,false
7,0,2,949850,64461400,false
7,0,4,946700,64461400,false
7,0,8,950950,64461400,false
7,0,16,940100,64461400,false
8,0,0.03125,1280550,104286800,false
8,0,0.05,1218150,104286800,true
8,0,0.1,1243650,104286800,false
8,0,0.25,1428950,104286800,false
8,0,0.5,1405700,104286800,false
8,0,0.75,1424800,104286800,false
8,0,1,1445950,104286800,false
8,0,1.5,1532050,104286800,false
8,0,2,1520950,104286800,false
8,0,4,1540050,104286800,false
8,0,8,1519300,104286800,false
8,0,16,1541650,104286800,false
9,0,0.03125,1533750,78141400,false
9,0,0.05,1343550,78141400,false
9,0,0.1,1113400,78141400,false
9,0,0.25,882900,78141400,false
9,0,0.5,860600,78141400,false
9,0,0.75,857950,78141400,false
9,0,1,828650,78141400,false
9,0,1.5,788700,78141400,false
9,0,2,612200,78141400,true
9,0,4,719450,78141400,false
9,0,8,673200,78141400,false
9,0,16,821200,78141400,false
10,0,0.03125,1640550,104459000,false
10,0,0.05,1550550,104459000,false
10,0,0.1,1434450,104459000,false
10,0,0.25,1321550,104459000,false
10,0,0.5,1199700,104459000,false
10,0,0.75,1126900,104459000,false
10,0,1,1171850,104459000,false
10,0,1.5,1157000,104459000,false
10,0,2,1050550,104459000,true
10,0,4,1111150,104459000,false
10,0,8,1562350,104459000,false
10,0,16,1569750,104459000,false
11,0,0.03125,1758000,118575900,false
11,0,0.05,1597150,118575900,false
11,0,0.1,1499850,118575900,false
11,0,0.25,1441750,118575900,false
11,0,0.5,1350000,118575900,false
11,0,0.75,1299950,118575900,false
11,0,1,1487750,118575900,false
11,0,1.5,1433700,118575900,false
11,0,2,1289650,118575900,true
11,0,4,1669250,118575900,false
11,0,8,1793850,118575900,false
11,0,16,1785400,118575900,false
12,0,0.03125,1857850,136586000,false
12,0,0.05,1660900,136586000,false
12,0,0.1,1927400,136586000,false
12,0,0.25,1531400,136586000,false
12,0,0.5,1545750,136586000,false
12,0,0.75,1524300,136586000,true
12,0,1,1978500,136586000,false
12,0,1.5,1584200,136586000,false
12,0,2,1994800,136586000,false
12,0,4,2214200,136586000,false
12,0,8,2177250,136586000,false
12,0,16,2167550,136586000,false
13,0,0.03125,2210050,169097100,false
13,0,0.05,1999400,169097100,false
13,0,0.1,1945800,169097100,false
13,0,0.25,1777150,169097100,false
13,0,0.5,1999250,169097100,false
13,0,0.75,1764600,169097100,true
13,0,1,1997550,169097100,false
13,0,1.5,2595300,169097100,false
13,0,2,2749550,169097100,false
13,0,4,2746550,169097100,false
13,0,8,2801050,169097100,false
13,0,16,2830150,169097100,false
14,0,0.03125,3253600,285691700,false
14,0,0.05,3089650,285691700,false
14,0,0.1,2869450,285691700,false
14,0,0.25,2775000,285691700,true
14,0,0.5,3033550,285691700,false
14,0,0.75,3781700,285691700,false
14,0,1,4059950,285691700,false
14,0,1.5,4401200,285691700,false
14,0,2,4566700,285691700,false
14,0,4,5075650,285691700,false
14,0,8,5225500,285691700,false
14,0,16,4945600,285691700,false
15,0,0.03125,5139850,483255800,false
15,0,0.05,5186800,483255800,false
15,0,0.1,5056250,483255800,true
15,0,0.25,5419900,483255800,false
15,0,0.5,6300500,483255800,false
15,0,0.75,6856400,483255800,false
15,0,1,7187000,483255800,false
15,0,1.5,7488550,483255800,false
15,0,2,7609700,483255800,false
15,0,4,7823350,483255800,false
15,0,8,7543150,483255800,false
15,0,16,7937000,483255800,false
16,0,0.03125,10098750,880654600,false
16,0,0.05,9930600,880654600,false
16,0,0.1,9734950,880654600,false
16,0,0.25,9182350,880654600,true
16,0,0.5,11788250,880654600,false
16,0,0.75,13001500,880654600,false
16,0,1,13475200,880654600,false
16,0,1.5,13537550,880654600,false
16,0,2,14273850,880654600,false
16,0,4,13300700,880654600,false
16,0,8,14353100,880654600,false
16,0,16,14063650,880654600,false
17,0,0.03125,154000,6905400,false
17,0,0.05,138350,6905400,false
17,0,0.1,121500,6905400,false
17,0,0.25,104900,6905400,false
17,0,0.5,93150,6905400,false
17,0,0.75,88050,6905400,false
17,0,1,88200,6905400,false
17,0,1.5,77650,6905400,false
17,0,2,70550,6905400,false
17,0,4,64150,6905400,false
17,0,8,62400,6905400,false
17,0,16,60650,6905400,true
18,0,0.03125,193150,9575100,false
18,0,0.05,176200,9575100,false
18,0,0.1,156250,9575100,false
18,0,0.25,142600,9575100,false
18,0,0.5,128000,9575100,false
18,0,0.75,125300,9575100,false
18,0,1,121500,9575100,false
18,0,1.5,112000,9575100,false
18,0,2,104000,9575100,false
18,0,4,97100,9575100,true
18,0,8,100900,9575100,false
18,0,16,104700,9575100,false
19,0,0.03125,226550,12586800,false
19,0,0.05,212400,12586800,false
19,0,0.1,194250,12586800,false
19,0,0.25,178450,12586800,false
19,0,0.5,161950,12586800,false
19,0,0.75,155950,12586800,false
19,0,1,153500,12586800,false
19,0,1.5,158400,12586800,false
19,0,2,139800,12586800,true
19,0,4,163250,12586800,false
19,0,8,159200,12586800,false
19,0,16,162100,12586800,false
20,0,0.03125,308850,19910300,false
20,0,0.05,287900,19910300,false
20,0,0.1,274050,19910300,false
20,0,0.25,232450,19910300,false
20,0,0.5,206700,19910300,true
20,0,0.75,227300,19910300,false
20,0,1,218150,19910300,false
20,0,1.5,243250,19910300,false
20,0,2,253550,19910300,false
20,0,4,265300,19910300,false
20,0,8,277850,19910300,false
20,0,16,264200,19910300,false
21,0,0.03125,404750,29359900,false
21,0,0.05,382100,29359900,false
21,0,0.1,353550,29359900,false
21,0,0.25,292050,29359900,false
21,0,0.5,279400,29359900,true
21,0,0.75,340150,29359900,false
21,0,1,413750,29359900,false
21,0,1.5,444800,29359900,false
21,0,2,438400,29359900,false
21,0,4,445300,29359900,false
21,0,8,443850,29359900,false
21,0,16,435950,29359900,false
22,0,0.03125,571500,42977600,false
22,0,0.05,564200,42977600,false
22,0,0.1,506500,42977600,false
22,0,0.25,464850,42977600,true
22,0,0.5,566750,42977600,false
22,0,0.75,560700,42977600,false
22,0,1,582800,42977600,false
22,0,1.5,612500,42977600,false
22,0,2,614450,42977600,false
22,0,4,616550,42977600,false
22,0,8,608000,42977600,false
22,0,16,615050,42977600,false
23,0,0.03125,1029200,83187700,false
23,0,0.05,992550,83187700,false
23,0,0.1,960250,83187700,false
23,0,0.25,928250,83187700,true
23,0,0.5,1103100,83187700,false
23,0,0.75,1170200,83187700,false
23,0,1,1158650,83187700,false
23,0,1.5,1257150,83187700,false
23,0,2,1256000,83187700,false
23,0,4,1168300,83187700,false
23,0,8,1203750,83187700,false
23,0,16,1199250,83187700,false
24,0,0.03125,1628700,136124500,false
24,0,0.05,1592400,136124500,false
24,0,0.1,1580250,136124500,true
24,0,0.25,1676950,136124500,false
24,0,0.5,1858050,136124500,false
24,0,0.75,1942350,136124500,false
24,0,1,1914450,136124500,false
24,0,1.5,1948950,136124500,false
24,0,2,2017050,136124500,false
24,0,4,2037000,136124500,false
24,0,8,1973050,136124500,false
24,0,16,1980050,136124500,false
25,0,0.03125,650300,32899200,false
25,0,0.05,583650,32899200,false
25,0,0.1,533650,32899200,false
25,0,0.25,458150,32899200,false
25,0,0.5,500750,32899200,false
25,0,0.75,416650,32899200,false
25,0,1,410550,32899200,false
25,0,1.5,364900,32899200,false
25,0,2,323800,32899200,false
25,0,4,336500,32899200,false
25,0,8,314650,32899200,true
25,0,16,346650,32899200,false
26,0,0.03125,842750,50833100,false
26,0,0.05,829650,50833100,false
26,0,0.1,738850,50833100,false
26,0,0.25,664050,50833100,false
26,0,0.5,645650,50833100,false
26,0,0.75,608700,50833100,false
26,0,1,628700,50833100,false
26,0,1.5,575950,50833100,false
26,0,2,543900,50833100,false
26,0,4,494700,50833100,true
26,0,8,684050,50833100,false
26,0,16,698600,50833100,false
27,0,0.03125,1061400,71421300,false
27,0,0.05,1017300,71421300,false
27,0,0.1,941800,71421300,false
27,0,0.25,906050,71421300,false
27,0,0.5,811200,71421300,false
27,0,0.75,843350,71421300,false
27,0,1,789300,71421300,false
27,0,1.5,863250,71421300,false
27,0,2,773050,71421300,true
27,0,4,1104100,71421300,false
27,0,8,1241950,71421300,false
27,0,16,1143750,71421300,false
28,0,0.03125,1370650,108294500,false
28,0,0.05,1316050,108294500,false
28,0,0.1,1356350,108294500,false
28,0,0.25,1438050,108294500,false
28,0,0.5,1165550,108294500,true
28,0,0.75,1215400,108294500,false
28,0,1,1282150,108294500,false
28,0,1.5,1361350,108294500,false
28,0,2,1432500,108294500,false
28,0,4,1635950,108294500,false
28,0,8,1742850,108294500,false
28,0,16,1724600,108294500,false
29,0,0.03125,1972300,160694700,false
29,0,0.05,1984950,160694700,false
29,0,0.1,1854350,160694700,false
29,0,0.25,1717800,160694700,true
29,0,0.5,1956400,160694700,false
29,0,0.75,1745750,160694700,false
29,0,1,2048650,160694700,false
29,0,1.5,2414700,160694700,false
29,0,2,2490150,160694700,false
29,0,4,2593400,160694700,false
29,0,8,2739300,160694700,false
29,0,16,2625100,160694700,false
30,0,0.03125,3026700,266731400,false
30,0,0.05,3095500,266731400,false
30,0,0.1,2829050,266731400,false
30,0,0.25,2637450,266731400,true
30,0,0.5,2809650,266731400,false
30,0,0.75,3513450,266731400,false
30,0,1,3874500,266731400,false
30,0,1.5,4019200,266731400,false
30,0,2,4252800,266731400,false
30,0,4,4318500,266731400,false
30,0,8,4263950,266731400,false
30,0,16,4291250,266731400,false
31,0,0.03125,5480650,481718600,false
31,0,0.05,5264100,481718600,false
31,0,0.1,5301500,481718600,false
31,0,0.25,4858150,481718600,true
31,0,0.5,6067950,481718600,false
31,0,0.75,6705600,481718600,false
31,0,1,7055950,481718600,false
31,0,1.5,8186950,481718600,false
31,0,2,7517400,481718600,false
31,0,4,7680150,481718600,false
31,0,8,7239450,481718600,false
31,0,16,7570400,481718600,false
32,0,0.03125,9495300,852956100,false
32,0,0.05,9427600,852956100,false
32,0,0.1,9181050,852956100,true
32,0,0.25,10128500,852956100,false
32,0,0.5,11636950,852956100,false
32,0,0.75,12548100,852956100,false
32,0,1,13259650,852956100,false
32,0,1.5,13579950,852956100,false
32,0,2,12572450,852956100,false
32,0,4,12934500,852956100,false
32,0,8,13069300,852956100,false
32,0,16,13304400,852956100,false
33,0,0.03125,150650,7140400,false
33,0,0.05,145000,7140400,false
33,0,0.1,125150,7140400,false
33,0,0.25,100500,7140400,false
33,0,0.5,94150,7140400,false
33,0,0.75,89000,7140400,false
33,0,1,83800,7140400,false
33,0,1.5,80650,7140400,false
33,0,2,72050,7140400,false
33,0,4,64150,7140400,false
33,0,8,61250,7140400,false
33,0,16,60800,7140400,true
34,0,0.03125,198650,10559900,false
34,0,0.05,179500,10559900,false
34,0,0.1,160700,10559900,false
34,0,0.25,148950,10559900,false
34,0,0.5,131500,10559900,false
34,0,0.75,125250,10559900,false
34,0,1,118250,10559900,false
34,0,1.5,115350,10559900,false
34,0,2,105300,10559900,false
34,0,4,103950,10559900,true
34,0,8,114350,10559900,false
34,0,16,108950,10559900,false
35,0,0.03125,243200,14263500,false
35,0,0.05,226000,14263500,false
