family,seed,source,rate,arm,null_seed,admitted,potential_work,pushes,pops,comparisons,scouts,scout_scans,scout_yield,field_ns
sparse,42,333,0.05,never,-1,0,0,1381,1381,22636,0,0,0,31715000
sparse,42,666,0.05,never,-1,0,0,1377,1377,22566,0,0,0,31715000
sparse,42,333,0.05,low,-1,228,1302,1404,1404,23264,45,242,105,31715000
sparse,42,666,0.05,low,-1,228,1302,1443,1443,24140,57,332,149,31715000
sparse,42,333,0.05,high,-1,228,568,1409,1409,23336,61,153,69,31715000
sparse,42,666,0.05,high,-1,228,568,1398,1398,23135,61,153,84,31715000
sparse,42,333,0.1,never,-1,0,0,1381,1381,22636,0,0,0,31715000
sparse,42,666,0.1,never,-1,0,0,1377,1377,22566,0,0,0,31715000
sparse,42,333,0.1,low,-1,457,2599,1458,1458,24487,98,536,227,31715000
sparse,42,666,0.1,low,-1,457,2599,1460,1460,24602,97,542,235,31715000
sparse,42,333,0.1,high,-1,457,1350,1420,1420,23589,108,320,137,31715000
sparse,42,666,0.1,high,-1,457,1350,1424,1424,23753,107,296,150,31715000
sparse,42,333,0.25,never,-1,0,0,1381,1381,22636,0,0,0,31715000
sparse,42,666,0.25,never,-1,0,0,1377,1377,22566,0,0,0,31715000
sparse,42,333,0.25,low,-1,1142,6420,1530,1530,26122,210,1165,480,31715000
sparse,42,666,0.25,low,-1,1142,6420,1558,1558,26841,220,1210,516,31715000
sparse,42,333,0.25,high,-1,1142,4203,1505,1505,25583,228,852,340,31715000
sparse,42,666,0.25,high,-1,1142,4203,1478,1478,25040,222,819,327,31715000
sparse,42,333,0.5,never,-1,0,0,1381,1381,22636,0,0,0,31715000
sparse,42,666,0.5,never,-1,0,0,1377,1377,22566,0,0,0,31715000
sparse,42,333,0.5,low,-1,2285,12684,1649,1649,28819,369,2035,825,31715000
sparse,42,666,0.5,low,-1,2285,12684,1601,1601,27889,352,1919,752,31715000
sparse,42,333,0.5,high,-1,2285,9588,1618,1618,28050,380,1554,675,31715000
sparse,42,666,0.5,high,-1,2285,9588,1585,1585,27572,379,1541,666,31715000
sparse,42,333,0.05,vertex_permutation,0,228,1029,1443,1443,24165,63,274,138,31715000
sparse,42,666,0.05,vertex_permutation,0,228,1029,1400,1400,23230,55,243,87,31715000
sparse,42,333,0.05,weight_permutation,0,228,1317,1431,1431,23924,53,288,144,31715000
sparse,42,666,0.05,weight_permutation,0,228,1317,1420,1420,23721,49,280,153,31715000
sparse,42,333,0.1,vertex_permutation,0,457,2086,1474,1474,24912,111,510,246,31715000
sparse,42,666,0.1,vertex_permutation,0,457,2086,1442,1442,24236,110,482,199,31715000
sparse,42,333,0.1,weight_permutation,0,457,2670,1480,1480,24980,104,559,268,31715000
sparse,42,666,0.1,weight_permutation,0,457,2670,1464,1464,24672,96,559,271,31715000
sparse,42,333,0.25,vertex_permutation,0,1142,5303,1546,1546,26495,229,1050,469,31715000
sparse,42,666,0.25,vertex_permutation,0,1142,5303,1533,1533,26290,228,984,415,31715000
sparse,42,333,0.25,weight_permutation,0,1142,6469,1545,1545,26583,203,1121,506,31715000
sparse,42,666,0.25,weight_permutation,0,1142,6469,1557,1557,26707,218,1228,515,31715000
sparse,42,333,0.5,vertex_permutation,0,2285,10537,1625,1625,28270,384,1806,744,31715000
sparse,42,666,0.5,vertex_permutation,0,2285,10537,1607,1607,28020,383,1690,696,31715000
sparse,42,333,0.5,weight_permutation,0,2285,12635,1652,1652,28948,351,1898,802,31715000
sparse,42,666,0.5,weight_permutation,0,2285,12635,1619,1619,28169,348,1908,777,31715000
sparse,42,333,0.05,vertex_permutation,1,228,1016,1417,1417,23576,55,267,122,31715000
sparse,42,666,0.05,vertex_permutation,1,228,1016,1410,1410,23394,48,222,85,31715000
sparse,42,333,0.05,weight_permutation,1,228,1219,1426,1426,23814,55,293,126,31715000
sparse,42,666,0.05,weight_permutation,1,228,1219,1415,1415,23606,55,304,129,31715000
sparse,42,333,0.1,vertex_permutation,1,457,2123,1436,1436,24094,92,429,201,31715000
sparse,42,666,0.1,vertex_permutation,1,457,2123,1448,1448,24238,94,445,176,31715000
sparse,42,333,0.1,weight_permutation,1,457,2484,1477,1477,24866,93,512,221,31715000
sparse,42,666,0.1,weight_permutation,1,457,2484,1467,1467,24819,96,533,249,31715000
sparse,42,333,0.25,vertex_permutation,1,1142,5251,1530,1530,26131,210,965,423,31715000
sparse,42,666,0.25,vertex_permutation,1,1142,5251,1521,1521,26005,205,979,403,31715000
sparse,42,333,0.25,weight_permutation,1,1142,6357,1545,1545,26538,202,1108,504,31715000
sparse,42,666,0.25,weight_permutation,1,1142,6357,1535,1535,26432,211,1170,535,31715000
sparse,42,333,0.5,vertex_permutation,1,2285,10609,1614,1614,28042,381,1743,715,31715000
sparse,42,666,0.5,vertex_permutation,1,2285,10609,1579,1579,27351,373,1679,642,31715000
sparse,42,333,0.5,weight_permutation,1,2285,12630,1632,1632,28625,355,1891,770,31715000
sparse,42,666,0.5,weight_permutation,1,2285,12630,1597,1597,27740,342,1876,777,31715000
sparse,42,333,0.05,vertex_permutation,2,228,1016,1407,1407,23285,56,244,110,31715000
sparse,42,666,0.05,vertex_permutation,2,228,1016,1437,1437,23990,59,250,126,31715000
sparse,42,333,0.05,weight_permutation,2,228,1237,1443,1443,24032,55,289,144,31715000
sparse,42,666,0.05,weight_permutation,2,228,1237,1438,1438,24079,55,281,113,31715000
sparse,42,333,0.1,vertex_permutation,2,457,2012,1444,1444,24179,101,430,206,31715000
sparse,42,666,0.1,vertex_permutation,2,457,2012,1460,1460,24621,107,450,196,31715000
sparse,42,333,0.1,weight_permutation,2,457,2586,1498,1498,25328,99,545,252,31715000
sparse,42,666,0.1,weight_permutation,2,457,2586,1488,1488,25217,100,536,255,31715000
sparse,42,333,0.25,vertex_permutation,2,1142,5200,1546,1546,26636,236,1082,444,31715000
sparse,42,666,0.25,vertex_permutation,2,1142,5200,1545,1545,26599,230,1048,430,31715000
sparse,42,333,0.25,weight_permutation,2,1142,6452,1601,1601,27665,214,1201,530,31715000
sparse,42,666,0.25,weight_permutation,2,1142,6452,1549,1549,26792,220,1189,506,31715000
sparse,42,333,0.5,vertex_permutation,2,2285,10514,1576,1576,27281,384,1785,692,31715000
sparse,42,666,0.5,vertex_permutation,2,2285,10514,1586,1586,27583,370,1673,680,31715000
sparse,42,333,0.5,weight_permutation,2,2285,12464,1644,1644,28665,367,1942,775,31715000
sparse,42,666,0.5,weight_permutation,2,2285,12464,1601,1601,27900,382,2054,758,31715000
sparse,42,333,0.05,vertex_permutation,3,228,1038,1430,1430,23843,58,273,135,31715000
sparse,42,666,0.05,vertex_permutation,3,228,1038,1430,1430,23839,65,284,129,31715000
