case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,laws,sparse_uniform,2000,9049,42,50.948852213013637,51.661491687673646,99.984612134279800,28.355135240701443,4.524500000,8,559100,410900,b78f8ba2dfb8e5fa
2,laws,sparse_near,2000,9049,42,50.000015493233519,50.000019979165423,50.009995039986272,0.005826454770000,4.524500000,8,633400,400500,2b8564c9386cdb9f
3,laws,sparse_skew,2000,9049,42,12.292737193924683,1.392943199750885,99.803753861789957,21.663509984942987,4.524500000,8,659200,449200,00062f2b9bb67c8d
4,laws,sparse_bimodal,2000,9049,42,21.414852469886174,1.000000000000000,100.000000000000000,40.053766279237117,4.524500000,8,1097400,238900,f359948cfe915ea1
5,laws,sparse_zero,2000,9049,42,37.975816273529475,34.239943722281303,99.975447932036900,33.105024122774893,4.524500000,8,696500,342900,65493afa011df223
6,laws,sparse_integer,2000,9049,42,50.374627030611116,51.000000000000000,100.000000000000000,28.940494420483532,4.524500000,8,633400,228900,dbc7d64af793dd6f
7,laws,sparse_shuffle,2000,9049,42,50.948852213013602,51.661491687673646,99.984612134279800,28.355135240701468,4.524500000,8,595700,492200,4840267250d26e88
8,laws,sparse_scale,2000,9049,42,52171.624666125964723,52901.367488177813357,102384.242825502515188,29035.658486478278064,4.524500000,8,531700,448400,b32f8ba2dfb8e5fa
9,laws,clustered_uniform,2000,51918,42,9.664041770625497,5.799403056894262,99.931274289797329,16.994004255706137,25.959000000,39,1963000,1971100,962bbb6bd9c7307b
10,laws,clustered_near,2000,51918,42,50.000031923547212,50.000075300565769,50.009999924376750,0.005780382614605,25.959000000,39,3132200,2423200,48efaa1253dfa560
11,laws,clustered_skew,2000,51918,42,12.092069788484963,1.410638170265172,99.997005358895663,21.368821412012821,25.959000000,39,3185600,2336100,585841f953e439bc
12,laws,clustered_bimodal,2000,51918,42,20.989541199583961,1.000000000000000,100.000000000000000,39.741449663888957,25.959000000,39,3201800,646800,6eeff0bc7095c241
13,laws,clustered_zero,2000,51918,42,37.857230037861093,33.854237445618203,99.995481435863994,33.048089637158469,25.959000000,39,3770600,1777100,3ae3d9228a7c97f5
14,laws,clustered_integer,2000,51918,42,50.710196848877075,51.000000000000000,100.000000000000000,28.944092655815432,25.959000000,39,3314100,1175500,5b6b52d64324aee1
15,laws,clustered_shuffle,2000,51918,42,9.664041770625458,5.799403056894262,99.931274289797329,16.994004255706141,25.959000000,39,3296700,2651700,b2a345f488af2433
16,laws,clustered_scale,2000,51918,42,9895.978773120508777,5938.588730259724798,102329.624872752465308,17401.860357843084785,25.959000000,39,2746000,2245000,532bbb6bd9c7307b
17,laws,sparse_uniform,2000,9015,1729,49.865420748817854,49.245312134509945,99.990744390893482,28.595053639136946,4.507500000,8,506100,395900,9abcc822199b896c
18,laws,sparse_near,2000,9015,1729,50.000002600534216,50.000019006865529,50.009999921851644,0.005762214969579,4.507500000,8,625000,554200,6ff81d01befaf432
