case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,667,binary,2720,2720,49782,1222,8960,0,0,0,2719,740,0,1980,0,0,0,0,0,0
1,667,fourary,2720,2720,52032,1222,8960,0,0,0,2719,740,0,1980,0,0,0,0,0,0
1,667,mean_map,2579,2579,0,0,18203,0,0,0,2578,229,9,2042,308,4553,885,0,0,0
1,667,mean_ring,2579,2579,0,0,18203,0,0,0,2578,229,9,2042,308,4553,885,0,0,0
1,667,mean_degree,2673,2673,0,0,17931,0,0,0,2672,584,33,1984,105,8094,232,0,0,0
1,667,max_maxdegree,2678,2678,0,0,17952,0,0,0,2677,569,29,1989,120,7977,259,0,0,0
1,667,caliber,2161,2161,39083,1285,8960,0,0,0,2822,843,0,1980,0,0,0,0,0,0
1,667,degree4,2831,2831,52780,1360,8960,282,706,329,2830,851,0,1980,0,0,0,1212,2939,18446744073709551615
1,667,selected_grid,3259,3259,0,0,18957,0,0,0,3258,447,5,2202,610,0,1261,0,0,0
1,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1333,binary,2719,2719,49941,1245,8960,0,0,0,2718,739,0,1980,0,0,0,0,0,0
1,1333,fourary,2719,2719,52178,1245,8960,0,0,0,2718,739,0,1980,0,0,0,0,0,0
1,1333,mean_map,2582,2582,0,0,18125,0,0,0,2581,232,8,2033,317,4553,833,0,0,0
1,1333,mean_ring,2582,2582,0,0,18125,0,0,0,2581,232,8,2033,317,4553,833,0,0,0
1,1333,mean_degree,2709,2709,0,0,17935,0,0,0,2708,617,29,1983,109,8094,250,0,0,0
1,1333,max_maxdegree,2690,2690,0,0,17945,0,0,0,2689,589,27,1985,116,7977,271,0,0,0
1,1333,caliber,2156,2156,39152,1313,8960,0,0,0,2815,836,0,1980,0,0,0,0,0,0
1,1333,degree4,2834,2834,52893,1394,8960,278,668,284,2833,854,0,1980,0,0,0,1212,2939,18446744073709551615
1,1333,selected_grid,3130,3130,0,0,18509,0,0,0,3129,381,5,2116,633,0,1072,0,0,0
2,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,667,binary,2112,2112,35662,944,8960,0,0,0,2111,132,0,1980,0,0,0,0,0,0
2,667,fourary,2112,2112,38353,944,8960,0,0,0,2111,132,0,1980,0,0,0,0,0,0
2,667,mean_map,2319,2319,0,0,17920,0,0,0,2318,16,8,1980,323,4490,739,0,0,0
2,667,mean_ring,2319,2319,0,0,17920,0,0,0,2318,16,8,1980,323,4490,739,0,0,0
2,667,mean_degree,2277,2277,0,0,17920,0,0,0,2276,0,9,1980,297,8960,852,0,0,0
2,667,max_maxdegree,2277,2277,0,0,17920,0,0,0,2276,0,9,1980,297,8960,852,0,0,0
2,667,caliber,1913,1913,33156,1120,8960,0,0,0,2395,416,0,1980,0,0,0,0,0,0
2,667,degree4,2238,2238,38713,1085,8960,226,537,250,2237,258,0,1980,0,0,0,1212,2939,18446744073709551615
2,667,selected_grid,2277,2277,0,0,17920,0,0,0,2276,0,1,1980,297,0,1980,0,0,0
2,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1333,binary,2130,2130,36162,992,8960,0,0,0,2129,150,0,1980,0,0,0,0,0,0
2,1333,fourary,2130,2130,38866,992,8960,0,0,0,2129,150,0,1980,0,0,0,0,0,0
2,1333,mean_map,2230,2230,0,0,17920,0,0,0,2229,17,9,1980,233,4490,830,0,0,0
2,1333,mean_ring,2230,2230,0,0,17920,0,0,0,2229,17,9,1980,233,4490,830,0,0,0
2,1333,mean_degree,2282,2282,0,0,17920,0,0,0,2281,0,10,1980,302,8960,908,0,0,0
2,1333,max_maxdegree,2282,2282,0,0,17920,0,0,0,2281,0,10,1980,302,8960,908,0,0,0
2,1333,caliber,1916,1916,33422,1186,8960,0,0,0,2436,457,0,1980,0,0,0,0,0,0
2,1333,degree4,2276,2276,39794,1156,8960,242,582,282,2275,296,0,1980,0,0,0,1212,2939,18446744073709551615
2,1333,selected_grid,2282,2282,0,0,17920,0,0,0,2281,0,1,1980,302,0,1980,0,0,0
3,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,667,binary,2863,2863,52686,1327,8960,0,0,0,2862,883,0,1980,0,0,0,0,0,0
3,667,fourary,2863,2863,55028,1327,8960,0,0,0,2862,883,0,1980,0,0,0,0,0,0
3,667,mean_map,3238,3238,0,0,20016,0,0,0,3237,330,8,2440,468,2181,2294,0,0,0
3,667,mean_ring,3238,3238,0,0,20016,0,0,0,3237,330,8,2440,468,2181,2294,0,0,0
3,667,mean_degree,2578,2578,0,0,17959,0,0,0,2577,446,39,1987,145,3596,936,0,0,0
3,667,max_maxdegree,3252,3252,0,0,20046,0,0,0,3251,320,8,2446,486,2169,2303,0,0,0
3,667,caliber,2313,2313,42677,1389,8960,0,0,0,3000,1021,0,1980,0,0,0,0,0,0
3,667,degree4,2991,2991,56016,1465,8960,309,725,339,2990,1011,0,1980,0,0,0,1212,2939,18446744073709551615
3,667,selected_grid,2815,2815,0,0,18451,0,0,0,2814,399,12,2098,318,2458,1626,0,0,0
3,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1333,binary,2888,2888,53460,1377,8960,0,0,0,2887,908,0,1980,0,0,0,0,0,0
3,1333,fourary,2888,2888,55588,1377,8960,0,0,0,2887,908,0,1980,0,0,0,0,0,0
3,1333,mean_map,2983,2983,0,0,19313,0,0,0,2982,253,8,2305,425,2181,2175,0,0,0
3,1333,mean_ring,2983,2983,0,0,19313,0,0,0,2982,253,8,2305,425,2181,2175,0,0,0
3,1333,mean_degree,2651,2651,0,0,17945,0,0,0,2650,483,39,1988,180,3596,1028,0,0,0
3,1333,max_maxdegree,2997,2997,0,0,19359,0,0,0,2996,239,8,2314,444,2169,2191,0,0,0
3,1333,caliber,2394,2394,44525,1474,8960,0,0,0,3090,1111,0,1980,0,0,0,0,0,0
3,1333,degree4,3016,3016,56895,1529,8960,305,715,363,3015,1036,0,1980,0,0,0,1212,2939,18446744073709551615
3,1333,selected_grid,2709,2709,0,0,18422,0,0,0,2708,297,12,2104,308,2458,1755,0,0,0
4,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,667,binary,2351,2351,41357,1050,8960,0,0,0,2350,371,0,1980,0,0,0,0,0,0
4,667,fourary,2351,2351,44071,1050,8960,0,0,0,2350,371,0,1980,0,0,0,0,0,0
4,667,mean_map,1981,1981,0,0,17920,0,0,0,1980,1,4,1980,0,1850,1919,0,0,0
4,667,mean_ring,1981,1981,0,0,17920,0,0,0,1980,1,4,1980,0,1850,1919,0,0,0
4,667,mean_degree,2117,2117,0,0,17920,0,0,0,2116,137,6,1980,0,1850,1639,0,0,0
4,667,max_maxdegree,1981,1981,0,0,17920,0,0,0,1980,0,3,1980,1,1850,1919,0,0,0
4,667,caliber,1638,1638,28964,1213,8960,0,0,0,2612,633,0,1980,0,0,0,0,0,0
4,667,degree4,2437,2437,43797,1163,8960,232,560,260,2436,457,0,1980,0,0,0,1212,2939,18446744073709551615
4,667,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,667,selected_grid,1981,1981,0,0,17920,0,0,0,1980,1,4,1980,0,1850,1919,0,0,0
4,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1333,binary,2353,2353,41614,1104,8960,0,0,0,2352,373,0,1980,0,0,0,0,0,0
4,1333,fourary,2353,2353,44177,1104,8960,0,0,0,2352,373,0,1980,0,0,0,0,0,0
4,1333,mean_map,1981,1981,0,0,17920,0,0,0,1980,0,3,1980,1,1850,1919,0,0,0
4,1333,mean_ring,1981,1981,0,0,17920,0,0,0,1980,0,3,1980,1,1850,1919,0,0,0
4,1333,mean_degree,2136,2136,0,0,17920,0,0,0,2135,155,6,1980,1,1850,1595,0,0,0
4,1333,max_maxdegree,1981,1981,0,0,17920,0,0,0,1980,0,3,1980,1,1850,1919,0,0,0
4,1333,caliber,1700,1700,30278,1302,8960,0,0,0,2632,653,0,1980,0,0,0,0,0,0
4,1333,degree4,2418,2418,43510,1198,8960,238,563,266,2417,438,0,1980,0,0,0,1212,2939,18446744073709551615
4,1333,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1333,selected_grid,1981,1981,0,0,17920,0,0,0,1980,0,4,1980,1,1850,1918,0,0,0
5,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,667,binary,3311,3311,71552,1659,8960,0,0,0,3310,1331,0,1980,0,0,0,0,0,0
5,667,fourary,3311,3311,71022,1659,8960,0,0,0,3310,1331,0,1980,0,0,0,0,0,0
5,667,mean_map,7782,7782,0,0,37650,0,0,0,7781,865,5,6295,622,4245,5876,0,0,0
5,667,mean_ring,7782,7782,0,0,37650,0,0,0,7781,865,5,6295,622,4245,5876,0,0,0
5,667,mean_degree,3210,3210,0,0,18894,0,0,0,3209,897,17,2198,115,6212,746,0,0,0
5,667,max_maxdegree,4027,4027,0,0,22478,0,0,0,4026,804,13,2983,240,5929,1692,0,0,0
5,667,caliber,2133,2133,40877,1791,8960,0,0,0,3543,1564,0,1980,0,0,0,0,0,0
5,667,degree4,3514,3514,76353,1874,8960,359,858,400,3513,1534,0,1980,0,0,0,1212,2939,18446744073709551615
5,667,selected_grid,3173,3173,0,0,19009,0,0,0,3172,828,17,2227,118,6142,844,0,0,0
5,1333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1333,binary,3308,3308,71429,1666,8960,0,0,0,3307,1328,0,1980,0,0,0,0,0,0
5,1333,fourary,3308,3308,71097,1666,8960,0,0,0,3307,1328,0,1980,0,0,0,0,0,0
5,1333,mean_map,5028,5028,0,0,26216,0,0,0,5027,685,6,3814,529,4245,3249,0,0,0
5,1333,mean_ring,5028,5028,0,0,26216,0,0,0,5027,685,6,3814,529,4245,3249,0,0,0
5,1333,mean_degree,3274,3274,0,0,18696,0,0,0,3273,1044,19,2148,82,6212,599,0,0,0
5,1333,max_maxdegree,3737,3737,0,0,21705,0,0,0,3736,769,14,2817,151,5929,1818,0,0,0
5,1333,caliber,2173,2173,41875,1829,8960,0,0,0,3578,1599,0,1980,0,0,0,0,0,0
5,1333,degree4,3499,3499,75913,1875,8960,356,840,393,3498,1519,0,1980,0,0,0,1212,2939,18446744073709551615
5,1333,selected_grid,3302,3302,0,0,19566,0,0,0,3301,837,18,2336,129,6142,1079,0,0,0
6,667,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,667,binary,2738,2738,50417,1260,8960,0,0,0,2737,758,0,1980,0,0,0,0,0,0
6,667,fourary,2738,2738,52733,1260,8960,0,0,0,2737,758,0,1980,0,0,0,0,0,0
6,667,mean_map,2596,2596,0,0,18263,0,0,0,2595,239,7,2055,302,4485,868,0,0,0
6,667,mean_ring,2596,2596,0,0,18263,0,0,0,2595,239,7,2055,302,4485,868,0,0,0
6,667,mean_degree,2712,2712,0,0,17949,0,0,0,2711,630,30,1988,94,7953,251,0,0,0
6,667,max_maxdegree,2713,2713,0,0,17937,0,0,0,2712,623,27,1986,104,7864,266,0,0,0
6,667,caliber,2162,2162,39369,1340,8960,0,0,0,2867,888,0,1980,0,0,0,0,0,0
6,667,degree4,2882,2882,54240,1428,8960,298,715,323,2881,902,0,1980,0,0,0,1212,2939,18446744073709551615
6,667,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
