case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,0,0,248300,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,0,1,238100,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,0,2,334500,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,0,3,234900,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,0,4,250800,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,0,5,287800,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,0,6,268600,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,0,7,378900,1.5921516316566762,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,0,8,233100,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,0,9,243500,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,0,10,249100,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,0,11,345900,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,1,0,334900,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,1,1,256000,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,1,2,235600,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,1,3,225600,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,1,4,379700,1.5921516316566762,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,1,5,264400,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,1,6,290800,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,1,7,249500,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,1,8,226000,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,1,9,320700,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,1,10,243500,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,1,11,246100,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,2,0,238900,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,2,1,246600,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,2,2,230200,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,2,3,239900,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,2,4,421900,1.5921516316566762,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,2,5,356500,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,2,6,286500,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,2,7,246200,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,2,8,319000,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,2,9,263300,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,2,10,238200,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,2,11,227300,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,3,0,206400,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,3,1,236600,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,3,2,678100,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,3,3,441900,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,3,4,290100,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,3,5,301800,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,3,6,466000,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,3,7,370100,1.5921516316566762,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,3,8,240200,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,3,9,242500,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,3,10,256400,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,3,11,250700,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,4,0,372300,1.5921516316566762,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,4,1,377600,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,4,2,247300,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,4,3,218900,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,4,4,277600,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,4,5,248200,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,4,6,379300,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,4,7,252300,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,4,8,330400,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,4,9,292300,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,4,10,262900,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,4,11,271500,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,5,0,235900,50.94885221301364,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,5,1,260600,815.1816354082182,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,5,2,329900,12.73721305325341,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,5,3,239500,76.42327831952045,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,5,4,251300,38.211639159760225,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,5,5,357200,2.5474426106506822,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,5,6,265100,407.5908177041091,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,5,7,283100,25.47442610650682,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,5,8,228000,101.89770442602727,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,5,9,249800,203.79540885205455,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,5,10,337600,5.0948852213013645,8200
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,5,11,402500,1.5921516316566762,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,0,0,281400,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,0,1,220300,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,degree4,0,2,446900,0,129300
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,0,3,279600,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,0,4,227100,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,binary,0,5,412100,0,0
1,laws,sparse_uniform,2000,9049,42,667,caliber,0,6,350200,0,35600
1,laws,sparse_uniform,2000,9049,42,667,std_binary,0,7,508200,0,0
1,laws,sparse_uniform,2000,9049,42,667,fourary,0,8,425800,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_map,0,9,256700,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_map,1,0,234400,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,fourary,1,1,402400,0,0
1,laws,sparse_uniform,2000,9049,42,667,std_binary,1,2,399800,0,0
1,laws,sparse_uniform,2000,9049,42,667,caliber,1,3,357800,0,35600
1,laws,sparse_uniform,2000,9049,42,667,binary,1,4,406200,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,1,5,227200,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,1,6,299900,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,degree4,1,7,451700,0,129300
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,1,8,243400,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,1,9,281600,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,2,0,269900,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,2,1,276600,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,binary,2,2,402000,0,0
1,laws,sparse_uniform,2000,9049,42,667,degree4,2,3,442400,0,129300
1,laws,sparse_uniform,2000,9049,42,667,caliber,2,4,355900,0,35600
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,2,5,226100,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,std_binary,2,6,389200,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_map,2,7,254200,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,2,8,227700,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,fourary,2,9,464700,0,0
1,laws,sparse_uniform,2000,9049,42,667,fourary,3,0,461000,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,3,1,219600,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_map,3,2,249600,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,std_binary,3,3,391600,0,0
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,3,4,225500,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,caliber,3,5,357400,0,35600
1,laws,sparse_uniform,2000,9049,42,667,degree4,3,6,471900,0,129300
1,laws,sparse_uniform,2000,9049,42,667,binary,3,7,406000,0,0
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,3,8,371900,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,3,9,304000,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,caliber,4,0,357300,0,35600
1,laws,sparse_uniform,2000,9049,42,667,mean_map,4,1,255200,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,fourary,4,2,413000,0,0
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,4,3,282700,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,4,4,248800,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,4,5,301700,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,4,6,253900,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,std_binary,4,7,647700,0,0
1,laws,sparse_uniform,2000,9049,42,667,degree4,4,8,491400,0,129300
1,laws,sparse_uniform,2000,9049,42,667,binary,4,9,409100,0,0
1,laws,sparse_uniform,2000,9049,42,667,binary,5,0,408600,0,0
1,laws,sparse_uniform,2000,9049,42,667,degree4,5,1,437000,0,129300
1,laws,sparse_uniform,2000,9049,42,667,std_binary,5,2,395900,0,0
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,5,3,226300,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,5,4,339200,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,5,5,234000,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,5,6,286900,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,fourary,5,7,454500,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_map,5,8,248800,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,caliber,5,9,356400,0,35600
1,laws,sparse_uniform,2000,9049,42,667,std_binary,6,0,477200,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_degree,6,1,288000,11.26065912543124,8200
1,laws,sparse_uniform,2000,9049,42,667,binary,6,2,401400,0,0
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,6,3,224100,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,6,4,281100,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,mean_map,6,5,270600,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,6,6,228200,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,fourary,6,7,642300,0,0
1,laws,sparse_uniform,2000,9049,42,667,caliber,6,8,528200,0,35600
1,laws,sparse_uniform,2000,9049,42,667,degree4,6,9,476400,0,129300
1,laws,sparse_uniform,2000,9049,42,667,degree4,7,0,432100,0,129300
1,laws,sparse_uniform,2000,9049,42,667,caliber,7,1,366500,0,35600
1,laws,sparse_uniform,2000,9049,42,667,fourary,7,2,426100,0,0
1,laws,sparse_uniform,2000,9049,42,667,mean_ring,7,3,230100,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,mean_map,7,4,240500,50.94885221301364,8200
1,laws,sparse_uniform,2000,9049,42,667,max_maxdegree,7,5,300900,12.498076516784975,27000
1,laws,sparse_uniform,2000,9049,42,667,selected_grid,7,6,228200,101.89770442602727,21197600
1,laws,sparse_uniform,2000,9049,42,667,binary,7,7,411700,0,0
