case,training_source,multiplier,median_ns,total_calibration_ns,selected
1,0,0.03125,379300,21189400,false
1,0,0.05,356850,21189400,false
1,0,0.1,336050,21189400,false
1,0,0.25,291550,21189400,false
1,0,0.5,273100,21189400,false
1,0,0.75,249800,21189400,false
1,0,1,241200,21189400,false
1,0,1.5,236300,21189400,false
1,0,2,226650,21189400,true
1,0,4,241850,21189400,false
1,0,8,248650,21189400,false
1,0,16,255700,21189400,false
2,0,0.03125,175700,14099100,false
2,0,0.05,193150,14099100,false
2,0,0.1,174450,14099100,false
2,0,0.25,193150,14099100,false
2,0,0.5,168050,14099100,false
2,0,0.75,169500,14099100,false
2,0,1,217800,14099100,false
2,0,1.5,168000,14099100,false
2,0,2,162050,14099100,false
2,0,4,164300,14099100,false
2,0,8,157450,14099100,false
2,0,16,156050,14099100,true
3,0,0.03125,377200,20299200,false
3,0,0.05,335150,20299200,false
3,0,0.1,313850,20299200,false
3,0,0.25,269900,20299200,false
3,0,0.5,251800,20299200,false
3,0,0.75,231000,20299200,true
3,0,1,241100,20299200,false
3,0,1.5,247500,20299200,false
3,0,2,259150,20299200,false
3,0,4,272000,20299200,false
3,0,8,276100,20299200,false
3,0,16,277050,20299200,false
4,0,0.03125,180650,12620100,false
4,0,0.05,169050,12620100,false
4,0,0.1,176850,12620100,false
4,0,0.25,165800,12620100,false
4,0,0.5,138700,12620100,true
4,0,0.75,138850,12620100,false
4,0,1,142550,12620100,false
4,0,1.5,156250,12620100,false
4,0,2,149500,12620100,false
4,0,4,147500,12620100,false
4,0,8,207800,12620100,false
4,0,16,213050,12620100,false
5,0,0.03125,457800,37204600,false
5,0,0.05,403400,37204600,false
5,0,0.1,375150,37204600,false
5,0,0.25,358950,37204600,true
5,0,0.5,387050,37204600,false
5,0,0.75,482600,37204600,false
5,0,1,478150,37204600,false
5,0,1.5,540150,37204600,false
5,0,2,582850,37204600,false
5,0,4,606050,37204600,false
5,0,8,626750,37204600,false
5,0,16,639300,37204600,false
6,0,0.03125,371200,19957000,false
6,0,0.05,337600,19957000,false
6,0,0.1,315650,19957000,false
6,0,0.25,282100,19957000,false
6,0,0.5,256450,19957000,false
6,0,0.75,245750,19957000,false
6,0,1,234100,19957000,false
6,0,1.5,228950,19957000,false
6,0,2,215600,19957000,true
6,0,4,237900,19957000,false
6,0,8,238450,19957000,false
6,0,16,233250,19957000,false
7,0,0.03125,373600,20008900,false
7,0,0.05,334450,20008900,false
7,0,0.1,314600,20008900,false
7,0,0.25,275650,20008900,false
7,0,0.5,252100,20008900,false
7,0,0.75,243800,20008900,false
7,0,1,229200,20008900,false
7,0,1.5,232600,20008900,false
7,0,2,207150,20008900,true
7,0,4,244900,20008900,false
7,0,8,256100,20008900,false
7,0,16,254050,20008900,false
8,0,0.03125,373900,19899700,false
8,0,0.05,335400,19899700,false
8,0,0.1,315400,19899700,false
8,0,0.25,274250,19899700,false
8,0,0.5,256550,19899700,false
8,0,0.75,242400,19899700,false
8,0,1,238550,19899700,false
8,0,1.5,228950,19899700,false
8,0,2,216050,19899700,true
8,0,4,233150,19899700,false
8,0,8,234600,19899700,false
8,0,16,241950,19899700,false
9,0,0.03125,836200,45926200,false
9,0,0.05,756300,45926200,false
9,0,0.1,682750,45926200,false
9,0,0.25,611400,45926200,false
9,0,0.5,572800,45926200,false
9,0,0.75,569600,45926200,false
9,0,1,558700,45926200,false
9,0,1.5,535550,45926200,false
9,0,2,553200,45926200,false
9,0,4,533950,45926200,true
9,0,8,599900,45926200,false
9,0,16,569200,45926200,false
10,0,0.03125,370300,27973500,false
10,0,0.05,365650,27973500,false
10,0,0.1,374400,27973500,false
10,0,0.25,370450,27973500,false
10,0,0.5,366550,27973500,false
10,0,0.75,376800,27973500,false
10,0,1,420700,27973500,false
10,0,1.5,364100,27973500,false
10,0,2,368400,27973500,false
10,0,4,363850,27973500,false
10,0,8,359950,27973500,false
10,0,16,357050,27973500,true
11,0,0.03125,563800,35755800,false
11,0,0.05,536100,35755800,false
11,0,0.1,510150,35755800,false
11,0,0.25,472450,35755800,false
11,0,0.5,440950,35755800,true
11,0,0.75,451600,35755800,false
11,0,1,469900,35755800,false
11,0,1.5,461700,35755800,false
11,0,2,460050,35755800,false
11,0,4,477500,35755800,false
11,0,8,465900,35755800,false
11,0,16,465700,35755800,false
12,0,0.03125,353950,26464000,false
12,0,0.05,364950,26464000,false
12,0,0.1,365550,26464000,false
12,0,0.25,357400,26464000,false
12,0,0.5,354450,26464000,false
12,0,0.75,356500,26464000,false
12,0,1,355950,26464000,false
12,0,1.5,350500,26464000,true
12,0,2,371000,26464000,false
12,0,4,360400,26464000,false
12,0,8,365550,26464000,false
12,0,16,356650,26464000,false
13,0,0.03125,396600,37520100,true
13,0,0.05,397300,37520100,false
13,0,0.1,410500,37520100,false
13,0,0.25,470900,37520100,false
13,0,0.5,477450,37520100,false
13,0,0.75,512400,37520100,false
13,0,1,545700,37520100,false
13,0,1.5,572750,37520100,false
13,0,2,579600,37520100,false
13,0,4,562950,37520100,false
13,0,8,568350,37520100,false
13,0,16,569300,37520100,false
14,0,0.03125,714300,51075200,false
14,0,0.05,710300,51075200,false
14,0,0.1,640300,51075200,false
14,0,0.25,543650,51075200,true
14,0,0.5,544450,51075200,false
14,0,0.75,602900,51075200,false
14,0,1,583900,51075200,false
14,0,1.5,698850,51075200,false
14,0,2,737950,51075200,false
14,0,4,817950,51075200,false
14,0,8,880000,51075200,false
14,0,16,820850,51075200,false
15,0,0.03125,639250,41108100,false
15,0,0.05,601650,41108100,false
15,0,0.1,542150,41108100,false
15,0,0.25,521150,41108100,false
15,0,0.5,496850,41108100,true
15,0,0.75,503950,41108100,false
15,0,1,504850,41108100,false
15,0,1.5,549150,41108100,false
15,0,2,537400,41108100,false
15,0,4,596950,41108100,false
15,0,8,541350,41108100,false
15,0,16,550650,41108100,false
16,0,0.03125,1035650,49755300,false
16,0,0.05,784900,49755300,false
16,0,0.1,688050,49755300,false
16,0,0.25,595050,49755300,false
16,0,0.5,607600,49755300,false
16,0,0.75,606150,49755300,false
16,0,1,550750,49755300,false
16,0,1.5,518300,49755300,false
16,0,2,515950,49755300,true
16,0,4,534350,49755300,false
16,0,8,604150,49755300,false
16,0,16,531950,49755300,false
17,0,0.03125,385700,22380800,false
17,0,0.05,359100,22380800,false
17,0,0.1,337650,22380800,false
17,0,0.25,317650,22380800,false
17,0,0.5,266600,22380800,false
17,0,0.75,277950,22380800,false
17,0,1,257300,22380800,false
17,0,1.5,244250,22380800,false
17,0,2,230200,22380800,true
17,0,4,254750,22380800,false
17,0,8,288800,22380800,false
17,0,16,289750,22380800,false
18,0,0.03125,163400,12473200,false
18,0,0.05,174450,12473200,false
18,0,0.1,163900,12473200,false
18,0,0.25,172300,12473200,false
18,0,0.5,172450,12473200,false
18,0,0.75,165950,12473200,false
18,0,1,215600,12473200,false
18,0,1.5,158800,12473200,false
18,0,2,160500,12473200,false
18,0,4,153800,12473200,false
18,0,8,156750,12473200,false
18,0,16,144850,12473200,true
