case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,layout,weight,5000,22662,42,50.895298328097134,51.226682383619256,99.997359196360890,28.638707863012812,4.532400000,8,567100,1001300,e4042fbca918b6f7
2,layout,destination,5000,22662,42,50.895298328097134,51.226682383619256,99.997359196360890,28.638707863012808,4.532400000,8,794600,982200,ef200a0910fac571
3,layout,random,5000,22662,42,50.895298328097141,51.226682383619256,99.997359196360890,28.638707863012812,4.532400000,8,1423500,1341400,d6c3f3322cc0a459
4,layout,bfs,5000,22662,42,50.895298328097432,51.226682383619256,99.997359196360890,28.638707863012716,4.532400000,8,4266300,1121900,6ec09b3b2ba7c6ea
5,layout,rcm,5000,22662,42,50.895298328096999,51.226682383619256,99.997359196360890,28.638707863012993,4.532400000,8,4275100,1060300,527976ebcbf7ca30
6,layout,weight,100000,450557,42,50.578290704370062,50.616658684201809,99.999928516371028,28.556712402491172,4.505570000,8,12846700,25107700,1e6ffba2ac66e48c
7,layout,destination,100000,450557,42,50.578290704370048,50.616658684201809,99.999928516371028,28.556712402491168,4.505570000,8,15159600,22228600,dcef48c4e5cd87cc
8,layout,random,100000,450557,42,50.578290704370062,50.616658684201809,99.999928516371028,28.556712402491172,4.505570000,8,17959900,25969700,afdf2115c874dcec
9,layout,bfs,100000,450557,42,50.578290704369387,50.616658684201809,99.999928516371028,28.556712402490902,4.505570000,8,125014700,26428000,0862b58081ddb4d0
10,layout,rcm,100000,450557,42,50.578290704369834,50.616658684201809,99.999928516371028,28.556712402490643,4.505570000,8,128429800,25667000,80edb17951dab2da
11,layout,weight,5000,22447,1729,50.480102373099918,50.312616259280787,99.993730903539529,28.599622719475686,4.489400000,8,498000,1354100,139122edca7308a7
12,layout,destination,5000,22447,1729,50.480102373099918,50.312616259280787,99.993730903539529,28.599622719475683,4.489400000,8,946500,1174500,5f3552b28ebce903
13,layout,random,5000,22447,1729,50.480102373099918,50.312616259280787,99.993730903539529,28.599622719475686,4.489400000,8,891600,1104700,0d63bd3b5657ec99
14,layout,bfs,5000,22447,1729,50.480102373099982,50.312616259280787,99.993730903539529,28.599622719475637,4.489400000,8,4376200,1135000,37f11ea486d3c7f2
15,layout,rcm,5000,22447,1729,50.480102373100067,50.312616259280787,99.993730903539529,28.599622719475690,4.489400000,8,4656400,1156700,b9ffa400585c9f46
16,layout,weight,100000,448748,1729,50.468949840336919,50.485025884687460,99.999613165639872,28.584825912826144,4.487480000,8,9927100,21451100,abbf85563a057a3e
17,layout,destination,100000,448748,1729,50.468949840336911,50.485025884687460,99.999613165639872,28.584825912826144,4.487480000,8,16725300,24280200,4eb99a08a47952d4
18,layout,random,100000,448748,1729,50.468949840336911,50.485025884687460,99.999613165639872,28.584825912826144,4.487480000,8,16030800,21693100,e494ee984b8af832
19,layout,bfs,100000,448748,1729,50.468949840337913,50.485025884687460,99.999613165639872,28.584825912825789,4.487480000,8,122726500,22847000,f0e4cc0e9b974de5
20,layout,rcm,100000,448748,1729,50.468949840337551,50.485025884687460,99.999613165639872,28.584825912826201,4.487480000,8,124889500,24352900,b2dde8a69933c943
21,layout,weight,5000,22617,2026,50.272448422299583,50.166855811349471,99.999660236331835,28.462221055813814,4.523400000,8,513400,986600,ceb0d8ed5219c144
22,layout,destination,5000,22617,2026,50.272448422299597,50.166855811349471,99.999660236331835,28.462221055813814,4.523400000,8,754600,967200,2b5e97c9c34be652
23,layout,random,5000,22617,2026,50.272448422299597,50.166855811349471,99.999660236331835,28.462221055813817,4.523400000,8,761300,953800,4c5db531ea72c08a
24,layout,bfs,5000,22617,2026,50.272448422299114,50.166855811349471,99.999660236331835,28.462221055813753,4.523400000,8,4181300,992800,f3092e9b279ef71b
25,layout,rcm,5000,22617,2026,50.272448422299711,50.166855811349471,99.999660236331835,28.462221055813931,4.523400000,8,4367500,983000,0efd0a1234d0bce1
26,layout,weight,100000,449260,2026,50.449501697382132,50.425277479983272,99.999730348444245,28.583134723432423,4.492600000,8,11733900,22462800,87e7118e4c7952a9
27,layout,destination,100000,449260,2026,50.449501697382125,50.425277479983272,99.999730348444245,28.583134723432423,4.492600000,8,15396500,22876800,fe2e9834477966f7
28,layout,random,100000,449260,2026,50.449501697382125,50.425277479983272,99.999730348444245,28.583134723432423,4.492600000,8,21323400,28867600,8454ba4a6db84cef
29,layout,bfs,100000,449260,2026,50.449501697383127,50.425277479983272,99.999730348444245,28.583134723432384,4.492600000,8,134675900,25548600,44b76f782ee1abf9
30,layout,rcm,100000,449260,2026,50.449501697382125,50.425277479983272,99.999730348444245,28.583134723432448,4.492600000,8,203451500,57630600,dbb0edb5f5de03c1
