case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,1666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1666,binary,6797,6797,142692,3120,22386,0,0,0,6796,1856,0,4941,0,0,0,0,0,0
1,1666,fourary,6797,6797,150111,3120,22386,0,0,0,6796,1856,0,4941,0,0,0,0,0,0
1,1666,mean_map,6422,6422,0,0,45497,0,0,0,6421,589,8,5109,724,11271,2108,0,0,0
1,1666,mean_ring,6422,6422,0,0,45497,0,0,0,6421,589,8,5109,724,11271,2108,0,0,0
1,1666,mean_degree,6720,6720,0,0,44819,0,0,0,6719,1534,34,4951,235,20080,601,0,0,0
1,1666,max_maxdegree,6718,6718,0,0,44802,0,0,0,6717,1504,31,4949,265,19822,679,0,0,0
1,1666,caliber,5361,5361,111541,3225,22386,0,0,0,7036,2096,0,4941,0,0,0,0,0,0
1,1666,degree4,7128,7128,151941,3506,22386,687,1739,831,7127,2187,0,4941,0,0,0,2985,7534,18446744073709551615
1,3333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3333,binary,6774,6774,141943,3047,22386,0,0,0,6773,1833,0,4941,0,0,0,0,0,0
1,3333,fourary,6774,6774,149137,3047,22386,0,0,0,6773,1833,0,4941,0,0,0,0,0,0
1,3333,mean_map,6482,6482,0,0,45465,0,0,0,6481,611,11,5091,780,11271,2570,0,0,0
1,3333,mean_ring,6482,6482,0,0,45465,0,0,0,6481,611,11,5091,780,11271,2570,0,0,0
1,3333,mean_degree,6726,6726,0,0,44834,0,0,0,6725,1493,33,4955,278,20080,585,0,0,0
1,3333,max_maxdegree,6725,6725,0,0,44840,0,0,0,6724,1457,30,4955,313,19822,662,0,0,0
1,3333,caliber,5411,5411,112448,3251,22386,0,0,0,7060,2120,0,4941,0,0,0,0,0,0
1,3333,degree4,7101,7101,151091,3430,22386,676,1668,783,7100,2160,0,4941,0,0,0,2985,7534,18446744073709551615
2,1666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1666,binary,6797,6797,142746,3120,22386,0,0,0,6796,1856,0,4941,0,0,0,0,0,0
2,1666,fourary,6797,6797,149803,3120,22386,0,0,0,6796,1856,0,4941,0,0,0,0,0,0
2,1666,mean_map,6423,6423,0,0,45497,0,0,0,6422,589,8,5109,725,11271,2108,0,0,0
2,1666,mean_ring,6423,6423,0,0,45497,0,0,0,6422,589,8,5109,725,11271,2108,0,0,0
2,1666,mean_degree,6720,6720,0,0,44819,0,0,0,6719,1534,34,4951,235,20080,601,0,0,0
2,1666,max_maxdegree,6718,6718,0,0,44802,0,0,0,6717,1504,31,4949,265,19822,679,0,0,0
2,1666,caliber,5361,5361,111612,3225,22386,0,0,0,7036,2096,0,4941,0,0,0,0,0,0
2,1666,degree4,7129,7129,152027,3507,22386,687,1739,832,7128,2188,0,4941,0,0,0,2985,7534,18446744073709551615
2,3333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3333,binary,6774,6774,141784,3047,22386,0,0,0,6773,1833,0,4941,0,0,0,0,0,0
2,3333,fourary,6774,6774,148817,3047,22386,0,0,0,6773,1833,0,4941,0,0,0,0,0,0
