case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,layout,weight,5000,22662,42,1666,mean_ring,0,0,550400,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,fourary,0,1,1078200,0,0
1,layout,weight,5000,22662,42,1666,mean_map,0,2,583300,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,degree4,0,3,1221500,0,341600
1,layout,weight,5000,22662,42,1666,caliber,0,4,960100,0,119300
1,layout,weight,5000,22662,42,1666,std_binary,0,5,1048400,0,0
1,layout,weight,5000,22662,42,1666,mean_degree,0,6,673200,11.229215940362089,38800
1,layout,weight,5000,22662,42,1666,binary,0,7,1118800,0,0
1,layout,weight,5000,22662,42,1666,max_maxdegree,0,8,651300,12.499669899545111,112600
1,layout,weight,5000,22662,42,1666,max_maxdegree,1,0,645900,12.499669899545111,112600
1,layout,weight,5000,22662,42,1666,binary,1,1,1065400,0,0
1,layout,weight,5000,22662,42,1666,mean_degree,1,2,651000,11.229215940362089,38800
1,layout,weight,5000,22662,42,1666,std_binary,1,3,1025700,0,0
1,layout,weight,5000,22662,42,1666,caliber,1,4,935900,0,119300
1,layout,weight,5000,22662,42,1666,degree4,1,5,1212400,0,341600
1,layout,weight,5000,22662,42,1666,mean_map,1,6,588800,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,fourary,1,7,1144900,0,0
1,layout,weight,5000,22662,42,1666,mean_ring,1,8,545100,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,mean_ring,2,0,517300,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,mean_degree,2,1,782500,11.229215940362089,38800
1,layout,weight,5000,22662,42,1666,mean_map,2,2,695100,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,degree4,2,3,1239800,0,341600
1,layout,weight,5000,22662,42,1666,caliber,2,4,938000,0,119300
1,layout,weight,5000,22662,42,1666,max_maxdegree,2,5,1149700,12.499669899545111,112600
1,layout,weight,5000,22662,42,1666,fourary,2,6,1130600,0,0
1,layout,weight,5000,22662,42,1666,binary,2,7,1114500,0,0
1,layout,weight,5000,22662,42,1666,std_binary,2,8,1065700,0,0
1,layout,weight,5000,22662,42,1666,std_binary,3,0,1056000,0,0
1,layout,weight,5000,22662,42,1666,binary,3,1,1100800,0,0
1,layout,weight,5000,22662,42,1666,fourary,3,2,1123100,0,0
1,layout,weight,5000,22662,42,1666,max_maxdegree,3,3,704800,12.499669899545111,112600
1,layout,weight,5000,22662,42,1666,caliber,3,4,966900,0,119300
1,layout,weight,5000,22662,42,1666,degree4,3,5,1639900,0,341600
1,layout,weight,5000,22662,42,1666,mean_map,3,6,748600,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,mean_degree,3,7,701800,11.229215940362089,38800
1,layout,weight,5000,22662,42,1666,mean_ring,3,8,530200,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,mean_map,4,0,579400,50.895298328097134,38800
1,layout,weight,5000,22662,42,1666,fourary,4,1,1186300,0,0
1,layout,weight,5000,22662,42,1666,binary,4,2,1172900,0,0
