key,panel,family,n,m,seed,source,arm,ns,prep_ns
layout:1,layout,weight,5000,22662,42,1666,binary,1107650.0,0.0
layout:1,layout,weight,5000,22662,42,1666,caliber,955050.0,119300.0
layout:1,layout,weight,5000,22662,42,1666,degree4,1235700.0,341600.0
layout:1,layout,weight,5000,22662,42,1666,fourary,1103150.0,0.0
layout:1,layout,weight,5000,22662,42,1666,max_maxdegree,668700.0,112600.0
layout:1,layout,weight,5000,22662,42,1666,mean_degree,675450.0,38800.0
layout:1,layout,weight,5000,22662,42,1666,mean_map,633650.0,38800.0
layout:1,layout,weight,5000,22662,42,1666,mean_ring,543050.0,38800.0
layout:1,layout,weight,5000,22662,42,1666,std_binary,1048800.0,0.0
layout:1,layout,weight,5000,22662,42,3333,binary,1086350.0,0.0
layout:1,layout,weight,5000,22662,42,3333,caliber,953300.0,119300.0
layout:1,layout,weight,5000,22662,42,3333,degree4,1232850.0,341600.0
layout:1,layout,weight,5000,22662,42,3333,fourary,1169050.0,0.0
layout:1,layout,weight,5000,22662,42,3333,max_maxdegree,704650.0,112600.0
layout:1,layout,weight,5000,22662,42,3333,mean_degree,692750.0,38800.0
layout:1,layout,weight,5000,22662,42,3333,mean_map,596700.0,38800.0
layout:1,layout,weight,5000,22662,42,3333,mean_ring,555850.0,38800.0
layout:1,layout,weight,5000,22662,42,3333,std_binary,1045150.0,0.0
layout:10,layout,rcm,100000,450557,42,77462,binary,52130000.0,0.0
layout:10,layout,rcm,100000,450557,42,77462,caliber,46629100.0,3108700.0
layout:10,layout,rcm,100000,450557,42,77462,degree4,63734850.0,14086900.0
layout:10,layout,rcm,100000,450557,42,77462,fourary,52922850.0,0.0
layout:10,layout,rcm,100000,450557,42,77462,max_maxdegree,27159350.0,5008800.0
layout:10,layout,rcm,100000,450557,42,77462,mean_degree,27792700.0,1740400.0
layout:10,layout,rcm,100000,450557,42,77462,mean_map,29451950.0,1740400.0
layout:10,layout,rcm,100000,450557,42,77462,mean_ring,28221400.0,1740400.0
layout:10,layout,rcm,100000,450557,42,77462,std_binary,50600250.0,0.0
layout:10,layout,rcm,100000,450557,42,96072,binary,50856100.0,0.0
layout:10,layout,rcm,100000,450557,42,96072,caliber,46417400.0,3108700.0
layout:10,layout,rcm,100000,450557,42,96072,degree4,61041300.0,14086900.0
layout:10,layout,rcm,100000,450557,42,96072,fourary,49836750.0,0.0
layout:10,layout,rcm,100000,450557,42,96072,max_maxdegree,26317500.0,5008800.0
layout:10,layout,rcm,100000,450557,42,96072,mean_degree,25996050.0,1740400.0
layout:10,layout,rcm,100000,450557,42,96072,mean_map,27667900.0,1740400.0
layout:10,layout,rcm,100000,450557,42,96072,mean_ring,28178000.0,1740400.0
layout:10,layout,rcm,100000,450557,42,96072,std_binary,48035700.0,0.0
layout:11,layout,weight,5000,22447,1729,1666,binary,1118650.0,0.0
layout:11,layout,weight,5000,22447,1729,1666,caliber,1010750.0,92800.0
layout:11,layout,weight,5000,22447,1729,1666,degree4,1324750.0,302600.0
layout:11,layout,weight,5000,22447,1729,1666,fourary,1156550.0,0.0
layout:11,layout,weight,5000,22447,1729,1666,max_maxdegree,752600.0,99400.0
layout:11,layout,weight,5000,22447,1729,1666,mean_degree,735650.0,39400.0
layout:11,layout,weight,5000,22447,1729,1666,mean_map,617150.0,39400.0
layout:11,layout,weight,5000,22447,1729,1666,mean_ring,550850.0,39400.0
layout:11,layout,weight,5000,22447,1729,1666,std_binary,1134100.0,0.0
layout:11,layout,weight,5000,22447,1729,3333,binary,1219250.0,0.0
layout:11,layout,weight,5000,22447,1729,3333,caliber,949200.0,92800.0
layout:11,layout,weight,5000,22447,1729,3333,degree4,1289200.0,302600.0
layout:11,layout,weight,5000,22447,1729,3333,fourary,1099950.0,0.0
layout:11,layout,weight,5000,22447,1729,3333,max_maxdegree,669200.0,99400.0
layout:11,layout,weight,5000,22447,1729,3333,mean_degree,693700.0,39400.0
layout:11,layout,weight,5000,22447,1729,3333,mean_map,690100.0,39400.0
layout:11,layout,weight,5000,22447,1729,3333,mean_ring,608900.0,39400.0
layout:11,layout,weight,5000,22447,1729,3333,std_binary,1067850.0,0.0
layout:12,layout,destination,5000,22447,1729,1666,binary,1163850.0,0.0
layout:12,layout,destination,5000,22447,1729,1666,caliber,1010850.0,89900.0
layout:12,layout,destination,5000,22447,1729,1666,degree4,1332350.0,304000.0
layout:12,layout,destination,5000,22447,1729,1666,fourary,1090650.0,0.0
layout:12,layout,destination,5000,22447,1729,1666,max_maxdegree,715050.0,108200.0
layout:12,layout,destination,5000,22447,1729,1666,mean_degree,726500.0,42600.0
layout:12,layout,destination,5000,22447,1729,1666,mean_map,777750.0,42600.0
