key,panel,family,n,seed,source,fourary,mean_degree,mean_map,mean_ring,degree,feature_ns,chosen,policy_ns,best_ns,fixed_ns,split
core:1,core,sparse,1000,42,333,253750.0,190950.0,171150.0,165900.0,4.571,356600,mean_ring,165900.0,165900.0,165900.0,train
core:1,core,sparse,1000,42,666,252650.0,212600.0,159750.0,160000.0,4.571,356600,mean_ring,160000.0,159750.0,160000.0,train
core:10,core,dense,2000,42,666,2066350.0,2844000.0,3097250.0,3164650.0,199.753,20304900,fourary,2066350.0,2066350.0,3164650.0,train
core:10,core,dense,2000,42,1333,2119750.0,3073800.0,3606300.0,3604800.0,199.753,20304900,fourary,2119750.0,2119750.0,3604800.0,train
core:11,core,dense,5000,42,1666,9203150.0,16910650.0,19940400.0,20757950.0,499.8704,146838000,fourary,9203150.0,9203150.0,20757950.0,train
core:11,core,dense,5000,42,3333,9590300.0,16860500.0,19142900.0,19658650.0,499.8704,146838000,fourary,9590300.0,9590300.0,19658650.0,train
core:12,core,grid,1000,42,333,136100.0,150400.0,129650.0,126050.0,3.87,168600,mean_ring,126050.0,126050.0,126050.0,train
core:12,core,grid,1000,42,666,132000.0,144200.0,126400.0,122750.0,3.87,168600,mean_ring,122750.0,122750.0,122750.0,train
core:13,core,grid,2000,42,666,267600.0,282500.0,248250.0,223450.0,3.91,413000,mean_ring,223450.0,223450.0,223450.0,train
core:13,core,grid,2000,42,1333,277550.0,286050.0,230100.0,219300.0,3.91,413000,mean_ring,219300.0,219300.0,219300.0,train
core:14,core,grid,5000,42,1666,753800.0,660950.0,575150.0,534600.0,3.94,1277200,mean_ring,534600.0,534600.0,534600.0,train
core:14,core,grid,5000,42,3333,734400.0,695900.0,600300.0,544650.0,3.94,1277200,mean_ring,544650.0,544650.0,544650.0,train
core:15,core,grid,10000,42,3333,1683750.0,1210750.0,1060700.0,1014050.0,3.96,2562200,mean_ring,1014050.0,1014050.0,1014050.0,train
core:15,core,grid,10000,42,6666,1503200.0,1169300.0,1025700.0,969750.0,3.96,2562200,mean_ring,969750.0,969750.0,969750.0,train
core:16,core,roadlike,1000,42,333,144150.0,185650.0,153850.0,152250.0,6.0,330300,mean_ring,152250.0,144150.0,152250.0,train
core:16,core,roadlike,1000,42,666,131300.0,178900.0,152200.0,150950.0,6.0,330300,mean_ring,150950.0,131300.0,150950.0,train
core:17,core,roadlike,2000,42,666,294400.0,347000.0,298350.0,279300.0,6.0,530700,mean_ring,279300.0,279300.0,279300.0,train
core:17,core,roadlike,2000,42,1333,296750.0,340000.0,291150.0,278300.0,6.0,530700,mean_ring,278300.0,278300.0,278300.0,train
core:18,core,roadlike,5000,42,1666,818650.0,859850.0,752500.0,692150.0,6.0,1303600,mean_ring,692150.0,692150.0,692150.0,train
core:18,core,roadlike,5000,42,3333,835550.0,869250.0,737200.0,715000.0,6.0,1303600,mean_ring,715000.0,715000.0,715000.0,train
