family,seed,source,arm,layout,ns,prep_ns
clustered,42,333,fourary,bfs,309350.0,2833100.0
clustered,42,333,fourary,identity,317150.0,0.0
clustered,42,333,fourary,potential,310150.0,154915200.0
clustered,42,333,fourary,rcm,317650.0,2968400.0
clustered,42,333,mean_ring,bfs,255450.0,2833100.0
clustered,42,333,mean_ring,identity,256800.0,0.0
clustered,42,333,mean_ring,potential,253550.0,154915200.0
clustered,42,333,mean_ring,rcm,234800.0,2968400.0
clustered,42,666,fourary,bfs,312100.0,2833100.0
clustered,42,666,fourary,identity,309250.0,0.0
clustered,42,666,fourary,potential,304700.0,154915200.0
clustered,42,666,fourary,rcm,313900.0,2968400.0
clustered,42,666,mean_ring,bfs,257050.0,2833100.0
clustered,42,666,mean_ring,identity,253100.0,0.0
clustered,42,666,mean_ring,potential,256950.0,154915200.0
clustered,42,666,mean_ring,rcm,257600.0,2968400.0
clustered,1729,333,fourary,bfs,305650.0,3523400.0
clustered,1729,333,fourary,identity,309050.0,0.0
clustered,1729,333,fourary,potential,317350.0,165636800.0
clustered,1729,333,fourary,rcm,298550.0,3507300.0
clustered,1729,333,mean_ring,bfs,246500.0,3523400.0
clustered,1729,333,mean_ring,identity,248500.0,0.0
clustered,1729,333,mean_ring,potential,246550.0,165636800.0
clustered,1729,333,mean_ring,rcm,241950.0,3507300.0
clustered,1729,666,fourary,bfs,321700.0,3523400.0
clustered,1729,666,fourary,identity,318150.0,0.0
clustered,1729,666,fourary,potential,311450.0,165636800.0
clustered,1729,666,fourary,rcm,302800.0,3507300.0
clustered,1729,666,mean_ring,bfs,256150.0,3523400.0
clustered,1729,666,mean_ring,identity,254600.0,0.0
clustered,1729,666,mean_ring,potential,266650.0,165636800.0
clustered,1729,666,mean_ring,rcm,256250.0,3507300.0
clustered,2026,333,fourary,bfs,406100.0,3456900.0
clustered,2026,333,fourary,identity,418850.0,0.0
clustered,2026,333,fourary,potential,414300.0,210272300.0
clustered,2026,333,fourary,rcm,410700.0,3470000.0
clustered,2026,333,mean_ring,bfs,329350.0,3456900.0
clustered,2026,333,mean_ring,identity,338700.0,0.0
clustered,2026,333,mean_ring,potential,340050.0,210272300.0
clustered,2026,333,mean_ring,rcm,323550.0,3470000.0
clustered,2026,666,fourary,bfs,428750.0,3456900.0
clustered,2026,666,fourary,identity,473900.0,0.0
clustered,2026,666,fourary,potential,448050.0,210272300.0
clustered,2026,666,fourary,rcm,426800.0,3470000.0
clustered,2026,666,mean_ring,bfs,366900.0,3456900.0
clustered,2026,666,mean_ring,identity,403000.0,0.0
clustered,2026,666,mean_ring,potential,372150.0,210272300.0
clustered,2026,666,mean_ring,rcm,346800.0,3470000.0
grid,42,333,fourary,bfs,106650.0,394700.0
grid,42,333,fourary,identity,106200.0,0.0
grid,42,333,fourary,rcm,104950.0,341700.0
grid,42,333,mean_ring,bfs,86850.0,394700.0
grid,42,333,mean_ring,identity,92300.0,0.0
grid,42,333,mean_ring,rcm,85500.0,341700.0
grid,42,666,fourary,bfs,106300.0,394700.0
grid,42,666,fourary,identity,103500.0,0.0
grid,42,666,fourary,rcm,101550.0,341700.0
grid,42,666,mean_ring,bfs,83850.0,394700.0
grid,42,666,mean_ring,identity,80900.0,0.0
grid,42,666,mean_ring,rcm,91200.0,341700.0
grid,1729,333,fourary,bfs,99250.0,343900.0
grid,1729,333,fourary,identity,104250.0,0.0
grid,1729,333,fourary,rcm,102050.0,322600.0
grid,1729,333,mean_ring,bfs,73450.0,343900.0
grid,1729,333,mean_ring,identity,74250.0,0.0
grid,1729,333,mean_ring,rcm,71850.0,322600.0
grid,1729,666,fourary,bfs,102150.0,343900.0
grid,1729,666,fourary,identity,100150.0,0.0
grid,1729,666,fourary,rcm,100750.0,322600.0
grid,1729,666,mean_ring,bfs,72750.0,343900.0
grid,1729,666,mean_ring,identity,68750.0,0.0
grid,1729,666,mean_ring,rcm,73200.0,322600.0
grid,2026,333,fourary,bfs,169600.0,815400.0
grid,2026,333,fourary,identity,162450.0,0.0
grid,2026,333,fourary,rcm,165100.0,396500.0
grid,2026,333,mean_ring,bfs,169400.0,815400.0
grid,2026,333,mean_ring,identity,173150.0,0.0
grid,2026,333,mean_ring,rcm,168650.0,396500.0
grid,2026,666,fourary,bfs,165550.0,815400.0
grid,2026,666,fourary,identity,152350.0,0.0
grid,2026,666,fourary,rcm,155000.0,396500.0
grid,2026,666,mean_ring,bfs,108700.0,815400.0
grid,2026,666,mean_ring,identity,129150.0,0.0
grid,2026,666,mean_ring,rcm,116100.0,396500.0
sparse,42,333,fourary,bfs,153700.0,889900.0
sparse,42,333,fourary,identity,162750.0,0.0
sparse,42,333,fourary,potential,165100.0,38538100.0
sparse,42,333,fourary,rcm,163500.0,691800.0
sparse,42,333,mean_ring,bfs,98400.0,889900.0
sparse,42,333,mean_ring,identity,98200.0,0.0
sparse,42,333,mean_ring,potential,101000.0,38538100.0
sparse,42,333,mean_ring,rcm,107300.0,691800.0
sparse,42,666,fourary,bfs,160250.0,889900.0
sparse,42,666,fourary,identity,160100.0,0.0
sparse,42,666,fourary,potential,171550.0,38538100.0
sparse,42,666,fourary,rcm,169950.0,691800.0
sparse,42,666,mean_ring,bfs,92750.0,889900.0
sparse,42,666,mean_ring,identity,96400.0,0.0
sparse,42,666,mean_ring,potential,89500.0,38538100.0
sparse,42,666,mean_ring,rcm,105450.0,691800.0
sparse,1729,333,fourary,bfs,161800.0,756300.0
sparse,1729,333,fourary,identity,164400.0,0.0
sparse,1729,333,fourary,potential,161500.0,38813500.0
sparse,1729,333,fourary,rcm,161450.0,691900.0
sparse,1729,333,mean_ring,bfs,103100.0,756300.0
sparse,1729,333,mean_ring,identity,103750.0,0.0
sparse,1729,333,mean_ring,potential,99850.0,38813500.0
sparse,1729,333,mean_ring,rcm,99850.0,691900.0
sparse,1729,666,fourary,bfs,166400.0,756300.0
sparse,1729,666,fourary,identity,166350.0,0.0
sparse,1729,666,fourary,potential,166150.0,38813500.0
sparse,1729,666,fourary,rcm,168650.0,691900.0
sparse,1729,666,mean_ring,bfs,109700.0,756300.0
sparse,1729,666,mean_ring,identity,109800.0,0.0
sparse,1729,666,mean_ring,potential,101400.0,38813500.0
sparse,1729,666,mean_ring,rcm,106300.0,691900.0
sparse,2026,333,fourary,bfs,188100.0,833300.0
sparse,2026,333,fourary,identity,195650.0,0.0
sparse,2026,333,fourary,potential,183600.0,47983100.0
sparse,2026,333,fourary,rcm,192500.0,702500.0
sparse,2026,333,mean_ring,bfs,122000.0,833300.0
sparse,2026,333,mean_ring,identity,116650.0,0.0
sparse,2026,333,mean_ring,potential,120750.0,47983100.0
sparse,2026,333,mean_ring,rcm,125000.0,702500.0
sparse,2026,666,fourary,bfs,182950.0,833300.0
sparse,2026,666,fourary,identity,190500.0,0.0
sparse,2026,666,fourary,potential,193350.0,47983100.0
sparse,2026,666,fourary,rcm,185550.0,702500.0
sparse,2026,666,mean_ring,bfs,119200.0,833300.0
sparse,2026,666,mean_ring,identity,108900.0,0.0
sparse,2026,666,mean_ring,potential,121750.0,47983100.0
sparse,2026,666,mean_ring,rcm,113300.0,702500.0
