family,seed,source,layout,arm,round,position,ns,prep_ns,ingest_ns
sparse,42,333,bfs,mean_ring,0,0,120700,889900,11216200
sparse,42,333,identity,mean_ring,0,1,102800,0,11216200
sparse,42,333,potential,fourary,0,2,524400,38538100,11216200
sparse,42,333,rcm,mean_ring,0,3,156200,691800,11216200
sparse,42,333,potential,mean_ring,0,4,127500,38538100,11216200
sparse,42,333,identity,fourary,0,5,196800,0,11216200
sparse,42,333,rcm,fourary,0,6,161600,691800,11216200
sparse,42,333,bfs,fourary,0,7,162300,889900,11216200
sparse,42,333,bfs,fourary,1,0,150300,889900,11216200
sparse,42,333,rcm,fourary,1,1,146400,691800,11216200
sparse,42,333,identity,fourary,1,2,145300,0,11216200
sparse,42,333,potential,mean_ring,1,3,254500,38538100,11216200
sparse,42,333,rcm,mean_ring,1,4,115700,691800,11216200
sparse,42,333,potential,fourary,1,5,177000,38538100,11216200
sparse,42,333,identity,mean_ring,1,6,147900,0,11216200
sparse,42,333,bfs,mean_ring,1,7,93300,889900,11216200
sparse,42,333,potential,fourary,2,0,171000,38538100,11216200
sparse,42,333,identity,mean_ring,2,1,86800,0,11216200
sparse,42,333,bfs,mean_ring,2,2,76100,889900,11216200
sparse,42,333,potential,mean_ring,2,3,70700,38538100,11216200
sparse,42,333,rcm,fourary,2,4,172700,691800,11216200
sparse,42,333,identity,fourary,2,5,162800,0,11216200
sparse,42,333,bfs,fourary,2,6,159400,889900,11216200
sparse,42,333,rcm,mean_ring,2,7,112100,691800,11216200
sparse,42,333,rcm,mean_ring,3,0,105300,691800,11216200
sparse,42,333,bfs,fourary,3,1,147300,889900,11216200
sparse,42,333,identity,fourary,3,2,143700,0,11216200
sparse,42,333,rcm,fourary,3,3,141500,691800,11216200
sparse,42,333,potential,mean_ring,3,4,103100,38538100,11216200
sparse,42,333,bfs,mean_ring,3,5,94200,889900,11216200
sparse,42,333,identity,mean_ring,3,6,79700,0,11216200
sparse,42,333,potential,fourary,3,7,206700,38538100,11216200
sparse,42,333,potential,fourary,4,0,164800,38538100,11216200
sparse,42,333,rcm,mean_ring,4,1,84300,691800,11216200
sparse,42,333,bfs,fourary,4,2,158300,889900,11216200
sparse,42,333,rcm,fourary,4,3,156300,691800,11216200
sparse,42,333,identity,fourary,4,4,154000,0,11216200
sparse,42,333,identity,mean_ring,4,5,82700,0,11216200
sparse,42,333,bfs,mean_ring,4,6,127100,889900,11216200
sparse,42,333,potential,mean_ring,4,7,80500,38538100,11216200
sparse,42,333,potential,mean_ring,5,0,65000,38538100,11216200
sparse,42,333,bfs,mean_ring,5,1,58800,889900,11216200
sparse,42,333,identity,mean_ring,5,2,58000,0,11216200
sparse,42,333,identity,fourary,5,3,171900,0,11216200
sparse,42,333,rcm,fourary,5,4,165400,691800,11216200
sparse,42,333,bfs,fourary,5,5,152200,889900,11216200
sparse,42,333,rcm,mean_ring,5,6,109100,691800,11216200
sparse,42,333,potential,fourary,5,7,159800,38538100,11216200
sparse,42,333,identity,mean_ring,6,0,110300,0,11216200
sparse,42,333,rcm,fourary,6,1,166700,691800,11216200
sparse,42,333,potential,mean_ring,6,2,107900,38538100,11216200
sparse,42,333,potential,fourary,6,3,161000,38538100,11216200
sparse,42,333,identity,fourary,6,4,154800,0,11216200
sparse,42,333,rcm,mean_ring,6,5,103800,691800,11216200
sparse,42,333,bfs,mean_ring,6,6,104200,889900,11216200
sparse,42,333,bfs,fourary,6,7,148600,889900,11216200
sparse,42,333,bfs,fourary,7,0,148400,889900,11216200
sparse,42,333,bfs,mean_ring,7,1,94400,889900,11216200
sparse,42,333,rcm,mean_ring,7,2,92900,691800,11216200
sparse,42,333,identity,fourary,7,3,162700,0,11216200
sparse,42,333,potential,fourary,7,4,158100,38538100,11216200
sparse,42,333,potential,mean_ring,7,5,102200,38538100,11216200
sparse,42,333,rcm,fourary,7,6,169500,691800,11216200
sparse,42,333,identity,mean_ring,7,7,101000,0,11216200
sparse,42,333,bfs,mean_ring,8,0,145900,889900,11216200
sparse,42,333,rcm,mean_ring,8,1,117900,691800,11216200
sparse,42,333,identity,mean_ring,8,2,95400,0,11216200
sparse,42,333,identity,fourary,8,3,200900,0,11216200
sparse,42,333,potential,mean_ring,8,4,96100,38538100,11216200
sparse,42,333,rcm,fourary,8,5,169800,691800,11216200
sparse,42,333,potential,fourary,8,6,165400,38538100,11216200
sparse,42,333,bfs,fourary,8,7,164800,889900,11216200
sparse,42,333,bfs,fourary,9,0,161000,889900,11216200
sparse,42,333,potential,fourary,9,1,149400,38538100,11216200
sparse,42,333,rcm,fourary,9,2,144300,691800,11216200
sparse,42,333,potential,mean_ring,9,3,110200,38538100,11216200
sparse,42,333,identity,fourary,9,4,151700,0,11216200
sparse,42,333,identity,mean_ring,9,5,108300,0,11216200
sparse,42,333,rcm,mean_ring,9,6,105500,691800,11216200
sparse,42,333,bfs,mean_ring,9,7,104600,889900,11216200
sparse,42,333,bfs,mean_ring,10,0,82800,889900,11216200
sparse,42,333,potential,mean_ring,10,1,82900,38538100,11216200
sparse,42,333,rcm,fourary,10,2,184400,691800,11216200
sparse,42,333,identity,mean_ring,10,3,89300,0,11216200
sparse,42,333,potential,fourary,10,4,168000,38538100,11216200
sparse,42,333,identity,fourary,10,5,168100,0,11216200
sparse,42,333,bfs,fourary,10,6,155200,889900,11216200
sparse,42,333,rcm,mean_ring,10,7,115500,691800,11216200
sparse,42,333,rcm,mean_ring,11,0,103900,691800,11216200
sparse,42,333,bfs,fourary,11,1,152200,889900,11216200
sparse,42,333,identity,fourary,11,2,178700,0,11216200
sparse,42,333,potential,fourary,11,3,148600,38538100,11216200
sparse,42,333,identity,mean_ring,11,4,101200,0,11216200
sparse,42,333,rcm,fourary,11,5,146000,691800,11216200
sparse,42,333,potential,mean_ring,11,6,99800,38538100,11216200
sparse,42,333,bfs,mean_ring,11,7,102400,889900,11216200
sparse,42,666,identity,mean_ring,0,0,106300,0,11216200
sparse,42,666,rcm,mean_ring,0,1,83200,691800,11216200
sparse,42,666,identity,fourary,0,2,156700,0,11216200
sparse,42,666,bfs,mean_ring,0,3,89500,889900,11216200
sparse,42,666,bfs,fourary,0,4,155400,889900,11216200
sparse,42,666,rcm,fourary,0,5,154300,691800,11216200
sparse,42,666,potential,fourary,0,6,157100,38538100,11216200
sparse,42,666,potential,mean_ring,0,7,89300,38538100,11216200
sparse,42,666,potential,mean_ring,1,0,82100,38538100,11216200
sparse,42,666,potential,fourary,1,1,168700,38538100,11216200
sparse,42,666,rcm,fourary,1,2,163500,691800,11216200
sparse,42,666,bfs,fourary,1,3,155000,889900,11216200
sparse,42,666,bfs,mean_ring,1,4,84400,889900,11216200
sparse,42,666,identity,fourary,1,5,160200,0,11216200
sparse,42,666,rcm,mean_ring,1,6,175700,691800,11216200
sparse,42,666,identity,mean_ring,1,7,108800,0,11216200
sparse,42,666,potential,mean_ring,2,0,89700,38538100,11216200
sparse,42,666,identity,fourary,2,1,174200,0,11216200
sparse,42,666,bfs,mean_ring,2,2,91700,889900,11216200
sparse,42,666,potential,fourary,2,3,168300,38538100,11216200
sparse,42,666,bfs,fourary,2,4,204400,889900,11216200
sparse,42,666,identity,mean_ring,2,5,148100,0,11216200
sparse,42,666,rcm,mean_ring,2,6,129400,691800,11216200
sparse,42,666,rcm,fourary,2,7,181300,691800,11216200
sparse,42,666,rcm,fourary,3,0,166200,691800,11216200
sparse,42,666,rcm,mean_ring,3,1,100000,691800,11216200
sparse,42,666,identity,mean_ring,3,2,90300,0,11216200
sparse,42,666,bfs,fourary,3,3,160400,889900,11216200
sparse,42,666,potential,fourary,3,4,157900,38538100,11216200
sparse,42,666,bfs,mean_ring,3,5,88000,889900,11216200
sparse,42,666,identity,fourary,3,6,150900,0,11216200
sparse,42,666,potential,mean_ring,3,7,86500,38538100,11216200
sparse,42,666,identity,fourary,4,0,149900,0,11216200
sparse,42,666,rcm,fourary,4,1,164700,691800,11216200
sparse,42,666,bfs,mean_ring,4,2,93800,889900,11216200
sparse,42,666,identity,mean_ring,4,3,82100,0,11216200
sparse,42,666,rcm,mean_ring,4,4,68200,691800,11216200
sparse,42,666,potential,fourary,4,5,187500,38538100,11216200
sparse,42,666,potential,mean_ring,4,6,72800,38538100,11216200
sparse,42,666,bfs,fourary,4,7,166400,889900,11216200
sparse,42,666,bfs,fourary,5,0,162200,889900,11216200
sparse,42,666,potential,mean_ring,5,1,71400,38538100,11216200
sparse,42,666,potential,fourary,5,2,158400,38538100,11216200
sparse,42,666,rcm,mean_ring,5,3,72300,691800,11216200
sparse,42,666,identity,mean_ring,5,4,71100,0,11216200
sparse,42,666,bfs,mean_ring,5,5,68900,889900,11216200
sparse,42,666,rcm,fourary,5,6,170600,691800,11216200
sparse,42,666,identity,fourary,5,7,164400,0,11216200
sparse,42,666,bfs,mean_ring,6,0,74300,889900,11216200
sparse,42,666,potential,mean_ring,6,1,64400,38538100,11216200
sparse,42,666,rcm,mean_ring,6,2,101400,691800,11216200
sparse,42,666,potential,fourary,6,3,180800,38538100,11216200
sparse,42,666,rcm,fourary,6,4,167200,691800,11216200
sparse,42,666,identity,fourary,6,5,160000,0,11216200
sparse,42,666,identity,mean_ring,6,6,91500,0,11216200
sparse,42,666,bfs,fourary,6,7,153500,889900,11216200
sparse,42,666,bfs,fourary,7,0,150200,889900,11216200
sparse,42,666,identity,mean_ring,7,1,88700,0,11216200
sparse,42,666,identity,fourary,7,2,161800,0,11216200
sparse,42,666,rcm,fourary,7,3,192300,691800,11216200
sparse,42,666,potential,fourary,7,4,174400,38538100,11216200
sparse,42,666,rcm,mean_ring,7,5,142800,691800,11216200
sparse,42,666,potential,mean_ring,7,6,133900,38538100,11216200
sparse,42,666,bfs,mean_ring,7,7,179600,889900,11216200
sparse,42,666,potential,fourary,8,0,179600,38538100,11216200
sparse,42,666,rcm,mean_ring,8,1,140600,691800,11216200
sparse,42,666,identity,fourary,8,2,167700,0,11216200
sparse,42,666,bfs,fourary,8,3,146000,889900,11216200
sparse,42,666,potential,mean_ring,8,4,103600,38538100,11216200
sparse,42,666,rcm,fourary,8,5,189200,691800,11216200
sparse,42,666,identity,mean_ring,8,6,127100,0,11216200
sparse,42,666,bfs,mean_ring,8,7,120400,889900,11216200
sparse,42,666,bfs,mean_ring,9,0,103700,889900,11216200
sparse,42,666,identity,mean_ring,9,1,97800,0,11216200
sparse,42,666,rcm,fourary,9,2,203200,691800,11216200
sparse,42,666,potential,mean_ring,9,3,132300,38538100,11216200
sparse,42,666,bfs,fourary,9,4,213100,889900,11216200
sparse,42,666,identity,fourary,9,5,195600,0,11216200
sparse,42,666,rcm,mean_ring,9,6,134800,691800,11216200
sparse,42,666,potential,fourary,9,7,202600,38538100,11216200
sparse,42,666,identity,fourary,10,0,159600,0,11216200
sparse,42,666,bfs,fourary,10,1,160100,889900,11216200
sparse,42,666,rcm,mean_ring,10,2,105200,691800,11216200
sparse,42,666,bfs,mean_ring,10,3,94900,889900,11216200
sparse,42,666,potential,mean_ring,10,4,93600,38538100,11216200
sparse,42,666,potential,fourary,10,5,165900,38538100,11216200
sparse,42,666,identity,mean_ring,10,6,95000,0,11216200
sparse,42,666,rcm,fourary,10,7,169300,691800,11216200
sparse,42,666,rcm,fourary,11,0,190900,691800,11216200
