case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,37763,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37763,binary,299101,299101,5186808,1027,733846,0,0,0,299100,34755,0,264346,0,0,0,0,0,0
1,37763,fourary,299101,299101,5661791,1027,733846,0,0,0,299100,34755,0,264346,0,0,0,0,0,0
1,37763,mean_map,294397,294397,0,0,1471467,0,0,0,294396,9138,776,265547,19712,257234,925,0,0,0
1,37763,mean_ring,294397,294397,0,0,1471467,0,0,0,294396,9138,776,265547,19712,257234,925,0,0,0
1,37763,mean_degree,298629,298629,0,0,1468082,0,0,0,298628,20704,2146,264470,13455,643768,350,0,0,0
1,37763,max_maxdegree,319809,319809,0,0,1507546,0,0,0,319808,8992,218,277206,33611,11574,3395,0,0,0
1,37763,caliber,203509,203509,3513956,993,733846,0,0,0,301961,37616,0,264346,0,0,0,0,0,0
1,37763,degree4,324076,324076,6098374,1768,733846,142787,401840,176861,324075,59730,0,264346,0,0,0,718068,2223396,18446744073709551615
1,37763,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37763,selected_grid,322575,322575,0,0,1513497,0,0,0,322574,8898,194,279132,34545,8438,3813,0,0,0
1,75527,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,75527,binary,299073,299073,4894002,654,733846,0,0,0,299072,34727,0,264346,0,0,0,0,0,0
1,75527,fourary,299073,299073,5338967,654,733846,0,0,0,299072,34727,0,264346,0,0,0,0,0,0
1,75527,mean_map,294085,294085,0,0,1471455,0,0,0,294084,8922,1015,265542,19621,257234,621,0,0,0
1,75527,mean_ring,294085,294085,0,0,1471455,0,0,0,294084,8922,1015,265542,19621,257234,621,0,0,0
1,75527,mean_degree,298629,298629,0,0,1468159,0,0,0,298628,20669,2805,264495,13465,643768,233,0,0,0
1,75527,max_maxdegree,318820,318820,0,0,1506685,0,0,0,318819,8746,285,276923,33151,11574,2228,0,0,0
1,75527,caliber,203395,203395,3315159,651,733846,0,0,0,302047,37702,0,264346,0,0,0,0,0,0
1,75527,degree4,323636,323636,5780783,1117,733846,142430,400907,176720,323635,59290,0,264346,0,0,0,718068,2223396,18446744073709551615
1,75527,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,75527,selected_grid,322016,322016,0,0,1512990,0,0,0,322015,8843,254,279073,34100,8438,2517,0,0,0
1,113291,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,113291,binary,298782,298782,5195639,934,733846,0,0,0,298781,34436,0,264346,0,0,0,0,0,0
1,113291,fourary,298782,298782,5672700,934,733846,0,0,0,298781,34436,0,264346,0,0,0,0,0,0
1,113291,mean_map,293871,293871,0,0,1471451,0,0,0,293870,8928,699,265540,19403,257234,798,0,0,0
1,113291,mean_ring,293871,293871,0,0,1471451,0,0,0,293870,8928,699,265540,19403,257234,798,0,0,0
1,113291,mean_degree,298266,298266,0,0,1468099,0,0,0,298265,20535,1913,264477,13254,643768,306,0,0,0
1,113291,max_maxdegree,319254,319254,0,0,1507677,0,0,0,319253,8783,198,277252,33219,11574,2936,0,0,0
1,113291,caliber,203303,203303,3519291,923,733846,0,0,0,301646,37301,0,264346,0,0,0,0,0,0
1,113291,degree4,323365,323365,6107285,1596,733846,142480,401165,176489,323364,59019,0,264346,0,0,0,718068,2223396,18446744073709551615
1,113291,radix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,113291,selected_grid,322102,322102,0,0,1513767,0,0,0,322101,8783,176,279280,34039,8438,3317,0,0,0
1,151054,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,151054,binary,298693,298693,5203891,982,733846,0,0,0,298692,34347,0,264346,0,0,0,0,0,0
1,151054,fourary,298693,298693,5660198,982,733846,0,0,0,298692,34347,0,264346,0,0,0,0,0,0
1,151054,mean_map,293627,293627,0,0,1471411,0,0,0,293626,8817,782,265533,19277,257234,921,0,0,0
1,151054,mean_ring,293627,293627,0,0,1471411,0,0,0,293626,8817,782,265533,19277,257234,921,0,0,0
1,151054,mean_degree,298147,298147,0,0,1468168,0,0,0,298146,20307,2157,264498,13342,643768,343,0,0,0
1,151054,max_maxdegree,318237,318237,0,0,1506308,0,0,0,318236,8724,220,276823,32690,11574,3285,0,0,0
