case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,NY,264346,733846,0,0,grid_0.75,0,0,43430500,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,0,1,53750500,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,0,2,37577600,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,0,3,56806800,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_4,0,4,30338100,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_8,0,5,31774400,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,0,6,34654300,1939.955024623695,3228100
1,calibration,NY,264346,733846,0,0,grid_1,0,7,35227900,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,0,8,36650300,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,0,9,44369500,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_2,0,10,29460800,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_16,0,11,32344200,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_16,1,0,31490000,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_2,1,1,30202900,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,1,2,45334100,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,1,3,36282200,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_1,1,4,33365000,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,1,5,30763600,1939.955024623695,3228100
1,calibration,NY,264346,733846,0,0,grid_8,1,6,31842800,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_4,1,7,29635300,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,1,8,54544400,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,1,9,36708000,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,1,10,46327900,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.75,1,11,36048100,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_4,2,0,29104900,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_16,2,1,31684200,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_2,2,2,28880200,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,2,3,34920700,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,2,4,32612600,1939.955024623695,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,2,5,38042800,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,2,6,41885400,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_8,2,7,28938600,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,2,8,50590300,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_1,2,9,33612800,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.75,2,10,35008300,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,2,11,49972900,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,3,0,47150600,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.75,3,1,36791400,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_1,3,2,33167500,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,3,3,51426500,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_8,3,4,30398900,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,3,5,39881000,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,3,6,50543500,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,3,7,46405200,1939.955024623695,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,3,8,55534600,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_2,3,9,41862500,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_16,3,10,37840500,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_4,3,11,31444000,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,4,0,35278700,1939.955024623695,3228100
1,calibration,NY,264346,733846,0,0,grid_2,4,1,35084800,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,4,2,39971300,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.75,4,3,37829800,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_1,4,4,43398500,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_4,4,5,32699300,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_16,4,6,35675500,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,4,7,52475600,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,4,8,40825700,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,4,9,55474200,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_8,4,10,30726100,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,4,11,43926900,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.1,5,0,44789000,129.330334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_8,5,1,30064100,10346.42679799304,3228100
1,calibration,NY,264346,733846,0,0,grid_0.03125,5,2,54993300,40.41572967966031,3228100
1,calibration,NY,264346,733846,0,0,grid_0.25,5,3,37825500,323.3258374372825,3228100
1,calibration,NY,264346,733846,0,0,grid_0.05,5,4,48013200,64.6651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_16,5,5,31527600,20692.85359598608,3228100
1,calibration,NY,264346,733846,0,0,grid_4,5,6,29615900,5173.21339899652,3228100
1,calibration,NY,264346,733846,0,0,grid_1,5,7,33823000,1293.30334974913,3228100
1,calibration,NY,264346,733846,0,0,grid_0.75,5,8,35371500,969.9775123118475,3228100
1,calibration,NY,264346,733846,0,0,grid_0.5,5,9,36904200,646.651674874565,3228100
1,calibration,NY,264346,733846,0,0,grid_2,5,10,32620800,2586.60669949826,3228100
1,calibration,NY,264346,733846,0,0,grid_1.5,5,11,36064300,1939.955024623695,3228100
1,roads,NY,264346,733846,0,37763,degree4,0,0,77483200,0,18725300
1,roads,NY,264346,733846,0,37763,caliber,0,1,50918400,0,5392400
1,roads,NY,264346,733846,0,37763,fourary,0,2,63402700,0,0
1,roads,NY,264346,733846,0,37763,radix,0,3,81354900,0,0
1,roads,NY,264346,733846,0,37763,selected_grid,0,4,32103800,5173.21339899652,2795695300
1,roads,NY,264346,733846,0,37763,mean_ring,0,5,34567700,1293.30334974913,3228100
1,roads,NY,264346,733846,0,37763,mean_map,0,6,41995600,1293.30334974913,3228100
1,roads,NY,264346,733846,0,37763,std_binary,0,7,57179600,0,0
1,roads,NY,264346,733846,0,37763,binary,0,8,59229000,0,0
1,roads,NY,264346,733846,0,37763,max_maxdegree,0,9,32506600,4618.25,4718000
1,roads,NY,264346,733846,0,37763,mean_degree,0,10,41336200,465.8737218609674,3228100
1,roads,NY,264346,733846,0,37763,mean_degree,1,0,39566500,465.8737218609674,3228100
1,roads,NY,264346,733846,0,37763,max_maxdegree,1,1,32488700,4618.25,4718000
1,roads,NY,264346,733846,0,37763,binary,1,2,57203700,0,0
1,roads,NY,264346,733846,0,37763,std_binary,1,3,58581500,0,0
1,roads,NY,264346,733846,0,37763,mean_map,1,4,38849400,1293.30334974913,3228100
1,roads,NY,264346,733846,0,37763,mean_ring,1,5,35654800,1293.30334974913,3228100
1,roads,NY,264346,733846,0,37763,selected_grid,1,6,32591400,5173.21339899652,2795695300
1,roads,NY,264346,733846,0,37763,radix,1,7,70994100,0,0
1,roads,NY,264346,733846,0,37763,fourary,1,8,59813900,0,0
1,roads,NY,264346,733846,0,37763,caliber,1,9,45616800,0,5392400
1,roads,NY,264346,733846,0,37763,degree4,1,10,70039100,0,18725300
