case,training_source,multiplier,median_ns,total_calibration_ns,selected
1,0,0.03125,54768850,2792467200,false
1,0,0.05,48993050,2792467200,false
1,0,0.1,44148200,2792467200,false
1,0,0.25,37701550,2792467200,false
1,0,0.5,37473500,2792467200,false
1,0,0.75,36419750,2792467200,false
1,0,1,33717900,2792467200,false
1,0,1.5,34966500,2792467200,false
1,0,2,31411850,2792467200,false
1,0,4,29986700,2792467200,true
1,0,8,30562500,2792467200,false
1,0,16,32014200,2792467200,false
2,0,0.03125,63938350,3206459500,false
2,0,0.05,56050050,3206459500,false
2,0,0.1,50049200,3206459500,false
2,0,0.25,43681600,3206459500,false
2,0,0.5,45979050,3206459500,false
2,0,0.75,43641250,3206459500,false
2,0,1,42747750,3206459500,false
2,0,1.5,39162200,3206459500,false
2,0,2,36635450,3206459500,false
2,0,4,36016000,3206459500,false
2,0,8,35965350,3206459500,true
2,0,16,38966000,3206459500,false
3,0,0.03125,83889550,4620719600,false
3,0,0.05,81810600,4620719600,false
3,0,0.1,70371000,4620719600,false
3,0,0.25,67688900,4620719600,false
3,0,0.5,62680150,4620719600,false
3,0,0.75,59566300,4620719600,false
3,0,1,57716900,4620719600,false
3,0,1.5,54399450,4620719600,false
3,0,2,51031550,4620719600,false
3,0,4,50711900,4620719600,true
3,0,8,50814550,4620719600,false
3,0,16,56743600,4620719600,false
