case,source,arm,pushes,pops,comparisons,peak,scans,scouts,scout_scans,scout_yield,improvements,superseded,phases,vertex_scans,unchanged,heavy,max_phase_scans,admitted,potential_work,budget
1,3333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3333,binary,13550,13550,311312,6204,44508,0,0,0,13549,3681,0,9869,0,0,0,0,0,0
1,3333,fourary,13550,13550,322707,6204,44508,0,0,0,13549,3681,0,9869,0,0,0,0,0,0
1,3333,mean_map,12862,12862,0,0,90396,0,0,0,12861,1153,11,10172,1537,22322,4853,0,0,0
1,3333,mean_ring,12862,12862,0,0,90396,0,0,0,12861,1153,11,10172,1537,22322,4853,0,0,0
1,3333,mean_degree,13393,13393,0,0,89167,0,0,0,13392,3018,39,9899,476,39930,1191,0,0,0
1,3333,max_maxdegree,13414,13414,0,0,89186,0,0,0,13413,2985,36,9900,529,39381,1341,0,0,0
1,3333,caliber,10676,10676,243100,6484,44508,0,0,0,14030,4162,0,9869,0,0,0,0,0,0
1,3333,degree4,14173,14173,329963,6932,44508,1438,3630,1641,14172,4304,0,9869,0,0,0,6331,15993,18446744073709551615
1,6666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6666,binary,13595,13595,311990,6124,44508,0,0,0,13594,3726,0,9869,0,0,0,0,0,0
1,6666,fourary,13595,13595,323630,6124,44508,0,0,0,13594,3726,0,9869,0,0,0,0,0,0
1,6666,mean_map,12853,12853,0,0,90506,0,0,0,12852,1200,12,10201,1452,22322,5159,0,0,0
1,6666,mean_ring,12853,12853,0,0,90506,0,0,0,12852,1200,12,10201,1452,22322,5159,0,0,0
1,6666,mean_degree,13463,13463,0,0,89127,0,0,0,13462,3075,42,9891,497,39930,1156,0,0,0
1,6666,max_maxdegree,13443,13443,0,0,89098,0,0,0,13442,2979,37,9887,577,39381,1333,0,0,0
1,6666,caliber,10750,10750,244732,6489,44508,0,0,0,14154,4286,0,9869,0,0,0,0,0,0
1,6666,degree4,14267,14267,332361,6920,44508,1479,3785,1744,14266,4398,0,9869,0,0,0,6331,15993,18446744073709551615
2,33333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,33333,binary,136121,136121,4024568,62028,445014,0,0,0,136120,37336,0,98785,0,0,0,0,0,0
2,33333,fourary,136121,136121,4171398,62028,445014,0,0,0,136120,37336,0,98785,0,0,0,0,0,0
2,33333,mean_map,129253,129253,0,0,903775,0,0,0,129252,12204,10,101890,15159,222676,43931,0,0,0
2,33333,mean_ring,129253,129253,0,0,903775,0,0,0,129252,12204,10,101890,15159,222676,43931,0,0,0
2,33333,mean_degree,134911,134911,0,0,890974,0,0,0,134910,30860,44,99001,5050,399447,11956,0,0,0
2,33333,max_maxdegree,134632,134632,0,0,891170,0,0,0,134631,30077,40,99047,5508,393758,13208,0,0,0
2,33333,caliber,107818,107818,3165852,65379,445014,0,0,0,141564,42780,0,98785,0,0,0,0,0,0
2,33333,degree4,142305,142305,4256597,69372,445014,14388,35938,16199,142304,43520,0,98785,0,0,0,61795,153875,18446744073709551615
2,66666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,66666,binary,136428,136428,4032559,61876,445014,0,0,0,136427,37643,0,98785,0,0,0,0,0,0
2,66666,fourary,136428,136428,4180330,61876,445014,0,0,0,136427,37643,0,98785,0,0,0,0,0,0
2,66666,mean_map,129241,129241,0,0,904365,0,0,0,129240,11971,11,101937,15333,222676,50189,0,0,0
2,66666,mean_ring,129241,129241,0,0,904365,0,0,0,129240,11971,11,101937,15333,222676,50189,0,0,0
2,66666,mean_degree,135264,135264,0,0,890963,0,0,0,135263,31322,45,98983,4959,399447,11803,0,0,0
2,66666,max_maxdegree,134966,134966,0,0,891462,0,0,0,134965,30351,42,99090,5525,393758,13404,0,0,0
2,66666,caliber,107992,107992,3169923,65113,445014,0,0,0,141716,42932,0,98785,0,0,0,0,0,0
2,66666,degree4,142396,142396,4257157,69005,445014,14515,36005,16378,142395,43611,0,98785,0,0,0,61795,153875,18446744073709551615
3,333333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,333333,binary,1363918,1363918,49458411,619690,4448246,0,0,0,1363917,375713,0,988205,0,0,0,0,0,0
3,333333,fourary,1363918,1363918,50943415,619690,4448246,0,0,0,1363917,375713,0,988205,0,0,0,0,0,0
3,333333,mean_map,1291832,1291832,0,0,9036183,0,0,0,1291831,120376,14,1019323,152133,2223927,442030,0,0,0
3,333333,mean_ring,1291832,1291832,0,0,9036183,0,0,0,1291831,120376,14,1019323,152133,2223927,442030,0,0,0
3,333333,mean_degree,1350951,1350951,0,0,8906233,0,0,0,1350950,310372,55,990369,50210,3989180,120539,0,0,0
3,333333,max_maxdegree,1348087,1348087,0,0,8908627,0,0,0,1348086,301788,50,990880,55419,3931534,133244,0,0,0
3,333333,caliber,1079627,1079627,38932649,652935,4448246,0,0,0,1417452,429248,0,988205,0,0,0,0,0,0
3,333333,degree4,1426068,1426068,52239541,694163,4448246,146271,365811,165870,1426067,437863,0,988205,0,0,0,624402,1559824,18446744073709551615
3,666666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,666666,binary,1364788,1364788,49491856,620105,4448246,0,0,0,1364787,376583,0,988205,0,0,0,0,0,0
3,666666,fourary,1364788,1364788,50975662,620105,4448246,0,0,0,1364787,376583,0,988205,0,0,0,0,0,0
3,666666,mean_map,1292059,1292059,0,0,9037598,0,0,0,1292058,119969,15,1019536,152554,2223927,452422,0,0,0
3,666666,mean_ring,1292059,1292059,0,0,9037598,0,0,0,1292058,119969,15,1019536,152554,2223927,452422,0,0,0
3,666666,mean_degree,1351625,1351625,0,0,8906350,0,0,0,1351624,310776,58,990395,50454,3989180,119764,0,0,0
3,666666,max_maxdegree,1348552,1348552,0,0,8908464,0,0,0,1348551,301953,51,990863,55736,3931534,133914,0,0,0
3,666666,caliber,1080369,1080369,38963788,653825,4448246,0,0,0,1418173,429969,0,988205,0,0,0,0,0,0
3,666666,degree4,1426429,1426429,52248222,693712,4448246,145828,364534,165032,1426428,438224,0,988205,0,0,0,624402,1559824,18446744073709551615
4,3333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3333,binary,13578,13578,311838,6204,44063,0,0,0,13577,3687,0,9891,0,0,0,0,0,0
4,3333,fourary,13578,13578,323288,6204,44063,0,0,0,13577,3687,0,9891,0,0,0,0,0,0
4,3333,mean_map,12885,12885,0,0,89646,0,0,0,12884,1163,10,10216,1506,21969,5170,0,0,0
4,3333,mean_ring,12885,12885,0,0,89646,0,0,0,12884,1163,10,10216,1506,21969,5170,0,0,0
4,3333,mean_degree,13447,13447,0,0,88200,0,0,0,13446,3038,37,9908,501,39404,1261,0,0,0
4,3333,max_maxdegree,13433,13433,0,0,88217,0,0,0,13432,2977,35,9910,546,38924,1345,0,0,0
4,3333,caliber,10670,10670,242645,6450,44063,0,0,0,14093,4203,0,9891,0,0,0,0,0,0
4,3333,degree4,14147,14147,329218,6892,44063,1442,3578,1552,14146,4256,0,9891,0,0,0,6355,15784,18446744073709551615
4,6666,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6666,binary,13632,13632,313008,6183,44063,0,0,0,13631,3741,0,9891,0,0,0,0,0,0
4,6666,fourary,13632,13632,324410,6183,44063,0,0,0,13631,3741,0,9891,0,0,0,0,0,0
4,6666,mean_map,12896,12896,0,0,89687,0,0,0,12895,1159,9,10232,1505,21969,4855,0,0,0
4,6666,mean_ring,12896,12896,0,0,89687,0,0,0,12895,1159,9,10232,1505,21969,4855,0,0,0
4,6666,mean_degree,13479,13479,0,0,88238,0,0,0,13478,3045,36,9920,514,39404,1196,0,0,0
4,6666,max_maxdegree,13475,13475,0,0,88241,0,0,0,13474,2995,34,9918,562,38924,1330,0,0,0
4,6666,caliber,10676,10676,242901,6510,44063,0,0,0,14125,4235,0,9891,0,0,0,0,0,0
4,6666,degree4,14259,14259,332118,6944,44063,1494,3700,1670,14258,4368,0,9891,0,0,0,6355,15784,18446744073709551615
5,33333,std_binary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33333,binary,136219,136219,4027884,62281,443326,0,0,0,136218,37432,0,98787,0,0,0,0,0,0
5,33333,fourary,136219,136219,4173889,62281,443326,0,0,0,136218,37432,0,98787,0,0,0,0,0,0
