case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,scale,sparse_fast,10000,45135,42,3333,fourary,0,0,3877800,0,0
1,scale,sparse_fast,10000,45135,42,3333,binary,0,1,3499500,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,0,2,1848000,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_map,0,3,2151600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,caliber,0,4,2635800,0,194000
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,0,5,1708500,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,std_binary,0,6,2884300,0,0
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,0,7,1993300,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,degree4,0,8,3434200,0,652100
1,scale,sparse_fast,10000,45135,42,3333,degree4,1,0,3616200,0,652100
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,1,1,1665100,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,std_binary,1,2,2742100,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,1,3,1774200,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,caliber,1,4,2683400,0,194000
1,scale,sparse_fast,10000,45135,42,3333,mean_map,1,5,2027400,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,1,6,1712300,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,binary,1,7,2805200,0,0
1,scale,sparse_fast,10000,45135,42,3333,fourary,1,8,3264800,0,0
1,scale,sparse_fast,10000,45135,42,3333,caliber,2,0,2609100,0,194000
1,scale,sparse_fast,10000,45135,42,3333,mean_map,2,1,1716700,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,2,2,1605300,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,fourary,2,3,2962500,0,0
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,2,4,2158400,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,binary,2,5,2931000,0,0
1,scale,sparse_fast,10000,45135,42,3333,degree4,2,6,3611200,0,652100
1,scale,sparse_fast,10000,45135,42,3333,std_binary,2,7,2683700,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,2,8,1683100,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,3,0,1796000,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,std_binary,3,1,2751800,0,0
1,scale,sparse_fast,10000,45135,42,3333,degree4,3,2,4276500,0,652100
1,scale,sparse_fast,10000,45135,42,3333,binary,3,3,2824400,0,0
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,3,4,1903200,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,fourary,3,5,3836500,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,3,6,1552100,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_map,3,7,1793000,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,caliber,3,8,2718700,0,194000
1,scale,sparse_fast,10000,45135,42,3333,std_binary,4,0,2798400,0,0
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,4,1,1817600,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,degree4,4,2,4432300,0,652100
1,scale,sparse_fast,10000,45135,42,3333,mean_map,4,3,3129300,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,fourary,4,4,3093500,0,0
1,scale,sparse_fast,10000,45135,42,3333,caliber,4,5,3549900,0,194000
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,4,6,1768200,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,4,7,1679200,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,binary,4,8,2902300,0,0
1,scale,sparse_fast,10000,45135,42,3333,binary,5,0,2996400,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_degree,5,1,1915800,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,3333,mean_ring,5,2,1632200,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,caliber,5,3,2600600,0,194000
1,scale,sparse_fast,10000,45135,42,3333,fourary,5,4,2905300,0,0
1,scale,sparse_fast,10000,45135,42,3333,mean_map,5,5,2154900,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,3333,degree4,5,6,4019200,0,652100
1,scale,sparse_fast,10000,45135,42,3333,max_maxdegree,5,7,1736400,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,3333,std_binary,5,8,3084300,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,0,0,1831400,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,fourary,0,1,2905600,0,0
1,scale,sparse_fast,10000,45135,42,6666,std_binary,0,2,2735900,0,0
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,0,3,1841100,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,binary,0,4,3000600,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,0,5,1530500,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,0,6,1689900,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,caliber,0,7,2614600,0,194000
1,scale,sparse_fast,10000,45135,42,6666,degree4,0,8,3948500,0,652100
1,scale,sparse_fast,10000,45135,42,6666,degree4,1,0,3106900,0,652100
1,scale,sparse_fast,10000,45135,42,6666,caliber,1,1,2626300,0,194000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,1,2,1669800,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,1,3,1768200,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,binary,1,4,3013200,0,0
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,1,5,1691300,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,std_binary,1,6,2866700,0,0
1,scale,sparse_fast,10000,45135,42,6666,fourary,1,7,2934000,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,1,8,2260400,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,2,0,2030500,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,2,1,1684800,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,2,2,1882900,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,degree4,2,3,4286500,0,652100
1,scale,sparse_fast,10000,45135,42,6666,std_binary,2,4,2963100,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,2,5,1839000,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,fourary,2,6,3291700,0,0
1,scale,sparse_fast,10000,45135,42,6666,caliber,2,7,2689900,0,194000
1,scale,sparse_fast,10000,45135,42,6666,binary,2,8,2808700,0,0
1,scale,sparse_fast,10000,45135,42,6666,binary,3,0,2792900,0,0
1,scale,sparse_fast,10000,45135,42,6666,caliber,3,1,2604400,0,194000
1,scale,sparse_fast,10000,45135,42,6666,fourary,3,2,3499700,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_map,3,3,1740600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,std_binary,3,4,3632900,0,0
1,scale,sparse_fast,10000,45135,42,6666,degree4,3,5,4376800,0,652100
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,3,6,1725600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,3,7,2173700,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,3,8,1872000,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,std_binary,4,0,2975600,0,0
1,scale,sparse_fast,10000,45135,42,6666,fourary,4,1,2970200,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_degree,4,2,1663500,11.215128922186135,136000
1,scale,sparse_fast,10000,45135,42,6666,caliber,4,3,2601500,0,194000
1,scale,sparse_fast,10000,45135,42,6666,degree4,4,4,3858100,0,652100
1,scale,sparse_fast,10000,45135,42,6666,max_maxdegree,4,5,1612900,12.499836814160739,217800
1,scale,sparse_fast,10000,45135,42,6666,mean_map,4,6,1801700,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,4,7,1574600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,binary,4,8,3131000,0,0
1,scale,sparse_fast,10000,45135,42,6666,binary,5,0,4053100,0,0
1,scale,sparse_fast,10000,45135,42,6666,mean_ring,5,1,1570600,50.61948439028712,136000
1,scale,sparse_fast,10000,45135,42,6666,mean_map,5,2,2387100,50.61948439028712,136000
