case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_fast,100,469,42,0,grid_0.75,0,0,13500,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1,0,1,11500,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,0,2,19200,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_2,0,3,11700,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_16,0,4,13700,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,0,5,16200,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,0,6,13800,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,0,7,28500,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,0,8,13600,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_4,0,9,9300,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_8,0,10,7100,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,0,11,23200,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,1,0,16600,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_8,1,1,9200,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_4,1,2,8100,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,1,3,11800,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,1,4,26800,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,1,5,15600,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,1,6,18500,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,1,7,9600,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_2,1,8,12100,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,1,9,20300,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_1,1,10,13800,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,1,11,15700,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1,2,0,11000,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,2,1,10100,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,2,2,11400,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_4,2,3,9300,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,2,4,29300,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,2,5,24400,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,2,6,23600,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,2,7,12400,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,2,8,26100,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,2,9,17700,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_8,2,10,12400,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_2,2,11,13900,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_2,3,0,8600,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_8,3,1,6900,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,3,2,10600,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,3,3,16000,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_16,3,4,6600,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,3,5,25100,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,3,6,18800,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,3,7,23200,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_4,3,8,8200,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,3,9,10700,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,3,10,13300,38.66422658394275,300
