case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_fast,100,469,42,0,grid_0.75,0,0,14200,38.66422658394275,400
1,calibration,sparse_fast,100,469,42,0,grid_1,0,1,12200,51.552302111923666,400
1,calibration,sparse_fast,100,469,42,0,grid_0.1,0,2,22400,5.155230211192367,400
1,calibration,sparse_fast,100,469,42,0,grid_2,0,3,11500,103.10460422384733,400
1,calibration,sparse_fast,100,469,42,0,grid_16,0,4,7900,824.8368337907787,400
1,calibration,sparse_fast,100,469,42,0,grid_0.25,0,5,18000,12.888075527980916,400
1,calibration,sparse_fast,100,469,42,0,grid_0.5,0,6,14800,25.776151055961833,400
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,0,7,31900,1.6110094409976146,400
1,calibration,sparse_fast,100,469,42,0,grid_1.5,0,8,13600,77.3284531678855,400
1,calibration,sparse_fast,100,469,42,0,grid_4,0,9,9000,206.20920844769466,400
1,calibration,sparse_fast,100,469,42,0,grid_8,0,10,6900,412.4184168953893,400
1,calibration,sparse_fast,100,469,42,0,grid_0.05,0,11,25100,2.5776151055961836,400
1,calibration,sparse_fast,100,469,42,0,grid_0.05,1,0,18600,2.5776151055961836,400
1,calibration,sparse_fast,100,469,42,0,grid_8,1,1,8100,412.4184168953893,400
1,calibration,sparse_fast,100,469,42,0,grid_4,1,2,7600,206.20920844769466,400
1,calibration,sparse_fast,100,469,42,0,grid_1.5,1,3,15000,77.3284531678855,400
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,1,4,32800,1.6110094409976146,400
1,calibration,sparse_fast,100,469,42,0,grid_0.5,1,5,15000,25.776151055961833,400
1,calibration,sparse_fast,100,469,42,0,grid_0.25,1,6,18900,12.888075527980916,400
1,calibration,sparse_fast,100,469,42,0,grid_16,1,7,8200,824.8368337907787,400
1,calibration,sparse_fast,100,469,42,0,grid_2,1,8,32900,103.10460422384733,400
1,calibration,sparse_fast,100,469,42,0,grid_0.1,1,9,21100,5.155230211192367,400
1,calibration,sparse_fast,100,469,42,0,grid_1,1,10,14100,51.552302111923666,400
1,calibration,sparse_fast,100,469,42,0,grid_0.75,1,11,15700,38.66422658394275,400
1,calibration,sparse_fast,100,469,42,0,grid_1,2,0,10300,51.552302111923666,400
1,calibration,sparse_fast,100,469,42,0,grid_0.75,2,1,9800,38.66422658394275,400
1,calibration,sparse_fast,100,469,42,0,grid_1.5,2,2,11800,77.3284531678855,400
1,calibration,sparse_fast,100,469,42,0,grid_4,2,3,8600,206.20920844769466,400
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,2,4,27100,1.6110094409976146,400
1,calibration,sparse_fast,100,469,42,0,grid_0.05,2,5,21200,2.5776151055961836,400
1,calibration,sparse_fast,100,469,42,0,grid_0.25,2,6,17700,12.888075527980916,400
1,calibration,sparse_fast,100,469,42,0,grid_16,2,7,7800,824.8368337907787,400
1,calibration,sparse_fast,100,469,42,0,grid_0.1,2,8,18300,5.155230211192367,400
1,calibration,sparse_fast,100,469,42,0,grid_0.5,2,9,13900,25.776151055961833,400
1,calibration,sparse_fast,100,469,42,0,grid_8,2,10,7300,412.4184168953893,400
1,calibration,sparse_fast,100,469,42,0,grid_2,2,11,11700,103.10460422384733,400
1,calibration,sparse_fast,100,469,42,0,grid_2,3,0,7900,103.10460422384733,400
1,calibration,sparse_fast,100,469,42,0,grid_8,3,1,7900,412.4184168953893,400
1,calibration,sparse_fast,100,469,42,0,grid_0.5,3,2,10000,25.776151055961833,400
1,calibration,sparse_fast,100,469,42,0,grid_0.1,3,3,15500,5.155230211192367,400
