case,stage,family,n,m,seed,mean,median,max,sd,degree,max_degree,generation_ns,feature_ns,fingerprint
1,laws,sparse_uniform,2000,9049,42,50.948852213013637,51.661491687673646,99.984612134279800,28.355135240701443,4.524500000,8,419700,310900,b78f8ba2dfb8e5fa
2,laws,sparse_near,2000,9049,42,50.000015493233519,50.000019979165423,50.009995039986272,0.005826454770000,4.524500000,8,657200,361900,2b8564c9386cdb9f
3,laws,sparse_skew,2000,9049,42,12.292737193924683,1.392943199750885,99.803753861789957,21.663509984942987,4.524500000,8,488300,349700,00062f2b9bb67c8d
4,laws,sparse_bimodal,2000,9049,42,21.414852469886174,1.000000000000000,100.000000000000000,40.053766279237117,4.524500000,8,675200,152500,f359948cfe915ea1
5,laws,sparse_zero,2000,9049,42,37.975816273529475,34.239943722281303,99.975447932036900,33.105024122774893,4.524500000,8,624200,244600,65493afa011df223
6,laws,sparse_integer,2000,9049,42,50.374627030611116,51.000000000000000,100.000000000000000,28.940494420483532,4.524500000,8,587100,258400,dbc7d64af793dd6f
7,laws,sparse_shuffle,2000,9049,42,50.948852213013602,51.661491687673646,99.984612134279800,28.355135240701468,4.524500000,8,544500,369600,4840267250d26e88
8,laws,sparse_scale,2000,9049,42,52171.624666125964723,52901.367488177813357,102384.242825502515188,29035.658486478278064,4.524500000,8,448900,336700,b32f8ba2dfb8e5fa
9,laws,clustered_uniform,2000,51918,42,9.664041770625497,5.799403056894262,99.931274289797329,16.994004255706137,25.959000000,39,1981300,1924800,962bbb6bd9c7307b
10,laws,clustered_near,2000,51918,42,50.000031923547212,50.000075300565769,50.009999924376750,0.005780382614605,25.959000000,39,2991500,1933200,48efaa1253dfa560
11,laws,clustered_skew,2000,51918,42,12.092069788484963,1.410638170265172,99.997005358895663,21.368821412012821,25.959000000,39,2752500,1929800,585841f953e439bc
12,laws,clustered_bimodal,2000,51918,42,20.989541199583961,1.000000000000000,100.000000000000000,39.741449663888957,25.959000000,39,3505900,755300,6eeff0bc7095c241
