case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,0,0,180600,38.211639159760225,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,0,1,182100,50.94885221301364,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,0,2,239300,5.0948852213013645,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,0,3,156200,101.89770442602727,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,0,4,164000,815.1816354082182,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,0,5,219900,12.73721305325341,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,0,6,195200,25.47442610650682,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,0,7,298700,1.5921516316566762,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,0,8,169400,76.42327831952045,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,0,9,172600,203.79540885205455,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,0,10,184400,407.5908177041091,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,0,11,548400,2.5474426106506822,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,1,0,293700,2.5474426106506822,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,1,1,198300,407.5908177041091,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,1,2,168900,203.79540885205455,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,1,3,163600,76.42327831952045,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,1,4,272100,1.5921516316566762,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,1,5,191600,25.47442610650682,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,1,6,275400,12.73721305325341,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,1,7,181400,815.1816354082182,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,1,8,340400,101.89770442602727,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,1,9,674500,5.0948852213013645,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,1,10,473900,50.94885221301364,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,1,11,189600,38.211639159760225,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1,2,0,186300,50.94885221301364,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.75,2,1,185600,38.211639159760225,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_1.5,2,2,178300,76.42327831952045,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_4,2,3,166100,203.79540885205455,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.03125,2,4,279300,1.5921516316566762,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.05,2,5,291300,2.5474426106506822,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.25,2,6,221800,12.73721305325341,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,2,7,182200,815.1816354082182,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,2,8,229700,5.0948852213013645,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,2,9,192700,25.47442610650682,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,2,10,174400,407.5908177041091,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,2,11,158000,101.89770442602727,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_2,3,0,159200,101.89770442602727,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_8,3,1,176800,407.5908177041091,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.5,3,2,188000,25.47442610650682,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_0.1,3,3,229800,5.0948852213013645,5700
1,calibration,sparse_uniform,2000,9049,42,0,grid_16,3,4,176900,815.1816354082182,5700
