case,training_source,multiplier,median_ns,total_calibration_ns,selected
1,0,0.03125,286100,16441300,false
1,0,0.05,292500,16441300,false
1,0,0.1,239300,16441300,false
1,0,0.25,220850,16441300,false
1,0,0.5,192150,16441300,false
1,0,0.75,183100,16441300,false
1,0,1,199250,16441300,false
1,0,1.5,173850,16441300,false
1,0,2,158600,16441300,true
1,0,4,169100,16441300,false
1,0,8,188150,16441300,false
1,0,16,181800,16441300,false
2,0,0.03125,123150,8802500,false
2,0,0.05,113900,8802500,false
2,0,0.1,121150,8802500,false
2,0,0.25,120150,8802500,false
2,0,0.5,119600,8802500,false
2,0,0.75,121600,8802500,false
2,0,1,155100,8802500,false
2,0,1.5,118500,8802500,false
2,0,2,111600,8802500,false
2,0,4,111600,8802500,false
2,0,8,107100,8802500,false
2,0,16,103200,8802500,true
3,0,0.03125,269600,15549400,false
3,0,0.05,253500,15549400,false
3,0,0.1,233400,15549400,false
3,0,0.25,199600,15549400,false
3,0,0.5,185150,15549400,false
3,0,0.75,175200,15549400,true
3,0,1,180700,15549400,false
3,0,1.5,191850,15549400,false
3,0,2,209150,15549400,false
3,0,4,203150,15549400,false
3,0,8,210000,15549400,false
3,0,16,218950,15549400,false
4,0,0.03125,138750,9243900,false
4,0,0.05,141550,9243900,false
4,0,0.1,126300,9243900,false
4,0,0.25,121800,9243900,false
4,0,0.5,121650,9243900,false
4,0,0.75,103100,9243900,true
4,0,1,107350,9243900,false
4,0,1.5,113600,9243900,false
4,0,2,110250,9243900,false
4,0,4,115150,9243900,false
4,0,8,150250,9243900,false
4,0,16,149800,9243900,false
5,0,0.03125,354900,29707600,false
5,0,0.05,338600,29707600,false
5,0,0.1,293050,29707600,false
5,0,0.25,285450,29707600,true
5,0,0.5,291100,29707600,false
5,0,0.75,329000,29707600,false
5,0,1,365600,29707600,false
5,0,1.5,416250,29707600,false
5,0,2,437550,29707600,false
5,0,4,565300,29707600,false
5,0,8,483200,29707600,false
5,0,16,496750,29707600,false
6,0,0.03125,342300,18370200,false
