case,stage,family,n,m,seed,source,arm,round,position,ns,width,prep_ns
1,calibration,sparse_fast,100,469,42,0,grid_0.75,0,0,9000,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1,0,1,7900,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,0,2,14900,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_2,0,3,8700,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_16,0,4,7600,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,0,5,15400,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,0,6,13600,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,0,7,22100,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,0,8,9400,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_4,0,9,6300,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_8,0,10,5200,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,0,11,17000,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,1,0,11400,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_8,1,1,4700,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_4,1,2,4700,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,1,3,6300,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,1,4,17400,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,1,5,9000,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,1,6,10600,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,1,7,4800,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_2,1,8,7100,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,1,9,13600,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_1,1,10,8500,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,1,11,8700,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1,2,0,5500,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,2,1,5400,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,2,2,6800,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_4,2,3,5200,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,2,4,17200,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,2,5,13700,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,2,6,10100,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,2,7,5000,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,2,8,12500,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,2,9,9300,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_8,2,10,5000,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_2,2,11,7600,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_2,3,0,5000,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_8,3,1,4600,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,3,2,5800,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,3,3,10400,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_16,3,4,4500,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,3,5,9100,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,3,6,14800,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,3,7,18800,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_4,3,8,5900,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,3,9,8500,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,3,10,9600,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1,3,11,8400,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,4,0,17200,1.6110094409976146,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,4,1,11700,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_4,4,2,5900,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_2,4,3,6500,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,4,4,7800,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_8,4,5,4600,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,4,6,14000,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,4,7,8500,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,4,8,7400,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,4,9,9600,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_16,4,10,4600,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_1,4,11,7900,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_1,5,0,4700,51.552302111923666,300
1,calibration,sparse_fast,100,469,42,0,grid_16,5,1,4400,824.8368337907787,300
1,calibration,sparse_fast,100,469,42,0,grid_0.25,5,2,6900,12.888075527980916,300
1,calibration,sparse_fast,100,469,42,0,grid_1.5,5,3,5900,77.3284531678855,300
1,calibration,sparse_fast,100,469,42,0,grid_0.75,5,4,7000,38.66422658394275,300
1,calibration,sparse_fast,100,469,42,0,grid_0.05,5,5,12500,2.5776151055961836,300
1,calibration,sparse_fast,100,469,42,0,grid_8,5,6,4700,412.4184168953893,300
1,calibration,sparse_fast,100,469,42,0,grid_0.5,5,7,7100,25.776151055961833,300
1,calibration,sparse_fast,100,469,42,0,grid_2,5,8,6100,103.10460422384733,300
1,calibration,sparse_fast,100,469,42,0,grid_4,5,9,5200,206.20920844769466,300
1,calibration,sparse_fast,100,469,42,0,grid_0.1,5,10,10400,5.155230211192367,300
1,calibration,sparse_fast,100,469,42,0,grid_0.03125,5,11,16700,1.6110094409976146,300
1,smoke,sparse_fast,100,469,42,0,binary,0,0,20100,0,0
1,smoke,sparse_fast,100,469,42,0,fourary,0,1,10800,0,0
1,smoke,sparse_fast,100,469,42,0,mean_sqrtdegree,0,2,12400,23.804641343134683,300
1,smoke,sparse_fast,100,469,42,0,sd,0,3,12000,28.14871466100286,6500
1,smoke,sparse_fast,100,469,42,0,original_mean,0,4,10800,51.552302111923666,0
1,smoke,sparse_fast,100,469,42,0,mean_ring,0,5,10900,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,heavy_only,0,6,10200,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,selected_grid,0,7,8700,412.4184168953893,689700
1,smoke,sparse_fast,100,469,42,0,max_maxdegree,0,8,14000,12.459250994472354,900
1,smoke,sparse_fast,100,469,42,0,mean_map,0,9,9100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,std_binary,0,10,10100,0,0
1,smoke,sparse_fast,100,469,42,0,degree4,0,11,10800,0,4600
1,smoke,sparse_fast,100,469,42,0,caliber,0,12,9400,0,1300
1,smoke,sparse_fast,100,469,42,0,list_both,0,13,10100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,mean_degree,0,14,14000,10.991962070772635,300
1,smoke,sparse_fast,100,469,42,0,skip_only,0,15,9400,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,median,0,16,9400,54.394396656336156,5700
1,smoke,sparse_fast,100,469,42,0,median,1,0,7500,54.394396656336156,5700
1,smoke,sparse_fast,100,469,42,0,skip_only,1,1,6700,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,mean_degree,1,2,10100,10.991962070772635,300
1,smoke,sparse_fast,100,469,42,0,list_both,1,3,7500,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,caliber,1,4,6700,0,1300
1,smoke,sparse_fast,100,469,42,0,degree4,1,5,9000,0,4600
1,smoke,sparse_fast,100,469,42,0,std_binary,1,6,8400,0,0
1,smoke,sparse_fast,100,469,42,0,mean_map,1,7,7300,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,max_maxdegree,1,8,12100,12.459250994472354,900
1,smoke,sparse_fast,100,469,42,0,selected_grid,1,9,8100,412.4184168953893,689700
1,smoke,sparse_fast,100,469,42,0,heavy_only,1,10,7500,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,mean_ring,1,11,8100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,0,original_mean,1,12,9500,51.552302111923666,0
1,smoke,sparse_fast,100,469,42,0,sd,1,13,11000,28.14871466100286,6500
1,smoke,sparse_fast,100,469,42,0,mean_sqrtdegree,1,14,10800,23.804641343134683,300
1,smoke,sparse_fast,100,469,42,0,fourary,1,15,10000,0,0
1,smoke,sparse_fast,100,469,42,0,binary,1,16,9600,0,0
1,smoke,sparse_fast,100,469,42,33,mean_map,0,0,9100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,original_mean,0,1,8300,51.552302111923666,0
1,smoke,sparse_fast,100,469,42,33,sd,0,2,10800,28.14871466100286,6500
1,smoke,sparse_fast,100,469,42,33,caliber,0,3,7300,0,1300
1,smoke,sparse_fast,100,469,42,33,selected_grid,0,4,7100,412.4184168953893,689700
1,smoke,sparse_fast,100,469,42,33,std_binary,0,5,8500,0,0
1,smoke,sparse_fast,100,469,42,33,mean_ring,0,6,9100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,heavy_only,0,7,8700,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,median,0,8,9300,54.394396656336156,5700
1,smoke,sparse_fast,100,469,42,33,mean_degree,0,9,13100,10.991962070772635,300
1,smoke,sparse_fast,100,469,42,33,mean_sqrtdegree,0,10,11000,23.804641343134683,300
1,smoke,sparse_fast,100,469,42,33,fourary,0,11,9300,0,0
1,smoke,sparse_fast,100,469,42,33,list_both,0,12,10000,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,max_maxdegree,0,13,12600,12.459250994472354,900
1,smoke,sparse_fast,100,469,42,33,skip_only,0,14,9500,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,binary,0,15,9200,0,0
1,smoke,sparse_fast,100,469,42,33,degree4,0,16,9800,0,4600
1,smoke,sparse_fast,100,469,42,33,degree4,1,0,6200,0,4600
1,smoke,sparse_fast,100,469,42,33,binary,1,1,6100,0,0
1,smoke,sparse_fast,100,469,42,33,skip_only,1,2,7900,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,max_maxdegree,1,3,10400,12.459250994472354,900
1,smoke,sparse_fast,100,469,42,33,list_both,1,4,9000,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,fourary,1,5,8300,0,0
1,smoke,sparse_fast,100,469,42,33,mean_sqrtdegree,1,6,10600,23.804641343134683,300
1,smoke,sparse_fast,100,469,42,33,mean_degree,1,7,12400,10.991962070772635,300
1,smoke,sparse_fast,100,469,42,33,median,1,8,10300,54.394396656336156,5700
1,smoke,sparse_fast,100,469,42,33,heavy_only,1,9,9100,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,mean_ring,1,10,9400,51.552302111923666,300
1,smoke,sparse_fast,100,469,42,33,std_binary,1,11,8500,0,0
1,smoke,sparse_fast,100,469,42,33,selected_grid,1,12,8400,412.4184168953893,689700
1,smoke,sparse_fast,100,469,42,33,caliber,1,13,8200,0,1300
1,smoke,sparse_fast,100,469,42,33,sd,1,14,11500,28.14871466100286,6500
1,smoke,sparse_fast,100,469,42,33,original_mean,1,15,10200,51.552302111923666,0
1,smoke,sparse_fast,100,469,42,33,mean_map,1,16,8600,51.552302111923666,300
