family,n,arm,vertex_scans,unchanged,heavy,phases,scans
clustered,1000,heavy_only,1782.0,719.0,7240.0,19.0,70052.0
clustered,1000,list_both,1782.0,719.0,12860.5,19.0,44797.5
clustered,1000,mean_map,1063.0,719.0,7240.0,19.0,52062.5
clustered,1000,skip_only,1063.0,719.0,7765.5,19.0,26864.5
clustered,2000,heavy_only,3949.0,1777.5,4993.0,16.5,155280.0
clustered,2000,list_both,3949.0,1777.5,9882.0,16.5,103035.0
clustered,2000,mean_map,2182.5,1777.5,4993.0,16.5,108979.0
clustered,2000,skip_only,2182.5,1777.5,5480.5,16.5,56886.0
clustered,5000,heavy_only,10418.5,4849.0,19800.0,11.0,439439.5
clustered,5000,list_both,10418.5,4849.0,41098.5,11.0,296911.0
clustered,5000,mean_map,5556.0,4849.0,19800.0,11.0,300821.5
clustered,5000,skip_only,5556.0,4849.0,21978.5,11.0,158303.5
clustered,10000,heavy_only,22385.0,10885.5,79600.0,8.0,1051457.5
clustered,10000,list_both,22385.0,10885.5,178391.0,8.0,726791.5
clustered,10000,mean_map,11501.0,10885.5,79600.0,8.0,698070.0
clustered,10000,skip_only,11501.0,10885.5,91559.5,8.0,373404.0
dense,1000,heavy_only,4346.5,2567.0,49789.0,2.0,532663.5
dense,1000,list_both,4346.5,2567.0,216303.0,2.0,432982.5
dense,1000,mean_map,1813.5,2567.0,49789.0,2.0,280482.0
dense,1000,skip_only,1813.5,2567.0,90437.5,2.0,180801.0
dense,2000,heavy_only,10418.0,6759.5,199723.0,2.0,2482505.5
dense,2000,list_both,10418.0,6759.5,1041388.5,2.0,2082831.5
dense,2000,mean_map,3658.5,6759.5,199723.0,2.0,1130833.0
dense,2000,skip_only,3658.5,6759.5,365615.0,2.0,731159.0
dense,5000,heavy_only,29540.5,21195.5,1249712.0,2.0,17263035.5
dense,5000,list_both,29540.5,21195.5,7383815.5,2.0,14764482.5
dense,5000,mean_map,8271.0,21195.5,1249712.0,2.0,6630177.5
dense,5000,skip_only,8271.0,21195.5,2065777.5,2.0,4132423.5
grid,1000,heavy_only,1124.0,115.0,1940.0,27.5,8221.5
grid,1000,list_both,1124.0,115.0,2183.0,27.5,4351.5
grid,1000,mean_map,1006.0,115.0,1940.0,27.5,7763.5
grid,1000,skip_only,1006.0,115.0,1951.0,27.5,3893.5
grid,2000,heavy_only,2232.0,225.0,3928.0,36.0,16550.5
grid,2000,list_both,2232.0,225.0,4390.5,36.0,8730.5
grid,2000,mean_map,2010.5,225.0,3928.0,36.0,15680.5
grid,2000,skip_only,2010.5,225.0,3945.0,36.0,7860.5
grid,5000,heavy_only,5644.0,616.5,9880.0,59.5,41937.5
grid,5000,list_both,5644.0,616.5,11125.0,59.5,22237.5
grid,5000,mean_map,5026.0,616.5,9880.0,59.5,39503.0
grid,5000,skip_only,5026.0,616.5,9912.5,59.5,19803.0
grid,10000,heavy_only,11272.5,1215.0,19842.0,79.5,84241.0
grid,10000,list_both,11272.5,1215.0,22410.5,79.5,44641.0
grid,10000,mean_map,10060.0,1215.0,19842.0,79.5,79437.0
grid,10000,skip_only,10060.0,1215.0,19943.5,79.5,39837.0
roadlike,1000,heavy_only,1274.5,276.0,2884.0,39.0,13635.0
roadlike,1000,list_both,1274.5,276.0,3550.0,39.0,7647.0
roadlike,1000,mean_map,1000.0,276.0,2884.0,39.0,11994.0
roadlike,1000,skip_only,1000.0,276.0,2888.5,39.0,6000.0
roadlike,2000,heavy_only,2538.5,541.5,5865.0,53.0,27168.0
roadlike,2000,list_both,2538.5,541.5,7227.0,53.0,15231.0
roadlike,2000,mean_map,1997.5,541.5,5865.0,53.0,23952.0
roadlike,2000,skip_only,1997.5,541.5,5867.0,53.0,11985.0
roadlike,5000,heavy_only,6337.0,1331.5,14688.0,84.0,67980.0
roadlike,5000,list_both,6337.0,1331.5,18124.5,84.0,38022.0
roadlike,5000,mean_map,5005.5,1331.5,14688.0,84.0,59997.0
roadlike,5000,skip_only,5005.5,1331.5,14710.5,84.0,30033.0
sparse,1000,heavy_only,1178.0,155.0,2264.0,7.0,9874.5
sparse,1000,list_both,1178.0,155.0,2699.0,7.0,5369.0
sparse,1000,mean_map,1025.0,155.0,2264.0,7.0,9148.5
sparse,1000,skip_only,1025.0,155.0,2343.0,7.0,4650.5
sparse,2000,heavy_only,2349.5,290.0,4461.0,7.5,19497.0
sparse,2000,list_both,2349.5,290.0,5265.5,7.5,10578.5
sparse,2000,mean_map,2048.0,290.0,4461.0,7.5,18141.5
sparse,2000,skip_only,2048.0,290.0,4622.5,7.5,9201.5
sparse,5000,heavy_only,5848.0,756.0,11063.0,8.0,48267.5
sparse,5000,list_both,5848.0,756.0,13133.0,8.0,26199.0
sparse,5000,mean_map,5094.5,756.0,11063.0,8.0,44911.5
sparse,5000,skip_only,5094.5,756.0,11404.0,8.0,22824.5
sparse,10000,heavy_only,11698.5,1522.0,22156.0,10.0,96902.0
sparse,10000,list_both,11698.5,1522.0,26288.5,10.0,52562.0
sparse,10000,mean_map,10203.0,1522.0,22156.0,10.0,90179.5
sparse,10000,skip_only,10203.0,1522.0,22881.5,10.0,45839.5
