panel,family,n,arm,ms,min_ms,max_ms,queries
core,clustered,1000,binary,0.32305,0.24575,0.3404,6
core,clustered,1000,caliber,0.3155,0.24135,0.32545,6
core,clustered,1000,degree4,0.34035,0.25395,0.3514,6
core,clustered,1000,fourary,0.32385,0.245,0.3417,6
core,clustered,1000,heavy_only,0.32815,0.24545,0.3444,6
core,clustered,1000,list_both,0.312275,0.23005,0.3248,6
core,clustered,1000,max_maxdegree,0.293025,0.21145,0.30155,6
core,clustered,1000,mean_degree,0.425125,0.31245,0.4566,6
core,clustered,1000,mean_map,0.27485,0.20065,0.28615,6
core,clustered,1000,mean_ring,0.2545,0.18845,0.2666,6
core,clustered,1000,mean_sqrtdegree,0.320875,0.23585,0.3376,6
core,clustered,1000,median,0.27045,0.2044,0.29855,6
core,clustered,1000,original_mean,0.327375,0.2454,0.34295,6
core,clustered,1000,sd,0.24785,0.1818,0.2765,6
core,clustered,1000,selected_grid,0.246625,0.17985,0.27275,6
core,clustered,1000,skip_only,0.232375,0.16745,0.2533,6
core,clustered,1000,std_binary,0.343925,0.2638,0.37255,6
core,clustered,2000,binary,0.78575,0.57805,0.8272,6
core,clustered,2000,caliber,0.763975,0.55925,0.8073,6
core,clustered,2000,degree4,0.815975,0.6046,0.85945,6
core,clustered,2000,fourary,0.791,0.60965,0.8772,6
core,clustered,2000,heavy_only,0.68615,0.51075,0.71735,6
core,clustered,2000,list_both,0.59455,0.4316,0.61825,6
core,clustered,2000,max_maxdegree,0.60745,0.4385,0.6587,6
core,clustered,2000,mean_degree,0.83165,0.60645,0.8424,6
core,clustered,2000,mean_map,0.535,0.4003,0.55675,6
core,clustered,2000,mean_ring,0.514425,0.38245,0.54435,6
core,clustered,2000,mean_sqrtdegree,0.630175,0.46735,0.67095,6
core,clustered,2000,median,0.567375,0.4103,0.59025,6
core,clustered,2000,original_mean,0.6152,0.4631,0.6472,6
core,clustered,2000,sd,0.512475,0.38225,0.5527,6
core,clustered,2000,selected_grid,0.52605,0.38555,0.5477,6
core,clustered,2000,skip_only,0.425275,0.30745,0.4613,6
core,clustered,2000,std_binary,0.82165,0.62385,0.89165,6
core,clustered,5000,binary,2.525425,1.8724,2.70775,6
core,clustered,5000,caliber,2.467775,1.8509,2.57885,6
core,clustered,5000,degree4,2.660225,1.9958,2.73475,6
core,clustered,5000,fourary,2.638875,1.96555,2.78805,6
core,clustered,5000,heavy_only,1.92465,1.41455,1.9896,6
core,clustered,5000,list_both,1.700075,1.27025,1.7658,6
core,clustered,5000,max_maxdegree,1.674875,1.24305,1.73665,6
core,clustered,5000,mean_degree,1.97005,1.46455,2.09635,6
core,clustered,5000,mean_map,1.510525,1.0853,1.59435,6
core,clustered,5000,mean_ring,1.395225,1.0441,1.52475,6
core,clustered,5000,mean_sqrtdegree,1.60815,1.1811,1.67295,6
core,clustered,5000,median,1.53515,1.1308,1.5676,6
core,clustered,5000,original_mean,1.7998,1.3367,1.9257,6
core,clustered,5000,sd,1.501,1.10745,1.60715,6
core,clustered,5000,selected_grid,1.42175,1.0881,1.5105,6
core,clustered,5000,skip_only,1.191125,0.85705,1.23375,6
core,clustered,5000,std_binary,2.69145,2.0283,2.8293,6
core,clustered,10000,binary,7.29765,5.11935,7.9521,6
core,clustered,10000,caliber,6.934375,4.94015,7.40605,6
core,clustered,10000,degree4,7.3804,5.4203,8.0838,6
core,clustered,10000,fourary,7.43585,5.40145,8.12045,6
core,clustered,10000,heavy_only,5.235875,3.8124,5.7372,6
core,clustered,10000,list_both,6.64285,4.695,7.4909,6
core,clustered,10000,max_maxdegree,4.575975,3.2557,5.22465,6
core,clustered,10000,mean_degree,4.7415,3.4444,5.38415,6
core,clustered,10000,mean_map,3.9806,2.9476,4.7906,6
core,clustered,10000,mean_ring,3.890825,2.86815,4.4317,6
core,clustered,10000,mean_sqrtdegree,4.09715,2.95345,4.6397,6
core,clustered,10000,median,4.224375,3.08255,4.99315,6
